代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11838089.290000000968575
真實報酬,1838089.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15020.385642269735399
風險,115871.328124183361069
起點值,0.129629873804259
找到最佳解世代,2299
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
CAT[3](1),CSCO[4](5),DD[7](2),MCD[15](14),
Stock#,CAT[3](1),CSCO[4](5),DD[7](2),MCD[15](14),
張數,29673,118539,43905,25904,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.750000000000000,12.490000000223517,49.300000000279397,4.959999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2488724.260000000242144,2520151.630000000353903,2420971.000000000465661,2496632.479999999981374,9926479.370000001043081
FS( 3 ),2491691.560000000055879,2518966.240000000223517,2431508.200000000186265,2479276.799999999813735,9921442.800000000745058
FS( 4 ),2504747.679999999701977,2478662.980000000447035,2413946.200000000186265,2472023.680000000167638,9869380.540000000968575
FS( 5 ),2537091.250000000000000,2522522.410000000149012,2455216.900000000372529,2507512.159999999683350,10022342.720000000670552
FS( 6 ),2554598.320000000298023,2515410.070000000298023,2550929.800000000279397,2479535.839999999850988,10100474.030000001192093
FS( 7 ),2564390.410000000149012,2514224.680000000167638,2612396.800000000279397,2472023.680000000167638,10163035.570000000298023
FS( 8 ),2530563.189999999944121,2475106.810000000055879,2566735.600000000093132,2467620.000000000000000,10040025.599999999627471
FS( 9 ),2539168.359999999869615,2431247.380000000353903,2548734.550000000279397,2437571.359999999869615,9956721.650000000372529
FS( 10 ),2553411.399999999906868,2399241.850000000093132,2596151.950000000186265,2446378.719999999739230,9995183.919999999925494
FS( 11 ),2592876.489999999757856,2451399.010000000242144,2600981.500000000465661,2472541.760000000242144,10117798.759999999776483
FS( 12 ),2579226.910000000149012,2479848.370000000577420,2638739.800000000279397,2444824.479999999981374,10142639.560000002384186
FS( 13 ),2616318.160000000149012,2489331.490000000223517,2720403.100000000093132,2484975.680000000167638,10311028.429999999701977
FS( 14 ),2597624.170000000391155,2497629.220000000204891,2744989.900000000372529,2464511.520000000018626,10304754.810000000521541
FS( 15 ),2638869.640000000130385,2504741.560000000055879,2737526.050000000279397,2500000.000000000000000,10381137.250000000000000
FS( 16 ),2669432.829999999608845,2556898.720000000204891,2743672.750000000465661,2494560.159999999683350,10464564.460000000894070
FS( 17 ),2697622.179999999701977,2571123.400000000372529,2777479.600000000093132,2500777.120000000111759,10547002.300000000745058
FS( 18 ),2704743.700000000186265,2584162.690000000409782,2804700.700000000186265,2508548.319999999832362,10602155.410000000149012
FS( 19 ),2696435.260000000242144,2610241.270000000018626,2788455.850000000093132,2510361.600000000093132,10605493.980000000447035
FS( 20 ),2696435.260000000242144,2637505.240000000223517,2788455.850000000093132,2512952.000000000000000,10635348.349999999627471
FS( 21 ),2694654.879999999888241,2658842.260000000242144,2776162.450000000186265,2513470.080000000074506,10643129.670000001788139
FS( 22 ),2666762.260000000242144,2607870.490000000223517,2742794.650000000372529,2497409.600000000093132,10514837.000000000000000
FS( 23 ),2665278.609999999869615,2605499.710000000428408,2730501.250000000000000,2500777.120000000111759,10502056.690000001341105
FS( 24 ),2630264.470000000204891,2609055.880000000353903,2725671.700000000186265,2482903.359999999869615,10447895.410000000149012
FS( 25 ),2638869.640000000130385,2644617.580000000074506,2695377.250000000465661,2496632.479999999981374,10475496.950000001117587
FS( 26 ),2645100.970000000204891,2642246.800000000279397,2698450.600000000093132,2471505.600000000093132,10457303.970000000670552
FS( 27 ),2662014.579999999608845,2618539.000000000000000,2663765.650000000372529,2472800.799999999813735,10417120.030000001192093
FS( 28 ),2685752.979999999981374,2633949.070000000298023,2670351.400000000372529,2481608.159999999683350,10471661.610000001266599
FS( 29 ),2667355.720000000204891,2630392.900000000372529,2619421.600000000093132,2456481.279999999795109,10373651.500000000000000
FS( 30 ),2687236.629999999888241,2656471.480000000447035,2666839.000000000465661,2466583.839999999850988,10477130.950000001117587
FS( 31 ),2742131.679999999701977,2700330.910000000149012,2691864.850000000558794,2472800.799999999813735,10607128.240000000223517
FS( 32 ),2730262.479999999981374,2700330.910000000149012,2694060.100000000093132,2488343.200000000186265,10612996.690000001341105
FS( 33 ),2713348.870000000111759,2695589.350000000093132,2693182.000000000465661,2459071.680000000167638,10561191.900000000372529
FS( 34 ),2688423.549999999813735,2706257.859999999869615,2871875.350000000093132,2462957.279999999795109,10729514.039999999105930
FS( 35 ),2659937.470000000204891,2707443.250000000000000,2856069.550000000279397,2457776.479999999981374,10681226.750000001862645
FS( 36 ),2625516.790000000037253,2674252.330000000074506,2796358.750000000000000,2469174.239999999757856,10565302.109999999403954
FS( 37 ),2556972.160000000149012,2631578.290000000037253,2714256.400000000372529,2446119.680000000167638,10348926.530000001192093
FS( 38 ),2708897.920000000391155,2607870.490000000223517,2694938.200000000186265,2436794.239999999757856,10448500.849999999627471
FS( 39 ),2743912.060000000055879,2578235.740000000223517,2692303.900000000372529,2439643.680000000167638,10454095.380000000819564
FS( 40 ),2689017.010000000242144,2566381.839999999850988,2796797.800000000279397,2412962.560000000055879,10465159.210000000894070
FS( 41 ),2765573.350000000093132,2605499.710000000428408,2833238.950000000186265,2429800.159999999683350,10634112.169999999925494
FS( 42 ),2786641.179999999701977,2597201.980000000447035,2845532.350000000558794,2439384.640000000130385,10668760.150000000372529
FS( 43 ),2742428.410000000149012,2554527.940000000409782,2794163.500000000465661,2409595.040000000037253,10500714.890000000596046
FS( 44 ),2744802.250000000000000,2584162.690000000409782,2811286.450000000186265,2411408.319999999832362,10551659.710000000894070
FS( 45 ),2728778.829999999608845,2605499.710000000428408,2804261.650000000372529,2424101.279999999795109,10562641.470000000670552
FS( 46 ),2784267.339999999850988,2665954.600000000093132,2850361.900000000372529,2459330.719999999739230,10759914.559999998658895
FS( 47 ),2815127.260000000242144,2687291.620000000577420,2851240.000000000000000,2484716.640000000130385,10838375.520000001415610
FS( 48 ),2804148.250000000000000,2706257.859999999869615,2866167.700000000186265,2457258.399999999906868,10833832.209999999031425
FS( 49 ),2817797.829999999608845,2692033.180000000167638,2928512.800000000279397,2469692.319999999832362,10908036.130000000819564
FS( 50 ),2853702.160000000149012,2708628.640000000596046,2899535.500000000465661,2458035.520000000018626,10919901.820000000298023
FS( 51 ),2851921.779999999795109,2639876.020000000018626,2895145.000000000000000,2472800.799999999813735,10859743.599999999627471
FS( 52 ),2864977.899999999906868,2674252.330000000074506,2920609.899999999906868,2481090.080000000074506,10940930.210000000894070
FS( 53 ),2865274.629999999888241,2656471.480000000447035,2925000.400000000372529,2487307.040000000037253,10934053.550000000745058
FS( 54 ),2854889.079999999608845,2641061.410000000149012,2903486.950000000186265,2475132.159999999683350,10874569.600000001490116
FS( 55 ),2875956.910000000149012,2643432.190000000409782,2947391.950000000186265,2480312.959999999962747,10947094.010000001639128
FS( 56 ),2893167.250000000000000,2623280.560000000055879,2936415.700000000186265,2498445.760000000242144,10951309.270000001415610
FS( 57 ),2887826.109999999869615,2622095.170000000391155,2935537.600000000093132,2499740.959999999962747,10945199.839999999850988
FS( 58 ),2860823.679999999701977,2588904.250000000000000,2952660.550000000279397,2502849.439999999944121,10905237.919999999925494
FS( 59 ),2884265.350000000093132,2599572.760000000242144,2990418.850000000093132,2483939.520000000018626,10958196.480000000447035
FS( 60 ),2869428.850000000093132,2598387.370000000577420,3033006.700000000186265,2462957.279999999795109,10963780.200000001117587
FS( 61 ),2877440.560000000055879,2584162.690000000409782,3045739.150000000372529,2464770.560000000055879,10972112.960000000894070
FS( 62 ),2857856.379999999888241,2556898.720000000204891,3028616.200000000651926,2443270.239999999757856,10886641.540000000968575
FS( 63 ),2878924.209999999962747,2586533.470000000204891,3092717.500000000000000,2460366.879999999888241,11018542.059999998658895
FS( 64 ),2859636.760000000242144,2592460.420000000391155,3120816.700000000186265,2461403.040000000037253,11034316.920000001788139
FS( 65 ),2896134.549999999813735,2586533.470000000204891,3112474.750000000465661,2475909.279999999795109,11071052.049999998882413
FS( 66 ),2879814.399999999906868,2575864.960000000428408,3095790.850000000558794,2473836.959999999962747,11025307.170000001788139
FS( 67 ),2870912.500000000000000,2571123.400000000372529,3115548.100000000093132,2466065.760000000242144,11023649.759999999776483
FS( 68 ),2873583.070000000298023,2561640.280000000260770,3079985.050000000745058,2558802.080000000074506,11074010.480000002309680
FS( 69 ),2872989.609999999869615,2586533.470000000204891,3065496.399999999906868,2556988.799999999813735,11082008.280000001192093
FS( 70 ),2837085.279999999795109,2550971.770000000018626,3047495.350000000093132,2522277.439999999944121,10957829.839999999850988
FS( 71 ),2830557.220000000204891,2530820.140000000596046,3041787.700000000186265,2527717.279999999795109,10930882.340000001713634
FS( 72 ),2838865.660000000149012,2549786.380000000353903,3063740.200000000186265,2528235.359999999869615,10980627.600000001490116
FS( 73 ),2860823.679999999701977,2564011.060000000055879,3105449.950000000651926,2520723.200000000186265,11051007.890000000596046
FS( 74 ),2849844.670000000391155,2564011.060000000055879,3101937.550000000745058,2489379.359999999869615,11005172.640000000596046
FS( 75 ),2854889.079999999608845,2587718.859999999869615,3141452.050000000279397,2502331.359999999869615,11086391.349999999627471
FS( 76 ),2889903.220000000204891,2565196.450000000186265,3139256.800000000279397,2473059.839999999850988,11067416.310000000521541
FS( 77 ),2873879.799999999813735,2556898.720000000204891,3136183.450000000651926,2491451.680000000167638,11058413.650000000372529
FS( 78 ),2925510.820000000298023,2648173.750000000000000,3166477.900000000372529,2484457.600000000093132,11224620.070000000298023
FS( 79 ),2902069.149999999906868,2645802.970000000204891,3090522.250000000465661,2482644.319999999832362,11121038.690000001341105
FS( 80 ),2921356.600000000093132,2610241.270000000018626,3000517.000000000465661,2490933.600000000093132,11023048.470000000670552
FS( 81 ),2949249.220000000204891,2646988.359999999869615,3013688.500000000465661,2518909.919999999925494,11128836.000000000000000
FS( 82 ),2948655.760000000242144,2657656.870000000577420,3038275.300000000279397,2539374.080000000074506,11183962.010000001639128
FS( 83 ),2961711.879999999888241,2738263.390000000596046,3108084.250000000465661,2536006.560000000055879,11344066.080000001937151
FS( 84 ),3045389.739999999757856,2725224.100000000093132,3119938.600000000558794,2527976.319999999832362,11418528.760000001639128
FS( 85 ),3043015.899999999906868,2737078.000000000000000,3098864.200000000186265,2529789.600000000093132,11408747.700000001117587
FS( 86 ),3031740.160000000149012,2692033.180000000167638,3044422.000000000465661,2535229.439999999944121,11303424.779999999329448
