代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12305768.320000000298023
真實報酬,2305768.320000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16266.147674350670059
風險,151070.964465439930791
起點值,0.107672230278717
找到最佳解世代,2089
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
Stock#,TRV[22](2),V[25](1),
張數,72390,146284,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,22.700000000186265,12.879999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4973215.700000000186265,4973668.879999999888241,9946884.580000000074506
FS( 3 ),4995656.600000000558794,5065827.799999999813735,10061484.400000000372529
FS( 4 ),5015201.900000000372529,5108250.160000000149012,10123452.060000000521541
FS( 5 ),5035471.100000000558794,5130192.759999999776483,10165663.859999999403954
FS( 6 ),5034023.300000000745058,5073142.000000000000000,10107165.300000000745058
FS( 7 ),5018097.500000000000000,5001462.839999999850988,10019560.339999999850988
FS( 8 ),5023888.700000000186265,5024868.280000000260770,10048756.980000000447035
FS( 9 ),5006515.099999999627471,5084844.719999999739230,10091359.820000000298023
FS( 10 ),4974663.500000000000000,5087770.400000000372529,10062433.900000000372529
FS( 11 ),5052120.800000000745058,5115564.359999999403954,10167685.160000000149012
FS( 12 ),5102793.799999999813735,5162375.240000000223517,10265169.039999999105930
FS( 13 ),5167220.899999999441206,5213574.639999999664724,10380795.539999999105930
FS( 14 ),5352539.299999999813735,5188706.359999999403954,10541245.660000000149012
FS( 15 ),5321411.600000000558794,5118490.040000000037253,10439901.640000000596046
FS( 16 ),5356158.799999999813735,5083381.879999999888241,10439540.679999999701977
FS( 17 ),5312000.899999999441206,4997074.319999999366701,10309075.219999998807907
FS( 18 ),5297522.900000000372529,4991222.959999999962747,10288745.859999999403954
FS( 19 ),5220789.500000000931323,5030719.639999999664724,10251509.140000000596046
FS( 20 ),5180251.100000000558794,5058513.599999999627471,10238764.699999999254942
