代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12669285.149999998509884
真實報酬,2669285.149999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18959.342696314841305
風險,190468.484895117901033
起點值,0.099540576000039
找到最佳解世代,1884
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
GS[8](1),HD[9](4),INTC[11](6),NKE[19](8),
Stock#,GS[8](1),HD[9](4),INTC[11](6),NKE[19](8),
張數,15622,30925,91709,65172,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.339999999850988,23.000000000000000,12.659999999683350,2.080000000074506,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2527650.939999999944121,2494742.750000000000000,2536683.599999999627471,2462200.240000000223517,10021277.529999999329448
FS( 3 ),2536867.919999999459833,2490722.500000000000000,2531181.059999999590218,2481100.120000000111759,10039871.599999999627471
FS( 4 ),2539836.100000000093132,2485774.500000000000000,2536683.599999999627471,2472627.759999999776483,10034921.959999999031425
FS( 5 ),2596231.520000000018626,2493815.000000000000000,2583455.189999999944121,2484358.719999999739230,10157860.429999999701977
FS( 6 ),2593263.339999999850988,2492887.250000000000000,2559610.849999999627471,2498696.560000000521541,10144458.000000000000000
FS( 7 ),2598887.260000000242144,2496907.500000000000000,2589874.819999999366701,2486965.599999999627471,10172635.179999999701977
FS( 8 ),2584358.799999999813735,2468147.250000000000000,2561445.029999999795109,2448514.120000000111759,10062465.199999999254942
FS( 9 ),2592638.459999999962747,2425470.750000000000000,2564196.299999999813735,2436783.160000000149012,10019088.669999999925494
FS( 10 ),2591544.919999999459833,2414337.750000000000000,2739360.489999999757856,2431569.400000000372529,10176812.560000000521541
