訓練日期,20150605 - 20150904
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10558813.099999999627471
真實報酬,558813.099999999627471

夏普值報酬,0.047181310000000
夏普值風險,0.031166120525375
夏普值,1.513865351370440

預期報酬,16420.147920995037566
風險,255484.676793732040096
趨勢值,0.064270578286979
找到最佳解世代,1769
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,45302,98000,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.259999999776483,40.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4980067.120000000111759,4970600.000000000000000,9950667.120000001043081
FS( 3 ),4961946.319999999366701,4966680.000000000000000,9928626.320000000298023
FS( 4 ),5027634.219999999739230,5063700.000000000000000,10091334.219999998807907
FS( 5 ),5041677.839999999850988,5090160.000000000000000,10131837.839999999850988
FS( 6 ),5010419.459999999962747,5085260.000000000000000,10095679.460000000894070
FS( 7 ),4983691.280000000260770,5064680.000000000000000,10048371.280000001192093
FS( 8 ),4993657.719999999739230,5123480.000000000000000,10117137.719999998807907
FS( 9 ),5004530.200000000186265,5133280.000000000000000,10137810.199999999254942
FS( 10 ),5067046.959999999962747,5194040.000000000000000,10261086.960000000894070
FS( 11 ),5093322.120000000111759,5220500.000000000000000,10313822.120000001043081
FS( 12 ),5122315.399999999441206,5233240.000000000000000,10355555.399999998509884
FS( 13 ),5127298.620000000111759,5252840.000000000000000,10380138.620000001043081
FS( 14 ),5089697.959999999962747,5204820.000000000000000,10294517.960000000894070
FS( 15 ),5084714.739999999292195,5155820.000000000000000,10240534.739999998360872
FS( 16 ),5101023.459999999962747,5376320.000000000000000,10477343.460000000894070
FS( 17 ),5007701.339999999850988,5276360.000000000000000,10284061.339999999850988
FS( 18 ),5034429.519999999552965,5293020.000000000000000,10327449.519999999552965
FS( 19 ),5077013.399999999441206,5362600.000000000000000,10439613.399999998509884
FS( 20 ),5050738.239999999292195,5384160.000000000000000,10434898.239999998360872
FS( 21 ),5043036.899999999441206,5382200.000000000000000,10425236.899999998509884
FS( 22 ),5091963.059999999590218,5453740.000000000000000,10545703.059999998658895
FS( 23 ),5028540.259999999776483,5354760.000000000000000,10383300.259999999776483
FS( 24 ),5045755.019999999552965,5362600.000000000000000,10408355.019999999552965
FS( 25 ),5123674.459999999962747,5415520.000000000000000,10539194.460000000894070
FS( 26 ),5205218.059999999590218,5508620.000000000000000,10713838.059999998658895
FS( 27 ),5226056.979999999515712,5504700.000000000000000,10730756.980000000447035
FS( 28 ),5236023.419999999925494,5483140.000000000000000,10719163.419999999925494
FS( 29 ),5197516.719999999739230,5504700.000000000000000,10702216.719999998807907
FS( 30 ),5185738.200000000186265,5527240.000000000000000,10712978.199999999254942
FS( 31 ),5137718.080000000074506,5543900.000000000000000,10681618.080000000074506
FS( 32 ),5158103.979999999515712,5537040.000000000000000,10695143.980000000447035
FS( 33 ),5205218.059999999590218,5590940.000000000000000,10796158.059999998658895
FS( 34 ),5191174.439999999478459,5586040.000000000000000,10777214.439999999478459
FS( 35 ),5145872.439999999478459,5537040.000000000000000,10682912.439999999478459
FS( 36 ),5122315.399999999441206,5475300.000000000000000,10597615.399999998509884
FS( 37 ),5202499.939999999478459,5560560.000000000000000,10763059.939999999478459
FS( 38 ),5271812.000000000000000,5631120.000000000000000,10902932.000000000000000
FS( 39 ),5275889.179999999701977,5636020.000000000000000,10911909.179999999701977
FS( 40 ),5301711.319999999366701,5645820.000000000000000,10947531.320000000298023
FS( 41 ),5295369.040000000037253,5627200.000000000000000,10922569.039999999105930
