訓練日期,20160804 - 20161103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10519629.580000000074506
真實報酬,519629.580000000074506

夏普值報酬,0.043262958000000
夏普值風險,0.018844113721914
夏普值,2.295834053988426

預期報酬,12257.294680617076665
風險,100078.662904289609287
趨勢值,0.122476603153055
找到最佳解世代,2164
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
AAPL[0](3),BA[2](9),GS[8](2),INTC[11](5),JPM[13](1),
Stock#,AAPL[0](3),BA[2](9),GS[8](2),INTC[11](5),JPM[13](1),
張數,18891,15242,12654,57836,30978,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,9.829999999841675,97.179999999934807,35.299999999813735,31.120000000111759,60.319999999832362,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2030414.510000000009313,2007925.839999999850988,2051122.159999999916181,2023134.399999999906868,2053901.719999999739230,10166498.629999998956919
FS( 3 ),2047227.500000000000000,2014937.159999999916181,2060486.119999999878928,2026604.560000000055879,2047706.119999999646097,10196961.459999999031425
FS( 4 ),2055539.539999999804422,2021491.219999999972060,2068205.059999999823049,2019664.240000000223517,2040581.179999999934807,10205481.240000000223517
FS( 5 ),2040237.829999999841675,2016308.939999999944121,2052387.559999999823049,1997108.200000000186265,2022304.159999999916181,10128346.689999999478459
FS( 6 ),2038915.459999999962747,2027283.179999999934807,2073519.739999999990687,2005783.600000000093132,2027880.199999999720603,10173382.179999999701977
FS( 7 ),2043638.209999999962747,2028807.379999999888241,2065800.799999999813735,1999421.640000000130385,2023543.279999999562278,10161211.309999998658895
FS( 8 ),2068196.510000000009313,2052584.899999999906868,2094905.000000000000000,2019085.879999999888241,2035934.479999999748543,10270706.769999999552965
FS( 9 ),2066307.409999999683350,2057767.179999999934807,2096170.399999999906868,2036436.680000000167638,2035624.699999999720603,10292306.369999999180436
FS( 10 ),2063284.849999999860302,2053499.419999999925494,2096423.479999999748543,2025447.840000000316650,2041200.739999999757856,10279856.330000000074506
FS( 11 ),2060640.109999999869615,2057767.179999999934807,2101358.540000000037253,2022556.040000000037253,2043059.419999999925494,10285381.289999999105930
FS( 12 ),2065929.589999999850988,2049231.659999999916181,2103509.719999999739230,2038171.760000000242144,2040271.399999999906868,10297114.130000000819564
FS( 13 ),2049872.239999999990687,2057614.760000000009313,2103889.339999999850988,2045112.080000000074506,2038412.719999999739230,10294901.140000000596046
FS( 14 ),2056295.179999999701977,2044659.059999999823049,2101611.620000000111759,2047425.520000000018626,2037483.379999999655411,10287474.759999997913837
FS( 15 ),2040804.559999999823049,2031703.359999999869615,2091741.500000000000000,2032966.520000000018626,2043059.419999999925494,10240275.359999999403954
