訓練日期,20181008 - 20190110
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11064318.429999997839332
真實報酬,1064318.429999997839332

夏普值報酬,0.097731843000000
夏普值風險,0.047241786569597
夏普值,2.068758404299992

預期報酬,26021.499682698948163
風險,411525.721889325650409
趨勢值,0.063231769725677
找到最佳解世代,2397
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,121359,
分配資金,10000000.000000000000000,
剩餘資金,18.399999998509884,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9975728.199999999254942,9975728.199999999254942
FS( 3 ),9883495.359999997541308,9883495.359999997541308
FS( 4 ),9571602.729999998584390,9571602.729999998584390
FS( 5 ),9594660.939999999478459,9594660.939999999478459
FS( 6 ),9724515.069999998435378,9724515.069999998435378
FS( 7 ),9831310.989999998360872,9831310.989999998360872
FS( 8 ),9934466.139999998733401,9934466.139999998733401
FS( 9 ),9737864.559999998658895,9737864.559999998658895
FS( 10 ),10594659.099999997764826,10594659.099999997764826
FS( 11 ),10509707.799999997019768,10509707.799999997019768
FS( 12 ),10577668.839999997988343,10577668.839999997988343
FS( 13 ),10856794.539999997243285,10856794.539999997243285
FS( 14 ),10800969.399999998509884,10800969.399999998509884
FS( 15 ),10662620.139999998733401,10662620.139999998733401
FS( 16 ),10708736.559999998658895,10708736.559999998658895
FS( 17 ),10824027.609999997541308,10824027.609999997541308
FS( 18 ),10762134.519999999552965,10762134.519999999552965
FS( 19 ),10872571.209999999031425,10872571.209999999031425
FS( 20 ),10899270.189999999478459,10899270.189999999478459
FS( 21 ),11067959.199999999254942,11067959.199999999254942
FS( 22 ),11105580.489999998360872,11105580.489999998360872
FS( 23 ),11078881.509999999776483,11078881.509999999776483
FS( 24 ),11087376.639999998733401,11087376.639999998733401
FS( 25 ),11214803.589999997988343,11214803.589999997988343
FS( 26 ),11249997.699999999254942,11249997.699999999254942
FS( 27 ),11343444.129999998956919,11343444.129999998956919
FS( 28 ),11345871.309999998658895,11345871.309999998658895
FS( 29 ),11387133.369999999180436,11387133.369999999180436
FS( 30 ),11385919.779999997466803,11385919.779999997466803
FS( 31 ),11321599.509999999776483,11321599.509999999776483
FS( 32 ),11177182.299999997019768,11177182.299999997019768
FS( 33 ),11093444.589999997988343,11093444.589999997988343
FS( 34 ),11109221.259999999776483,11109221.259999999776483
FS( 35 ),11157764.859999997541308,11157764.859999997541308
FS( 36 ),11252424.879999998956919,11252424.879999998956919
FS( 37 ),11287618.989999998360872,11287618.989999998360872
FS( 38 ),11264560.779999997466803,11264560.779999997466803
FS( 39 ),11469657.489999998360872,11469657.489999998360872
FS( 40 ),11325240.279999997466803,11325240.279999997466803
FS( 41 ),11324026.689999999478459,11324026.689999999478459
FS( 42 ),11353152.849999997764826,11353152.849999997764826
FS( 43 ),11219657.949999999254942,11219657.949999999254942
FS( 44 ),11290046.169999998062849,11290046.169999998062849
FS( 45 ),11396842.089999997988343,11396842.089999997988343
FS( 46 ),11411405.169999998062849,11411405.169999998062849
FS( 47 ),11709948.309999998658895,11709948.309999998658895
FS( 48 ),11728152.159999998286366,11728152.159999998286366
FS( 49 ),11258492.829999998211861,11258492.829999998211861
FS( 50 ),11224512.309999998658895,11224512.309999998658895
FS( 51 ),11135920.239999998360872,11135920.239999998360872
FS( 52 ),11041260.219999998807907,11041260.219999998807907
FS( 53 ),11040046.629999998956919,11040046.629999998956919
FS( 54 ),10601940.639999998733401,10601940.639999998733401
FS( 55 ),10933250.709999999031425,10933250.709999999031425
FS( 56 ),11167473.579999998211861,11167473.579999998211861
FS( 57 ),11065532.019999999552965,11065532.019999999552965
FS( 58 ),11155337.679999997839332,11155337.679999997839332
FS( 59 ),11077667.919999998062849,11077667.919999998062849
FS( 60 ),10999998.159999998286366,10999998.159999998286366
FS( 61 ),11224512.309999998658895,11224512.309999998658895
FS( 62 ),11179609.479999998584390,11179609.479999998584390
FS( 63 ),11220871.539999997243285,11220871.539999997243285
FS( 64 ),11037619.449999999254942,11037619.449999999254942
FS( 65 ),11064318.429999997839332,11064318.429999997839332
