訓練日期,20181015 - 20190117
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11097778.600000001490116
真實報酬,1097778.600000001490116

夏普值報酬,0.101077860000000
夏普值風險,0.031213484608954
夏普值,3.238275420585511

預期報酬,26405.862661506456789
風險,459310.420910251617897
趨勢值,0.057490232007312
找到最佳解世代,1914
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,71983,62398,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,60.820000000298023,48.260000000707805,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5126690.080000000074506,5054910.240000001154840,10181600.320000000298023
FS( 3 ),5169879.879999999888241,5107948.540000000968575,10277828.420000001788139
FS( 4 ),5197953.250000000000000,5006863.780000000260770,10204817.030000001192093
FS( 5 ),5208030.870000000111759,5447393.660000000149012,10655424.530000001192093
FS( 6 ),5223867.129999999888241,5403715.060000000521541,10627582.190000001341105
FS( 7 ),5190035.120000000111759,5438657.940000000409782,10628693.060000000521541
FS( 8 ),5077741.640000000596046,5582173.340000000782311,10659914.980000000447035
FS( 9 ),5035991.500000000000000,5553470.260000000707805,10589461.760000001639128
FS( 10 ),5067664.020000000484288,5482336.540000000968575,10550000.560000002384186
FS( 11 ),5143246.170000000856817,5506047.780000000260770,10649293.950000001117587
FS( 12 ),5245462.030000000260770,5565325.880000000819564,10810787.910000000149012
FS( 13 ),5298729.450000000186265,5533502.900000001303852,10832232.350000001490116
FS( 14 ),5263457.780000000260770,5590285.080000001005828,10853742.860000001266599
FS( 15 ),5202272.230000000447035,5604012.640000000596046,10806284.870000001043081
FS( 16 ),5263457.780000000260770,5690745.860000001266599,10954203.640000000596046
FS( 17 ),5277134.550000000745058,5710089.240000001154840,10987223.790000002831221
FS( 18 ),5404544.459999999962747,5696361.680000000633299,11100906.140000000596046
FS( 19 ),5433337.660000000149012,5700729.540000000968575,11134067.200000001117587
FS( 20 ),5388708.200000000186265,5766247.440000000409782,11154955.640000000596046
FS( 21 ),5376471.089999999850988,5784342.860000001266599,11160813.950000001117587
FS( 22 ),5370712.450000000186265,5832389.320000000298023,11203101.769999999552965
FS( 23 ),5333281.290000000968575,5833637.280000000260770,11166918.570000000298023
FS( 24 ),5387268.540000000968575,5854852.600000000558794,11242121.140000000596046
FS( 25 ),5475087.800000000745058,5854228.620000000111759,11329316.420000001788139
FS( 26 ),5495962.870000000111759,5821157.680000000633299,11317120.550000000745058
FS( 27 ),5382949.560000000521541,5746904.060000000521541,11129853.620000001043081
FS( 28 ),5383669.390000000596046,5703849.440000000409782,11087518.830000001937151
FS( 29 ),5375031.430000000633299,5711961.180000000633299,11086992.610000001266599
FS( 30 ),5430458.339999999850988,5736920.380000000819564,11167378.720000000670552
FS( 31 ),5495243.040000000968575,5785590.820000000298023,11280833.860000001266599
FS( 32 ),5559307.910000000149012,5803686.240000001154840,11362994.150000002235174
FS( 33 ),5608256.349999999627471,5791830.620000000111759,11400086.969999998807907
FS( 34 ),5711192.040000000968575,5897283.240000001154840,11608475.280000001192093
FS( 35 ),5702554.080000000074506,5823029.620000000111759,11525583.699999999254942
FS( 36 ),5629851.250000000000000,5822405.640000000596046,11452256.890000000596046
FS( 37 ),5641368.530000000260770,5837381.160000000149012,11478749.690000001341105
FS( 38 ),5522596.580000000074506,5768743.360000001266599,11291339.940000001341105
FS( 39 ),5572984.680000000633299,5804934.200000001117587,11377918.880000002682209
FS( 40 ),5550669.950000000186265,5859844.440000000409782,11410514.390000000596046
FS( 41 ),5615454.650000000372529,5867332.200000001117587,11482786.850000001490116
FS( 42 ),5687437.650000000372529,6020831.280000000260770,11708268.929999999701977
FS( 43 ),5505320.660000000149012,6030190.980000000447035,11535511.640000000596046
FS( 44 ),5415341.910000000149012,5788710.720000000670552,11204052.630000000819564
FS( 45 ),5350557.209999999962747,5771239.280000000260770,11121796.490000000223517
FS( 46 ),5310246.730000000447035,5725688.740000001154840,11035935.470000002533197
FS( 47 ),5290091.490000000223517,5677018.300000000745058,10967109.790000000968575
FS( 48 ),5247621.520000000484288,5676394.320000000298023,10924015.839999999850988
FS( 49 ),5121651.270000000484288,5451137.540000000968575,10572788.810000002384186
FS( 50 ),5326802.820000000298023,5621484.080000001005828,10948286.900000002235174
FS( 51 ),5426139.360000000335276,5741912.220000000670552,11168051.580000001937151
FS( 52 ),5425419.530000000260770,5689497.900000001303852,11114917.430000001564622
FS( 53 ),5500281.849999999627471,5735672.420000000856817,11235954.269999999552965
FS( 54 ),5441255.790000000968575,5695737.700000001117587,11136993.490000002086163
FS( 55 ),5329682.140000000596046,5655802.980000000447035,10985485.120000001043081
FS( 56 ),5490204.230000000447035,5771239.280000000260770,11261443.510000001639128
FS( 57 ),5429738.510000000707805,5748152.020000001415610,11177890.530000001192093
FS( 58 ),5470048.990000000223517,5769367.340000000782311,11239416.330000001937151
FS( 59 ),5428298.849999999627471,5675146.360000001266599,11103445.210000000894070
FS( 60 ),5361354.660000000149012,5688873.920000000856817,11050228.580000001937151
FS( 61 ),5391587.520000000484288,5726312.720000000670552,11117900.240000002086163
