訓練日期,20100330 - 20100630
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10664883.520000001415610
真實報酬,664883.520000001415610

夏普值報酬,0.057788352000000
夏普值風險,0.043188628697667
夏普值,1.338045539823354

預期報酬,21040.382253883541125
風險,426516.389920445857570
趨勢值,0.049330770753752
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,296823,
分配資金,10000000.000000000000000,
剩餘資金,33.130000000819564,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9964381.240000000223517,9964381.240000000223517
FS( 3 ),10005936.460000000894070,10005936.460000000894070
FS( 4 ),10112792.740000000223517,10112792.740000000223517
FS( 5 ),10157316.190000001341105,10157316.190000001341105
FS( 6 ),10201839.640000000596046,10201839.640000000596046
FS( 7 ),10175125.570000000298023,10175125.570000000298023
FS( 8 ),10252299.550000000745058,10252299.550000000745058
FS( 9 ),10273077.160000000149012,10273077.160000000149012
FS( 10 ),10279013.620000001043081,10279013.620000001043081
FS( 11 ),10418520.430000001564622,10418520.430000001564622
FS( 12 ),10555059.010000001639128,10555059.010000001639128
FS( 13 ),10489757.950000001117587,10489757.950000001117587
FS( 14 ),10477885.029999999329448,10477885.029999999329448
FS( 15 ),10371028.750000000000000,10371028.750000000000000
FS( 16 ),10991388.820000000298023,10991388.820000000298023
FS( 17 ),11300084.740000000223517,11300084.740000000223517
FS( 18 ),11484115.000000000000000,11484115.000000000000000
FS( 19 ),11427718.630000000819564,11427718.630000000819564
FS( 20 ),11110118.020000001415610,11110118.020000001415610
FS( 21 ),11092308.640000000596046,11092308.640000000596046
FS( 22 ),11392099.870000001043081,11392099.870000001043081
FS( 23 ),11071531.029999999329448,11071531.029999999329448
FS( 24 ),11294148.279999999329448,11294148.279999999329448
FS( 25 ),10967642.980000002309680,10967642.980000002309680
FS( 26 ),10854850.240000000223517,10854850.240000000223517
FS( 27 ),10442266.270000001415610,10442266.270000001415610
FS( 28 ),10000000.000000000000000,10000000.000000000000000
FS( 29 ),10768771.570000000298023,10768771.570000000298023
FS( 30 ),10878596.080000000074506,10878596.080000000074506
FS( 31 ),11113086.250000000000000,11113086.250000000000000
FS( 32 ),10955770.060000000521541,10955770.060000000521541
FS( 33 ),10762835.109999999403954,10762835.109999999403954
FS( 34 ),10780644.490000000223517,10780644.490000000223517
FS( 35 ),10700502.279999999329448,10700502.279999999329448
FS( 36 ),10531313.169999999925494,10531313.169999999925494
FS( 37 ),10083110.440000001341105,10083110.440000001341105
FS( 38 ),10276045.390000000596046,10276045.390000000596046
FS( 39 ),10463043.880000000819564,10463043.880000000819564
FS( 40 ),10397742.820000000298023,10397742.820000000298023
FS( 41 ),10350251.140000000596046,10350251.140000000596046
FS( 42 ),10742057.500000000000000,10742057.500000000000000
FS( 43 ),10893437.230000002309680,10893437.230000002309680
FS( 44 ),11059658.109999999403954,11059658.109999999403954
FS( 45 ),11193228.460000000894070,11193228.460000000894070
FS( 46 ),11157609.700000001117587,11157609.700000001117587
FS( 47 ),10854850.240000000223517,10854850.240000000223517
FS( 48 ),10641137.680000001564622,10641137.680000001564622
FS( 49 ),10572868.390000000596046,10572868.390000000596046
FS( 50 ),10311664.150000002235174,10311664.150000002235174
FS( 51 ),10623328.300000000745058,10623328.300000000745058
FS( 52 ),10750962.190000001341105,10750962.190000001341105
FS( 53 ),10783612.720000000670552,10783612.720000000670552
FS( 54 ),11012166.430000001564622,11012166.430000001564622
FS( 55 ),11332735.270000001415610,11332735.270000001415610
FS( 56 ),11528638.450000001117587,11528638.450000001117587
FS( 57 ),11620653.580000000074506,11620653.580000000074506
FS( 58 ),11457400.930000001564622,11457400.930000001564622
FS( 59 ),11611748.890000000596046,11611748.890000000596046
FS( 60 ),11490051.460000000894070,11490051.460000000894070
FS( 61 ),11406941.020000001415610,11406941.020000001415610
FS( 62 ),11308989.430000001564622,11308989.430000001564622
FS( 63 ),11377258.720000000670552,11377258.720000000670552
FS( 64 ),10863754.930000001564622,10863754.930000001564622
FS( 65 ),10664883.520000001415610,10664883.520000001415610
