訓練日期,20100407 - 20100708
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10727377.500000000000000
真實報酬,727377.500000000000000

夏普值報酬,0.064037750000000
夏普值風險,0.038866403892918
夏普值,1.647637640375284

預期報酬,15749.375034965054510
風險,432803.882210083946120
趨勢值,0.036389172284088
找到最佳解世代,2389
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,290951,
分配資金,10000000.000000000000000,
剩餘資金,14.130000000819564,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9973814.410000002011657,9973814.410000002011657
FS( 3 ),10049461.669999999925494,10049461.669999999925494
FS( 4 ),10069828.240000000223517,10069828.240000000223517
FS( 5 ),10075647.260000001639128,10075647.260000001639128
FS( 6 ),10212394.230000000447035,10212394.230000000447035
FS( 7 ),10346231.690000001341105,10346231.690000001341105
FS( 8 ),10282222.470000002533197,10282222.470000002533197
FS( 9 ),10270584.429999999701977,10270584.429999999701977
FS( 10 ),10165842.070000000298023,10165842.070000000298023
FS( 11 ),10773929.660000002011657,10773929.660000002011657
FS( 12 ),11076518.700000001117587,11076518.700000001117587
FS( 13 ),11256908.320000000298023,11256908.320000000298023
FS( 14 ),11201627.630000000819564,11201627.630000000819564
FS( 15 ),10890310.060000000521541,10890310.060000000521541
FS( 16 ),10872853.000000000000000,10872853.000000000000000
FS( 17 ),11166713.510000001639128,11166713.510000001639128
FS( 18 ),10852486.429999999701977,10852486.429999999701977
FS( 19 ),11070699.679999999701977,11070699.679999999701977
FS( 20 ),10750653.580000001937151,10750653.580000001937151
FS( 21 ),10640092.200000001117587,10640092.200000001117587
FS( 22 ),10235670.310000000521541,10235670.310000000521541
FS( 23 ),9802153.320000000298023,9802153.320000000298023
FS( 24 ),10555716.410000002011657,10555716.410000002011657
FS( 25 ),10663368.280000001192093,10663368.280000001192093
FS( 26 ),10893219.570000000298023,10893219.570000000298023
FS( 27 ),10739015.539999999105930,10739015.539999999105930
FS( 28 ),10549897.390000000596046,10549897.390000000596046
FS( 29 ),10567354.450000001117587,10567354.450000001117587
FS( 30 ),10488797.679999999701977,10488797.679999999701977
FS( 31 ),10322955.609999999403954,10322955.609999999403954
FS( 32 ),9883619.599999999627471,9883619.599999999627471
FS( 33 ),10072737.750000000000000,10072737.750000000000000
FS( 34 ),10256036.880000000819564,10256036.880000000819564
FS( 35 ),10192027.660000002011657,10192027.660000002011657
FS( 36 ),10145475.500000000000000,10145475.500000000000000
FS( 37 ),10529530.820000000298023,10529530.820000000298023
FS( 38 ),10677915.830000001937151,10677915.830000001937151
FS( 39 ),10840848.390000000596046,10840848.390000000596046
FS( 40 ),10971776.340000001713634,10971776.340000001713634
FS( 41 ),10936862.220000002533197,10936862.220000002533197
FS( 42 ),10640092.200000001117587,10640092.200000001117587
FS( 43 ),10430607.480000000447035,10430607.480000000447035
FS( 44 ),10363688.750000000000000,10363688.750000000000000
FS( 45 ),10107651.870000001043081,10107651.870000001043081
FS( 46 ),10413150.419999999925494,10413150.419999999925494
FS( 47 ),10538259.349999999627471,10538259.349999999627471
FS( 48 ),10570263.960000000894070,10570263.960000000894070
FS( 49 ),10794296.230000000447035,10794296.230000000447035
FS( 50 ),11108523.310000000521541,11108523.310000000521541
FS( 51 ),11300550.970000002533197,11300550.970000002533197
FS( 52 ),11390745.780000001192093,11390745.780000001192093
FS( 53 ),11230722.730000000447035,11230722.730000000447035
FS( 54 ),11382017.250000000000000,11382017.250000000000000
FS( 55 ),11262727.340000001713634,11262727.340000001713634
FS( 56 ),11181261.060000000521541,11181261.060000000521541
FS( 57 ),11085247.230000000447035,11085247.230000000447035
FS( 58 ),11152165.960000000894070,11152165.960000000894070
FS( 59 ),10648820.730000000447035,10648820.730000000447035
FS( 60 ),10453883.560000000521541,10453883.560000000521541
FS( 61 ),10328774.630000000819564,10328774.630000000819564
FS( 62 ),10264765.410000002011657,10264765.410000002011657
FS( 63 ),10334593.650000002235174,10334593.650000002235174
FS( 64 ),10750653.580000001937151,10750653.580000001937151
FS( 65 ),10727377.500000000000000,10727377.500000000000000
