訓練日期,20100224 - 20100526
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12162535.199999999254942
真實報酬,2162535.199999999254942

夏普值報酬,0.207553520000000
夏普值風險,0.074452606288955
夏普值,2.787726721002509

預期報酬,53326.445345433188777
風險,586565.040771100437269
趨勢值,0.090913098529244
找到最佳解世代,2035
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,348796,
分配資金,10000000.000000000000000,
剩餘資金,18.679999999701977,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10066271.240000000223517,10066271.240000000223517
FS( 3 ),10195325.759999999776483,10195325.759999999776483
FS( 4 ),10415067.240000000223517,10415067.240000000223517
FS( 5 ),10408091.320000000298023,10408091.320000000298023
FS( 6 ),10429019.080000000074506,10429019.080000000074506
FS( 7 ),10498778.279999999329448,10498778.279999999329448
FS( 8 ),10910357.560000000521541,10910357.560000000521541
FS( 9 ),10917333.480000000447035,10917333.480000000447035
FS( 10 ),11112659.240000000223517,11112659.240000000223517
FS( 11 ),11203346.199999999254942,11203346.199999999254942
FS( 12 ),11234737.839999999850988,11234737.839999999850988
FS( 13 ),11290545.199999999254942,11290545.199999999254942
FS( 14 ),11154514.759999999776483,11154514.759999999776483
FS( 15 ),11182418.440000001341105,11182418.440000001341105
FS( 16 ),11168466.600000001490116,11168466.600000001490116
FS( 17 ),11192882.320000000298023,11192882.320000000298023
FS( 18 ),11074291.679999999701977,11074291.679999999701977
FS( 19 ),11199858.240000000223517,11199858.240000000223517
FS( 20 ),11377744.199999999254942,11377744.199999999254942
FS( 21 ),11430063.600000001490116,11430063.600000001490116
FS( 22 ),11294033.160000000149012,11294033.160000000149012
FS( 23 ),11506798.720000000670552,11506798.720000000670552
FS( 24 ),11580045.880000000819564,11580045.880000000819564
FS( 25 ),11750955.919999998062849,11750955.919999998062849
FS( 26 ),11709100.400000000372529,11709100.400000000372529
FS( 27 ),11757931.839999999850988,11757931.839999999850988
FS( 28 ),11883498.400000000372529,11883498.400000000372529
FS( 29 ),11935817.799999998882413,11935817.799999998882413
FS( 30 ),11988137.199999999254942,11988137.199999999254942
FS( 31 ),11956745.560000000521541,11956745.560000000521541
FS( 32 ),12047432.519999999552965,12047432.519999999552965
FS( 33 ),12071848.240000000223517,12071848.240000000223517
FS( 34 ),12078824.160000000149012,12078824.160000000149012
FS( 35 ),12242758.279999999329448,12242758.279999999329448
FS( 36 ),12403204.440000001341105,12403204.440000001341105
FS( 37 ),12326469.320000000298023,12326469.320000000298023
FS( 38 ),12312517.479999998584390,12312517.479999998584390
FS( 39 ),12186950.919999998062849,12186950.919999998062849
FS( 40 ),12915934.560000000521541,12915934.560000000521541
FS( 41 ),13278682.400000000372529,13278682.400000000372529
FS( 42 ),13494935.919999998062849,13494935.919999998062849
FS( 43 ),13428664.679999999701977,13428664.679999999701977
FS( 44 ),13055452.959999999031425,13055452.959999999031425
FS( 45 ),13034525.199999999254942,13034525.199999999254942
FS( 46 ),13386809.160000000149012,13386809.160000000149012
FS( 47 ),13010109.479999998584390,13010109.479999998584390
FS( 48 ),13271706.479999998584390,13271706.479999998584390
FS( 49 ),12888030.880000000819564,12888030.880000000819564
FS( 50 ),12755488.400000000372529,12755488.400000000372529
FS( 51 ),12270661.959999999031425,12270661.959999999031425
FS( 52 ),11750955.919999998062849,11750955.919999998062849
FS( 53 ),12654337.560000000521541,12654337.560000000521541
FS( 54 ),12783392.080000000074506,12783392.080000000074506
FS( 55 ),13058940.919999998062849,13058940.919999998062849
FS( 56 ),12874079.039999999105930,12874079.039999999105930
FS( 57 ),12647361.639999998733401,12647361.639999998733401
FS( 58 ),12668289.400000000372529,12668289.400000000372529
FS( 59 ),12574114.479999998584390,12574114.479999998584390
FS( 60 ),12375300.759999997913837,12375300.759999997913837
FS( 61 ),11848618.799999998882413,11848618.799999998882413
FS( 62 ),12075336.199999999254942,12075336.199999999254942
FS( 63 ),12295077.679999999701977,12295077.679999999701977
FS( 64 ),12218342.560000000521541,12218342.560000000521541
FS( 65 ),12162535.199999999254942,12162535.199999999254942
