訓練日期,20121115 - 20130220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12336238.670000001788139
真實報酬,2336238.670000001788139

夏普值報酬,0.224923867000000
夏普值風險,0.063747844531008
夏普值,3.528336819146788

預期報酬,38503.064326269173762
風險,76287.604783721937565
趨勢值,0.504709309401268
找到最佳解世代,1645
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](10),JNJ[12](15),JPM[13](1),NKE[19](11),WBA[27](3),
Stock#,GS[8](10),JNJ[12](15),JPM[13](1),NKE[19](11),WBA[27](3),
張數,17325,28956,50774,88066,62053,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,2.000000000000000,9.080000000307336,12.139999999897555,21.139999999897555,31.810000000288710,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2006930.000000000000000,2003474.720000000204891,2007108.359999999869615,2038749.039999999804422,1995656.290000000037253,10051918.410000000149012
FS( 3 ),2049549.500000000000000,2005212.080000000307336,2060928.800000000046566,2120650.419999999925494,2026062.260000000242144,10262403.060000000521541
FS( 4 ),2045911.250000000000000,2017373.600000000325963,2066513.939999999944121,2104798.540000000037253,2030405.970000000204891,10265003.300000000745058
FS( 5 ),2039154.500000000000000,2015057.120000000344589,2068037.159999999683350,2104798.540000000037253,2024821.200000000419095,10251868.519999999552965
FS( 6 ),2084372.750000000000000,2014188.440000000409782,2086315.800000000046566,2130337.679999999701977,2053365.580000000540167,10368580.250000000000000
FS( 7 ),2095287.500000000000000,2000579.120000000344589,2075653.260000000009313,2150592.860000000335276,2052124.520000000251457,10374237.259999999776483
FS( 8 ),2051455.250000000000000,1992471.440000000409782,2069052.639999999897555,2135621.639999999664724,2049642.400000000372529,10298243.370000001043081
FS( 9 ),2067394.250000000000000,2006370.320000000530854,2073114.559999999823049,2182296.620000000111759,2067637.770000000251457,10396813.519999999552965
FS( 10 ),2056999.250000000000000,2004343.400000000372529,2092916.419999999925494,2178773.979999999515712,2094320.560000000288710,10427353.609999999403954
FS( 11 ),2040713.750000000000000,2019110.960000000428408,2085808.059999999823049,2146189.559999999590218,2104249.040000000037253,10396071.370000001043081
FS( 12 ),2051282.000000000000000,2016794.480000000447035,2072099.080000000074506,2147950.879999999888241,2127208.650000000372529,10415335.089999999850988
FS( 13 ),2019750.500000000000000,2022875.240000000223517,2059913.319999999832362,2150592.860000000335276,2126588.120000000111759,10379720.040000000968575
FS( 14 ),2029279.250000000000000,2026060.400000000372529,2091900.939999999944121,2150592.860000000335276,2207257.020000000484288,10505090.470000000670552
FS( 15 ),2030492.000000000000000,2028376.880000000121072,2105609.919999999925494,2167325.399999999441206,2224631.860000000335276,10556436.059999998658895
FS( 16 ),2019577.249999999767169,2039959.280000000493601,2160953.580000000074506,2170848.040000000037253,2240145.110000000335276,10631483.260000001639128
FS( 17 ),2027200.250000000000000,2044302.680000000167638,2148260.080000000074506,2159399.459999999962747,2255658.360000000335276,10634820.830000000074506
FS( 18 ),2059251.500000000000000,2058780.680000000167638,2165015.500000000000000,2188461.240000000223517,2274274.259999999776483,10745783.179999999701977
FS( 19 ),2045911.250000000000000,2054726.840000000083819,2171616.120000000111759,2184057.940000000409782,2275515.320000000298023,10731827.470000000670552
FS( 20 ),2053014.500000000000000,2048646.080000000307336,2172123.860000000335276,2142666.919999999925494,2265586.839999999850988,10682038.199999999254942
FS( 21 ),2067914.000000000000000,2046908.720000000204891,2173647.080000000074506,2133860.320000000298023,2281100.089999999850988,10703430.210000000894070
FS( 22 ),2139466.250000000000000,2054147.720000000204891,2207665.660000000149012,2157638.139999999664724,2304680.230000000447035,10863598.000000000000000
FS( 23 ),2213617.250000000000000,2054437.280000000493601,2227467.519999999552965,2177893.320000000298023,2330121.959999999962747,11003537.330000001937151
FS( 24 ),2204608.250000000000000,2045171.360000000102445,2210204.360000000335276,2153234.839999999850988,2310885.530000000260770,10924104.339999999850988
FS( 25 ),2247401.000000000000000,2048646.080000000307336,2260978.360000000335276,2179654.639999999664724,2330121.959999999962747,11066802.039999999105930
FS( 26 ),2225225.000000000000000,2034747.200000000186265,2234068.139999999664724,2314395.620000000111759,2253176.240000000223517,11061612.200000001117587
FS( 27 ),2209632.500000000000000,2027508.200000000186265,2230006.219999999739230,2324963.540000000037253,2263104.720000000670552,11055215.180000001564622
FS( 28 ),2203049.000000000000000,2031851.600000000325963,2232037.179999999701977,2260675.360000000335276,2274894.790000000037253,11002507.929999999701977
FS( 29 ),2194559.750000000000000,2029535.120000000344589,2215281.759999999776483,2279169.219999999739230,2266827.900000000372529,10985373.750000000000000
FS( 30 ),2174636.000000000000000,2011871.960000000428408,2195479.900000000372529,2245704.139999999664724,2267448.430000000633299,10895140.429999999701977
FS( 31 ),2209979.000000000000000,2029824.680000000167638,2232544.919999999925494,2272123.940000000409782,2296613.339999999850988,11041085.879999998956919
FS( 32 ),2281011.500000000000000,2051252.120000000344589,2267578.979999999515712,2282691.860000000335276,2361768.990000000223517,11244303.450000001117587
FS( 33 ),2268537.500000000000000,2048356.520000000251457,2263009.320000000298023,2306469.679999999701977,2345014.680000000633299,11231387.699999999254942
FS( 34 ),2330387.750000000000000,2071810.880000000121072,2303120.780000000260770,2328486.179999999701977,2307162.350000000558794,11340967.940000001341105
FS( 35 ),2326056.500000000000000,2067467.480000000447035,2305659.479999999515712,2332008.820000000298023,2359907.400000000372529,11391099.680000001564622
FS( 36 ),2305093.250000000000000,2067757.040000000270084,2310229.139999999664724,2307350.339999999850988,2368594.820000000298023,11359024.589999999850988
FS( 37 ),2327096.000000000000000,2077022.960000000428408,2308705.919999999925494,2309992.320000000298023,2385969.660000000149012,11408786.860000001266599
FS( 38 ),2379937.250000000000000,2090342.720000000204891,2343232.240000000223517,2314395.620000000111759,2393416.020000000484288,11521323.850000001490116
FS( 39 ),2375779.250000000000000,2094975.680000000167638,2342724.500000000000000,2338173.440000000409782,2426304.110000000335276,11577956.980000000447035
FS( 40 ),2358454.250000000000000,2101056.440000000409782,2329523.259999999776483,2342576.740000000223517,2422580.930000000633299,11554191.620000001043081
