訓練日期,20180806 - 20181105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11254498.320000000298023
真實報酬,1254498.320000000298023

夏普值報酬,0.116749832000000
夏普值風險,0.032258231729459
夏普值,3.619226031332049

預期報酬,16964.148629263865587
風險,108272.830211127991788
趨勢值,0.156679645264508
找到最佳解世代,2224
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MCD[15](3),MRK[17](1),PFE[20](4),WBA[27](2),
Stock#,MCD[15](3),MRK[17](1),PFE[20](4),WBA[27](2),
張數,15952,37752,60916,37080,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,2.560000000055879,62.560000000055879,7.359999999869615,66.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2489152.640000000130385,2513590.720000000204891,2487816.800000000279397,2486280.399999999906868,9976840.560000000521541
FS( 3 ),2535094.399999999906868,2517743.439999999944121,2522538.919999999459833,2465515.599999999627471,10040892.359999999403954
FS( 4 ),2541156.160000000149012,2491694.560000000055879,2497563.359999999869615,2453650.000000000000000,9984064.080000000074506
FS( 5 ),2531265.920000000391155,2494337.199999999720603,2493299.239999999757856,2465515.599999999627471,9984417.959999999031425
FS( 6 ),2522651.839999999850988,2518876.000000000000000,2485989.319999999832362,2465144.800000000279397,9992661.960000000894070
FS( 7 ),2561893.759999999776483,2509060.479999999981374,2479897.719999999739230,2545979.199999999720603,10096831.160000000149012
FS( 8 ),2550408.319999999832362,2543414.800000000279397,2507309.919999999459833,2548574.800000000279397,10149707.839999999850988
FS( 9 ),2579919.520000000018626,2599287.759999999776483,2523148.080000000074506,2581576.000000000000000,10283931.359999999403954
FS( 10 ),2570667.360000000335276,2607215.680000000167638,2563961.800000000279397,2595295.599999999627471,10337140.440000001341105
FS( 11 ),2579121.920000000391155,2649120.399999999906868,2578581.639999999664724,2595295.599999999627471,10402119.559999998658895
