訓練日期,20131010 - 20140113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11192221.319999998435378
真實報酬,1192221.319999998435378

夏普值報酬,0.110522132000000
夏普值風險,0.033663478123627
夏普值,3.283146548140803

預期報酬,19571.431837612763047
風險,65015.043588718763203
趨勢值,0.301029281183297
找到最佳解世代,2487
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,6
AAPL[0](12),BA[2](7),CAT[3](26),GS[8](2),MRK[17](25),XOM[29](1),
Stock#,AAPL[0](12),BA[2](7),CAT[3](26),GS[8](2),MRK[17](25),XOM[29](1),
張數,23826,14017,19670,10547,35095,19370,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,37.300000000046566,44.699999999953434,26.899999999906868,134.530000000027940,4.449999999953434,71.199999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1677387.700000000186265,1653770.360000000102445,1683975.599999999860302,1687654.530000000027940,1659647.000000000000000,1684292.699999999953434,10046731.890000000596046
FS( 3 ),1688347.660000000149012,1674515.519999999785796,1696367.699999999720603,1681959.150000000139698,1640695.699999999953434,1696883.199999999953434,10078772.929999999701977
FS( 4 ),1697401.540000000037253,1656573.760000000009313,1686729.399999999906868,1662658.139999999897555,1634378.599999999860302,1681193.500000000000000,10018938.939999997615814
FS( 5 ),1705740.640000000130385,1686850.479999999981374,1696957.799999999813735,1711385.280000000027940,1655435.600000000093132,1691265.899999999906868,10147639.700000001117587
FS( 6 ),1717177.119999999878928,1714183.630000000121072,1688696.399999999906868,1669935.570000000065193,1653329.899999999906868,1694558.800000000046566,10137885.420000001788139
FS( 7 ),1732187.500000000000000,1717407.539999999804422,1718004.699999999953434,1673837.959999999962747,1635782.399999999906868,1695914.699999999953434,10173138.799999998882413
FS( 8 ),1774597.780000000027940,1702689.689999999944121,1725085.899999999906868,1685228.720000000204891,1632272.899999999906868,1689716.300000000046566,10209595.290000000968575
FS( 9 ),1769594.320000000065193,1716846.860000000102445,1754000.800000000046566,1679744.280000000027940,1630869.099999999860302,1704243.800000000046566,10255303.160000002011657
FS( 10 ),1786749.040000000037253,1808518.040000000037253,1647586.100000000093132,1663818.310000000055879,1634027.650000000139698,1697076.899999999906868,10237780.040000000968575
