訓練日期,20180712 - 20181011
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10900725.839999997988343
真實報酬,900725.839999997988343

夏普值報酬,0.081372584000000
夏普值風險,0.041127419835105
夏普值,1.978548236827202

預期報酬,22590.608293172470439
風險,107162.734262625090196
趨勢值,0.210806568613762
找到最佳解世代,2609
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),PFE[20](1),WBA[27](3),XOM[29](28),
Stock#,AAPL[0](4),PFE[20](1),WBA[27](3),XOM[29](28),
張數,13086,66631,39135,30233,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,181.419999999925494,4.879999999888241,56.199999999720603,33.229999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2503925.800000000279397,2500666.310000000055879,2550484.149999999906868,2518744.459999999962747,10073820.719999998807907
FS( 3 ),2498429.679999999701977,2490671.660000000149012,2550092.799999999813735,2493953.399999999906868,10033147.539999999105930
FS( 4 ),2505496.119999999646097,2508662.029999999795109,2568486.249999999534339,2488511.459999999962747,10071155.859999999403954
FS( 5 ),2491755.819999999832362,2509328.339999999850988,2589227.799999999813735,2485790.489999999757856,10076102.449999999254942
FS( 6 ),2511123.100000000093132,2489339.040000000037253,2541091.750000000000000,2479441.560000000055879,10020995.450000001117587
FS( 7 ),2505365.259999999776483,2487340.109999999869615,2543048.500000000000000,2460999.430000000167638,9996753.299999998882413
FS( 8 ),2505365.259999999776483,2479344.390000000130385,2557137.099999999627471,2460999.430000000167638,10002846.179999999701977
FS( 9 ),2525779.419999999925494,2511993.580000000074506,2563790.049999999813735,2509674.560000000055879,10111237.609999999403954
FS( 10 ),2549595.939999999944121,2531316.569999999832362,2610360.699999999720603,2527209.700000000186265,10218482.910000000149012
FS( 11 ),2541613.479999999981374,2542643.839999999850988,2643234.100000000093132,2546861.149999999906868,10274352.570000000298023
FS( 12 ),2499345.699999999720603,2559301.589999999850988,2686282.599999999627471,2476720.589999999850988,10221650.479999998584390
FS( 13 ),2485343.679999999701977,2571295.169999999925494,2706632.799999999813735,2471278.649999999906868,10234550.299999998882413
FS( 14 ),2490316.359999999869615,2660580.709999999962747,2646364.899999999906868,2464325.060000000055879,10261587.030000001192093
FS( 15 ),2637010.419999999925494,2683235.250000000000000,2600185.599999999627471,2430464.100000000093132,10350895.369999999180436
FS( 16 ),2714086.959999999962747,2641924.029999999795109,2621318.500000000000000,2415952.259999999776483,10393281.750000000000000
FS( 17 ),2721938.560000000055879,2701225.619999999646097,2630710.899999999906868,2424719.830000000074506,10478594.910000000149012
