訓練日期,20150617 - 20150917
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10673483.679999999701977
真實報酬,673483.679999999701977

夏普值報酬,0.058648368000000
夏普值風險,0.024564616136552
夏普值,2.387514124950315

預期報酬,11627.339007099770242
風險,222142.392459707742091
趨勢值,0.052341828492771
找到最佳解世代,2268
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,90522,
分配資金,10000000.000000000000000,
剩餘資金,34.660000000149012,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10124920.359999999403954,10124920.359999999403954
FS( 3 ),10177423.120000001043081,10177423.120000001043081
FS( 4 ),10235357.199999999254942,10235357.199999999254942
FS( 5 ),10245314.620000001043081,10245314.620000001043081
FS( 6 ),10170181.359999999403954,10170181.359999999403954
FS( 7 ),10160223.939999999478459,10160223.939999999478459
FS( 8 ),10192811.859999999403954,10192811.859999999403954
FS( 9 ),10006336.540000000968575,10006336.540000000968575
FS( 10 ),10059744.519999999552965,10059744.519999999552965
FS( 11 ),10144835.199999999254942,10144835.199999999254942
FS( 12 ),10092332.439999999478459,10092332.439999999478459
FS( 13 ),10076943.699999999254942,10076943.699999999254942
FS( 14 ),10174707.460000000894070,10174707.460000000894070
FS( 15 ),10047976.660000000149012,10047976.660000000149012
FS( 16 ),10082375.019999999552965,10082375.019999999552965
FS( 17 ),10238072.859999999403954,10238072.859999999403954
FS( 18 ),10401012.460000000894070,10401012.460000000894070
FS( 19 ),10442652.580000000074506,10442652.580000000074506
FS( 20 ),10462567.419999999925494,10462567.419999999925494
FS( 21 ),10385623.720000000670552,10385623.720000000670552
FS( 22 ),10362088.000000000000000,10362088.000000000000000
FS( 23 ),10266134.679999999701977,10266134.679999999701977
FS( 24 ),10306869.580000000074506,10306869.580000000074506
FS( 25 ),10401012.460000000894070,10401012.460000000894070
FS( 26 ),10372950.640000000596046,10372950.640000000596046
FS( 27 ),10282428.640000000596046,10282428.640000000596046
FS( 28 ),10235357.199999999254942,10235357.199999999254942
FS( 29 ),10395581.140000000596046,10395581.140000000596046
FS( 30 ),10534079.800000000745058,10534079.800000000745058
FS( 31 ),10542226.779999999329448,10542226.779999999329448
FS( 32 ),10593824.320000000298023,10593824.320000000298023
FS( 33 ),10581151.240000000223517,10581151.240000000223517
FS( 34 ),10639085.320000000298023,10639085.320000000298023
FS( 35 ),10681630.660000000149012,10681630.660000000149012
FS( 36 ),10551278.980000000447035,10551278.980000000447035
FS( 37 ),10584772.120000001043081,10584772.120000001043081
FS( 38 ),10645421.859999999403954,10645421.859999999403954
FS( 39 ),10653568.839999999850988,10653568.839999999850988
FS( 40 ),10653568.839999999850988,10653568.839999999850988
FS( 41 ),10773963.099999999627471,10773963.099999999627471
FS( 42 ),10840044.160000000149012,10840044.160000000149012
FS( 43 ),10835518.060000000521541,10835518.060000000521541
FS( 44 ),11116136.259999999776483,11116136.259999999776483
FS( 45 ),11112515.380000000819564,11112515.380000000819564
FS( 46 ),10911556.540000000968575,10911556.540000000968575
FS( 47 ),10515070.179999999701977,10515070.179999999701977
FS( 48 ),10187380.540000000968575,10187380.540000000968575
FS( 49 ),10045261.000000000000000,10045261.000000000000000
FS( 50 ),10494250.120000001043081,10494250.120000001043081
FS( 51 ),10650853.179999999701977,10650853.179999999701977
FS( 52 ),10638180.099999999627471,10638180.099999999627471
FS( 53 ),10542226.779999999329448,10542226.779999999329448
FS( 54 ),10235357.199999999254942,10235357.199999999254942
FS( 55 ),10544037.220000000670552,10544037.220000000670552
FS( 56 ),10554899.859999999403954,10554899.859999999403954
FS( 57 ),10357561.900000000372529,10357561.900000000372529
FS( 58 ),10539511.120000001043081,10539511.120000001043081
FS( 59 ),10316827.000000000000000,10316827.000000000000000
FS( 60 ),10363898.439999999478459,10363898.439999999478459
FS( 61 ),10449894.339999999850988,10449894.339999999850988
FS( 62 ),10385623.720000000670552,10385623.720000000670552
FS( 63 ),10516880.620000001043081,10516880.620000001043081
FS( 64 ),10665336.699999999254942,10665336.699999999254942
FS( 65 ),10673483.679999999701977,10673483.679999999701977
