訓練日期,20181002 - 20190104
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10878393.969999998807907
真實報酬,878393.969999998807907

夏普值報酬,0.079139397000000
夏普值風險,0.045879693185424
夏普值,1.724933004241237

預期報酬,19932.361319276129507
風險,362984.314672843727749
趨勢值,0.054912459061051
找到最佳解世代,2123
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),PG[21](1),
Stock#,MCD[15](2),PG[21](1),
張數,30270,59269,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,1.399999999441206,67.160000000149012,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4984259.599999999627471,4921172.230000000447035,9905431.830000000074506
FS( 3 ),5018767.399999999441206,4855383.640000000596046,9874151.039999999105930
FS( 4 ),5042075.299999998882413,4869015.510000000707805,9911090.809999998658895
FS( 5 ),5078399.299999999813735,4883832.760000000707805,9962232.060000000521541
FS( 6 ),5140755.500000000000000,4871978.959999999962747,10012734.460000000894070
FS( 7 ),5096561.299999999813735,4826934.519999999552965,9923495.820000000298023
FS( 8 ),4933103.299999999813735,4674613.190000000409782,9607716.490000000223517
FS( 9 ),4958832.799999998882413,4685874.300000000745058,9644707.099999999627471
FS( 10 ),4954292.299999998882413,4749292.129999999888241,9703584.429999999701977
FS( 11 ),4966400.299999998882413,4801448.850000000558794,9767849.149999998509884
FS( 12 ),5048129.299999999813735,4851827.500000000000000,9899956.800000000745058
FS( 13 ),5049340.099999999627471,4755811.719999999739230,9805151.820000000298023
FS( 14 ),5069923.699999999254942,5174250.860000000335276,10244174.559999998658895
FS( 15 ),5043891.499999999068677,5132762.559999999590218,10176654.059999998658895
FS( 16 ),5362331.899999999441206,5165953.200000000186265,10528285.099999999627471
FS( 17 ),5368385.899999999441206,5302271.899999999441206,10670657.799999998882413
FS( 18 ),5306635.099999999627471,5275008.160000000149012,10581643.259999999776483
FS( 19 ),5247003.199999999254942,5207441.500000000000000,10454444.699999999254942
FS( 20 ),5243673.499999999068677,5229963.719999999739230,10473637.219999998807907
FS( 21 ),5402893.699999999254942,5286269.269999999552965,10689162.969999998807907
FS( 22 ),5354764.399999999441206,5256042.080000001005828,10610806.480000000447035
FS( 23 ),5293618.999999999068677,5309976.870000000111759,10603595.869999999180436
FS( 24 ),5350223.899999999441206,5323016.050000000745058,10673239.949999999254942
FS( 25 ),5460406.699999999254942,5405399.959999999962747,10865806.660000000149012
FS( 26 ),5530633.099999999627471,5423773.350000000558794,10954406.449999999254942
FS( 27 ),5577248.899999999441206,5410734.170000000856817,10987983.070000000298023
FS( 28 ),5614480.999999999068677,5414883.000000000000000,11029364.000000000000000
FS( 29 ),5628405.199999999254942,5477115.450000000186265,11105520.649999998509884
FS( 30 ),5580881.299999999813735,5494303.459999999962747,11075184.759999999776483
FS( 31 ),5569984.099999999627471,5539940.589999999850988,11109924.689999999478459
FS( 32 ),5565140.899999999441206,5541125.969999999739230,11106266.869999999180436
FS( 33 ),5556362.599999999627471,5561277.429999999701977,11117640.029999999329448
FS( 34 ),5678350.699999999254942,5560684.739999999292195,11239035.439999997615814
FS( 35 ),5652015.799999999813735,5529272.170000000856817,11181287.970000000670552
FS( 36 ),5560903.099999999627471,5458742.059999999590218,11019645.160000000149012
FS( 37 ),5530935.799999999813735,5417846.450000000186265,10948782.250000000000000
FS( 38 ),5507022.500000000000000,5425551.420000000856817,10932573.920000001788139
FS( 39 ),5566351.699999999254942,5449259.019999999552965,11015610.719999998807907
FS( 40 ),5588751.499999999068677,5495488.839999999850988,11084240.339999999850988
FS( 41 ),5686220.899999999441206,5512676.850000000558794,11198897.750000000000000
FS( 42 ),5728901.599999999627471,5501415.739999999292195,11230317.339999999850988
FS( 43 ),5706199.099999999627471,5601580.350000000558794,11307779.449999999254942
FS( 44 ),5611151.299999999813735,5531050.239999999292195,11142201.539999999105930
FS( 45 ),5601162.199999999254942,5530457.550000000745058,11131619.750000000000000
FS( 46 ),5613572.899999999441206,5544682.110000000335276,11158255.009999999776483
