訓練日期,20100225 - 20100527
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12539845.000000000000000
真實報酬,2539845.000000000000000

夏普值報酬,0.245284500000000
夏普值風險,0.071799944206344
夏普值,3.416221317597195

預期報酬,51957.945977686438709
風險,588918.084916695836000
趨勢值,0.088226100213981
找到最佳解世代,2293
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,346500,
分配資金,10000000.000000000000000,
剩餘資金,10.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10128205.000000000000000,10128205.000000000000000
FS( 3 ),10346500.000000000000000,10346500.000000000000000
FS( 4 ),10339570.000000000000000,10339570.000000000000000
FS( 5 ),10360360.000000000000000,10360360.000000000000000
FS( 6 ),10429660.000000000000000,10429660.000000000000000
FS( 7 ),10838530.000000000000000,10838530.000000000000000
FS( 8 ),10845460.000000000000000,10845460.000000000000000
FS( 9 ),11039500.000000000000000,11039500.000000000000000
FS( 10 ),11129590.000000000000000,11129590.000000000000000
FS( 11 ),11160775.000000000000000,11160775.000000000000000
FS( 12 ),11216215.000000000000000,11216215.000000000000000
FS( 13 ),11081080.000000000000000,11081080.000000000000000
FS( 14 ),11108800.000000000000000,11108800.000000000000000
FS( 15 ),11094940.000000001862645,11094940.000000001862645
FS( 16 ),11119195.000000001862645,11119195.000000001862645
FS( 17 ),11001385.000000000000000,11001385.000000000000000
FS( 18 ),11126125.000000000000000,11126125.000000000000000
FS( 19 ),11302840.000000000000000,11302840.000000000000000
FS( 20 ),11354815.000000001862645,11354815.000000001862645
FS( 21 ),11219680.000000000000000,11219680.000000000000000
FS( 22 ),11431045.000000000000000,11431045.000000000000000
FS( 23 ),11503810.000000001862645,11503810.000000001862645
FS( 24 ),11673595.000000000000000,11673595.000000000000000
FS( 25 ),11632015.000000000000000,11632015.000000000000000
FS( 26 ),11680525.000000000000000,11680525.000000000000000
FS( 27 ),11805265.000000000000000,11805265.000000000000000
FS( 28 ),11857240.000000000000000,11857240.000000000000000
FS( 29 ),11909215.000000000000000,11909215.000000000000000
FS( 30 ),11878030.000000000000000,11878030.000000000000000
FS( 31 ),11968120.000000000000000,11968120.000000000000000
FS( 32 ),11992375.000000000000000,11992375.000000000000000
FS( 33 ),11999305.000000000000000,11999305.000000000000000
FS( 34 ),12162160.000000000000000,12162160.000000000000000
FS( 35 ),12321550.000000000000000,12321550.000000000000000
FS( 36 ),12245320.000000001862645,12245320.000000001862645
FS( 37 ),12231459.999999998137355,12231459.999999998137355
FS( 38 ),12106720.000000000000000,12106720.000000000000000
FS( 39 ),12830905.000000000000000,12830905.000000000000000
FS( 40 ),13191265.000000000000000,13191265.000000000000000
FS( 41 ),13406095.000000000000000,13406095.000000000000000
FS( 42 ),13340260.000000000000000,13340260.000000000000000
FS( 43 ),12969505.000000000000000,12969505.000000000000000
FS( 44 ),12948715.000000000000000,12948715.000000000000000
FS( 45 ),13298680.000000000000000,13298680.000000000000000
FS( 46 ),12924459.999999998137355,12924459.999999998137355
FS( 47 ),13184334.999999998137355,13184334.999999998137355
FS( 48 ),12803185.000000001862645,12803185.000000001862645
FS( 49 ),12671515.000000000000000,12671515.000000000000000
FS( 50 ),12189880.000000000000000,12189880.000000000000000
FS( 51 ),11673595.000000000000000,11673595.000000000000000
FS( 52 ),12571030.000000000000000,12571030.000000000000000
FS( 53 ),12699235.000000000000000,12699235.000000000000000
FS( 54 ),12972970.000000000000000,12972970.000000000000000
FS( 55 ),12789324.999999998137355,12789324.999999998137355
FS( 56 ),12564100.000000000000000,12564100.000000000000000
FS( 57 ),12584890.000000000000000,12584890.000000000000000
FS( 58 ),12491334.999999998137355,12491334.999999998137355
FS( 59 ),12293829.999999998137355,12293829.999999998137355
FS( 60 ),11770615.000000000000000,11770615.000000000000000
FS( 61 ),11995840.000000000000000,11995840.000000000000000
FS( 62 ),12214135.000000000000000,12214135.000000000000000
FS( 63 ),12137905.000000000000000,12137905.000000000000000
FS( 64 ),12082465.000000000000000,12082465.000000000000000
FS( 65 ),12539845.000000000000000,12539845.000000000000000
