訓練日期,20130822 - 20131121
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11752283.129999998956919
真實報酬,1752283.129999998956919

夏普值報酬,0.166528313000000
夏普值風險,0.052487716869712
夏普值,3.172710167854445

預期報酬,28088.873215608815372
風險,127992.432312924371217
趨勢值,0.219457296873109
找到最佳解世代,1828
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](2),MSFT[18](10),NKE[19](1),UNH[23](29),WBA[27](3),
Stock#,BA[2](2),MSFT[18](10),NKE[19](1),UNH[23](29),WBA[27](3),
張數,19022,61747,61671,27789,41160,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.919999999925494,14.669999999925494,9.469999999972060,25.669999999925494,35.599999999860302,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2006467.479999999981374,2145722.919999999925494,1979648.570000000065193,2015839.730000000214204,2008231.999999999767169,10155910.699999999254942
FS( 3 ),2007418.579999999841675,2108674.719999999739230,1971014.630000000121072,2011393.489999999757856,2009466.799999999813735,10107968.219999998807907
FS( 4 ),1963287.539999999804422,2053719.889999999897555,1937095.580000000074506,1987494.949999999720603,1944845.599999999860302,9886443.559999998658895
FS( 5 ),1964428.859999999869615,2038900.610000000102445,1954363.459999999962747,1988050.730000000214204,1937436.799999999813735,9883180.460000000894070
FS( 6 ),1996005.380000000121072,2071626.519999999785796,1957447.009999999776483,2013060.829999999841675,1958428.399999999674037,9996568.140000000596046
FS( 7 ),1976793.159999999916181,2062364.469999999739230,1937095.580000000074506,1993608.529999999795109,1978596.799999999813735,9948458.539999999105930
FS( 8 ),1997527.140000000130385,1968509.029999999795109,1982732.119999999878928,2016395.510000000009313,2006174.000000000000000,9971337.800000000745058
FS( 9 ),2023397.060000000055879,1926521.069999999832362,2008633.939999999944121,2038348.819999999832362,2037044.000000000000000,10033944.890000000596046
FS( 10 ),2028723.219999999972060,1928990.949999999720603,2016034.459999999729916,2057523.230000000214204,2065855.999999999767169,10097127.859999999403954
FS( 11 ),2017690.459999999729916,1923433.719999999739230,2003700.260000000009313,2058079.010000000009313,2035809.199999999953434,10038712.649999998509884
FS( 12 ),2038995.099999999860302,1954924.689999999944121,2016651.170000000158325,2063358.919999999925494,2067090.799999999813735,10141020.679999999701977
FS( 13 ),2057636.659999999916181,2000000.000000000000000,2060437.579999999841675,2073918.739999999757856,2085612.800000000046566,10277605.780000001192093
FS( 14 ),2077799.979999999981374,2021611.449999999953434,2084489.269999999785796,2089202.690000000176951,2088905.599999999860302,10362008.990000000223517
FS( 15 ),2088642.519999999785796,2018524.099999999860302,2099290.309999999590218,2076975.529999999795109,2193452.000000000000000,10476884.459999999031425
FS( 16 ),2117746.179999999701977,2039518.080000000074506,2094356.630000000121072,2069750.390000000130385,2200449.200000000186265,10521820.480000000447035
FS( 17 ),2200301.660000000149012,2025316.269999999785796,2102990.570000000298023,2087535.350000000093132,2254780.400000000372529,10670924.250000000000000
FS( 18 ),2227693.339999999850988,2033343.379999999888241,2106690.830000000074506,2065026.260000000009313,2260542.799999999813735,10693296.609999999403954
FS( 19 ),2252231.720000000204891,2057424.709999999962747,2142460.009999999776483,2029734.230000000214204,2289766.400000000372529,10771617.070000000298023
FS( 20 ),2264405.799999999813735,2077183.750000000000000,2143076.719999999739230,1968598.429999999934807,2304584.000000000000000,10757848.699999999254942
FS( 21 ),2218562.779999999795109,2024698.799999999813735,2139376.459999999962747,1961095.399999999674037,2285238.799999999813735,10628972.239999998360872
FS( 22 ),2235302.140000000130385,2021611.449999999953434,2127042.259999999776483,1995831.649999999674037,2314462.399999999441206,10694249.899999998509884
FS( 23 ),2263644.919999999925494,2004322.290000000037253,2141226.589999999850988,2009726.149999999674037,2279888.000000000000000,10698807.949999999254942
FS( 24 ),2254324.140000000130385,2007409.639999999897555,2125192.129999999888241,2000277.890000000130385,2257661.599999999627471,10644865.400000000372529
FS( 25 ),2270873.279999999795109,2023463.860000000102445,2168978.540000000037253,2005279.909999999916181,2252722.399999999441206,10721317.989999998360872
