訓練日期,20151002 - 20160105
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11127127.100000001490116
真實報酬,1127127.100000001490116

夏普值報酬,0.104012710000000
夏普值風險,0.032727690897254
夏普值,3.178125530656614

預期報酬,20236.994648160991346
風險,141302.592272463865811
趨勢值,0.143217433754785
找到最佳解世代,2201
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](2),MCD[15](1),MSFT[18](3),PG[21](4),WMT[28](30),
Stock#,HD[9](2),MCD[15](1),MSFT[18](3),PG[21](4),WMT[28](30),
張數,16976,20042,43888,27616,30778,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,57.439999999944121,8.819999999832362,23.840000000083819,49.280000000027940,45.559999999823049,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2023596.639999999897555,2027657.959999999962747,2046521.280000000260770,2022092.800000000046566,2027392.419999999925494,10147261.099999999627471
FS( 3 ),2014769.120000000111759,2042288.619999999878928,2051787.840000000083819,2027063.680000000167638,2021544.600000000093132,10157453.859999999403954
FS( 4 ),2031235.840000000083819,2039683.159999999683350,2053982.239999999990687,2035900.800000000046566,2042473.639999999897555,10203275.679999999701977
FS( 5 ),2055172.000000000000000,2063332.719999999972060,2082509.440000000176951,2054679.680000000167638,2058478.199999999720603,10314172.039999999105930
FS( 6 ),2059755.520000000018626,2059524.739999999990687,2067587.520000000018626,2056888.960000000195578,2052630.379999999655411,10296387.119999999180436
FS( 7 ),2069431.840000000083819,2069144.899999999674037,2062759.840000000083819,2052746.560000000055879,2060017.100000000093132,10314100.240000000223517
FS( 8 ),2064508.800000000046566,2071950.779999999795109,2057932.160000000149012,2046671.040000000037253,2053861.500000000000000,10294924.280000001192093
FS( 9 ),2041760.959999999962747,2060727.259999999776483,2048715.680000000167638,2049432.639999999897555,1847648.899999999906868,10048285.439999999478459
FS( 10 ),2067904.000000000000000,2077562.539999999804422,2063198.719999999972060,2051089.599999999860302,1826104.299999999813735,10085859.160000000149012
FS( 11 ),2083691.679999999934807,2100811.259999999776483,2085142.719999999972060,2068487.680000000167638,1812561.979999999748543,10150695.320000000298023
FS( 12 ),2089803.039999999804422,2094197.399999999674037,2089970.399999999906868,2075667.839999999850988,1811330.859999999869615,10160969.539999999105930
FS( 13 ),2085559.039999999804422,2081170.099999999860302,2096553.600000000325963,2055508.160000000149012,1808253.059999999823049,10127043.960000000894070
FS( 14 ),2093198.239999999990687,2055115.500000000000000,2071537.440000000176951,2032310.720000000204891,1804867.479999999748543,10057029.380000000819564
FS( 15 ),2111192.799999999813735,2222065.359999999869615,2107964.480000000447035,2067106.879999999888241,1812869.759999999776483,10321199.279999999329448
FS( 16 ),2115436.799999999813735,2256537.600000000093132,2320382.400000000372529,2127309.759999999776483,1794402.959999999729916,10614069.519999999552965
FS( 17 ),2122227.200000000186265,2248320.379999999888241,2380947.839999999850988,2140013.120000000111759,1785785.119999999878928,10677293.659999998286366
FS( 18 ),2113060.160000000149012,2237497.699999999720603,2356370.559999999590218,2134489.919999999925494,1769164.999999999767169,10610583.339999999850988
FS( 19 ),2102025.759999999776483,2263552.299999999813735,2369098.080000000074506,2112949.440000000409782,1774089.479999999748543,10621715.060000000521541
FS( 20 ),2098800.319999999832362,2257138.859999999869615,2341887.520000000484288,2127033.599999999627471,1783938.439999999944121,10608798.740000000223517
FS( 21 ),2098970.080000000074506,2249723.319999999832362,2310288.160000000149012,2109359.360000000335276,1761778.279999999795109,10530119.200000001117587
FS( 22 ),2112041.600000000093132,2246917.439999999944121,2336620.959999999962747,2115434.879999999888241,1773166.139999999897555,10584181.019999999552965
FS( 23 ),2133261.600000000093132,2246316.179999999701977,2376559.040000000037253,2127862.080000000074506,1788555.139999999897555,10672554.039999999105930
FS( 24 ),2128508.319999999832362,2252729.620000000111759,2387531.040000000037253,2128138.240000000223517,1796557.419999999692664,10693464.639999998733401
FS( 25 ),2134280.160000000149012,2261748.519999999552965,2386653.280000000260770,2109635.520000000484288,1803944.139999999897555,10696261.620000001043081
FS( 26 ),2138693.919999999925494,2270967.839999999850988,2410352.799999999813735,2086990.399999999906868,1809176.399999999906868,10716181.359999999403954
