訓練日期,20100226 - 20100528
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12555591.580000000074506
真實報酬,2555591.580000000074506

夏普值報酬,0.246859158000000
夏普值風險,0.069307067940307
夏普值,3.561817940597578

預期報酬,48979.044016655076121
風險,566977.139326879289001
趨勢值,0.086386276658003
找到最佳解世代,2433
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,342114,
分配資金,10000000.000000000000000,
剩餘資金,7.779999999329448,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10215531.819999998435378,10215531.819999998435378
FS( 3 ),10208689.539999999105930,10208689.539999999105930
FS( 4 ),10229216.379999998956919,10229216.379999998956919
FS( 5 ),10297639.179999999701977,10297639.179999999701977
FS( 6 ),10701333.699999999254942,10701333.699999999254942
FS( 7 ),10708175.980000000447035,10708175.980000000447035
FS( 8 ),10899759.819999998435378,10899759.819999998435378
FS( 9 ),10988709.459999999031425,10988709.459999999031425
FS( 10 ),11019499.719999998807907,11019499.719999998807907
FS( 11 ),11074237.959999999031425,11074237.959999999031425
FS( 12 ),10940813.500000000000000,10940813.500000000000000
FS( 13 ),10968182.619999999180436,10968182.619999999180436
FS( 14 ),10954498.060000000521541,10954498.060000000521541
FS( 15 ),10978446.040000000968575,10978446.040000000968575
FS( 16 ),10862127.279999999329448,10862127.279999999329448
FS( 17 ),10985288.319999998435378,10985288.319999998435378
FS( 18 ),11159766.459999999031425,11159766.459999999031425
FS( 19 ),11211083.560000000521541,11211083.560000000521541
FS( 20 ),11077659.099999999627471,11077659.099999999627471
FS( 21 ),11286348.640000000596046,11286348.640000000596046
FS( 22 ),11358192.580000000074506,11358192.580000000074506
FS( 23 ),11525828.439999999478459,11525828.439999999478459
FS( 24 ),11484774.759999999776483,11484774.759999999776483
FS( 25 ),11532670.719999998807907,11532670.719999998807907
FS( 26 ),11655831.759999999776483,11655831.759999999776483
FS( 27 ),11707148.859999999403954,11707148.859999999403954
FS( 28 ),11758465.959999999031425,11758465.959999999031425
FS( 29 ),11727675.699999999254942,11727675.699999999254942
FS( 30 ),11816625.339999999850988,11816625.339999999850988
FS( 31 ),11840573.319999998435378,11840573.319999998435378
FS( 32 ),11847415.599999999627471,11847415.599999999627471
FS( 33 ),12008209.179999999701977,12008209.179999999701977
FS( 34 ),12165581.619999999180436,12165581.619999999180436
FS( 35 ),12090316.540000000968575,12090316.540000000968575
FS( 36 ),12076631.979999998584390,12076631.979999998584390
FS( 37 ),11953470.939999999478459,11953470.939999999478459
FS( 38 ),12668489.199999999254942,12668489.199999999254942
FS( 39 ),13024287.759999999776483,13024287.759999999776483
FS( 40 ),13236398.439999999478459,13236398.439999999478459
FS( 41 ),13171396.779999999329448,13171396.779999999329448
FS( 42 ),12805334.799999998882413,12805334.799999998882413
FS( 43 ),12784807.959999999031425,12784807.959999999031425
FS( 44 ),13130343.099999999627471,13130343.099999999627471
FS( 45 ),12760859.979999998584390,12760859.979999998584390
FS( 46 ),13017445.479999998584390,13017445.479999998584390
FS( 47 ),12641120.080000000074506,12641120.080000000074506
FS( 48 ),12511116.759999999776483,12511116.759999999776483
FS( 49 ),12035578.299999998882413,12035578.299999998882413
FS( 50 ),11525828.439999999478459,11525828.439999999478459
FS( 51 ),12411903.699999999254942,12411903.699999999254942
FS( 52 ),12538485.879999998956919,12538485.879999998956919
FS( 53 ),12808755.939999999478459,12808755.939999999478459
FS( 54 ),12627435.519999997690320,12627435.519999997690320
FS( 55 ),12405061.419999998062849,12405061.419999998062849
FS( 56 ),12425588.259999999776483,12425588.259999999776483
FS( 57 ),12333217.479999998584390,12333217.479999998584390
FS( 58 ),12138212.499999998137355,12138212.499999998137355
FS( 59 ),11621620.359999999403954,11621620.359999999403954
FS( 60 ),11843994.459999999031425,11843994.459999999031425
FS( 61 ),12059526.279999999329448,12059526.279999999329448
FS( 62 ),11984261.199999999254942,11984261.199999999254942
FS( 63 ),11929522.959999999031425,11929522.959999999031425
FS( 64 ),12381113.439999999478459,12381113.439999999478459
FS( 65 ),12555591.580000000074506,12555591.580000000074506
