訓練日期,20181029 - 20190201
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11265667.800000000745058
真實報酬,1265667.800000000745058

夏普值報酬,0.117866780000000
夏普值風險,0.025529815095332
夏普值,4.616828581008918

預期報酬,20288.455630171352823
風險,392433.241620678512845
趨勢值,0.051699126063795
找到最佳解世代,1958
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PG[21](2),
Stock#,CAT[3](1),PG[21](2),
張數,43867,56663,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,39.339999999850988,56.879999999888241,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5152657.159999999217689,5053829.849999999627471,10206487.009999997913837
FS( 3 ),5321983.779999999329448,5024931.720000000670552,10346915.500000000000000
FS( 4 ),5470254.240000000223517,5076495.049999999813735,10546749.289999999105930
FS( 5 ),5518069.270000000484288,5088960.910000000149012,10607030.179999999701977
FS( 6 ),5545266.809999999590218,5167722.480000000447035,10712989.289999999105930
FS( 7 ),5673358.450000000186265,5185288.009999999776483,10858646.460000000894070
FS( 8 ),5926471.040000000037253,5172822.150000000372529,11099293.190000001341105
FS( 9 ),5763724.469999998807907,5176788.559999999590218,10940513.029999997466803
FS( 10 ),5567200.309999999590218,5236284.709999999962747,10803485.019999999552965
FS( 11 ),5483414.339999999850988,5252716.980000000447035,10736131.320000000298023
FS( 12 ),5525526.659999999217689,5296347.490000000223517,10821874.149999998509884
FS( 13 ),5487801.040000000037253,5297480.750000000000000,10785281.789999999105930
FS( 14 ),5677306.479999999515712,5316746.169999999925494,10994052.649999998509884
FS( 15 ),5700994.660000000149012,5316179.539999999105930,11017174.199999999254942
FS( 16 ),5526404.000000000000000,5286148.150000000372529,10812552.150000000372529
FS( 17 ),5363657.429999999701977,5218719.179999999701977,10582376.609999999403954
FS( 18 ),5433844.629999999888241,5179621.709999999962747,10613466.339999999850988
FS( 19 ),5365850.779999999329448,5186987.900000000372529,10552838.679999999701977
FS( 20 ),5474640.939999999478459,5209653.099999999627471,10684294.039999999105930
FS( 21 ),5465867.540000000037253,5253850.240000000223517,10719717.780000001192093
FS( 22 ),5736526.930000000633299,5270282.509999999776483,11006809.440000001341105
FS( 23 ),5712838.749999999068677,5259516.539999999105930,10972355.289999999105930
FS( 24 ),5951475.229999999515712,5355277.009999999776483,11306752.239999998360872
FS( 25 ),6095358.989999999292195,5287848.039999999105930,11383207.029999997466803
FS( 26 ),5672919.779999999329448,5287281.410000000149012,10960201.189999999478459
FS( 27 ),5631246.129999999888241,5300880.529999999329448,10932126.660000000149012
FS( 28 ),5419807.189999999478459,5238551.230000000447035,10658358.419999999925494
FS( 29 ),5412788.469999999739230,5271415.769999999552965,10684204.239999998360872
FS( 30 ),5406208.419999999925494,5321279.209999999962747,10727487.629999998956919
FS( 31 ),5499645.129999999888241,5328078.769999999552965,10827723.899999998509884
FS( 32 ),5522894.639999999664724,5467469.750000000000000,10990364.390000000596046
FS( 33 ),5561058.929999999701977,5475969.200000000186265,11037028.129999998956919
FS( 34 ),5460164.830000000074506,5256683.389999999664724,10716848.219999998807907
FS( 35 ),5451391.429999999701977,5240817.750000000000000,10692209.179999999701977
FS( 36 ),5366289.450000000186265,5199453.759999999776483,10565743.210000000894070
FS( 37 ),5332073.189999999478459,5155256.620000000111759,10487329.809999998658895
FS( 38 ),5267150.029999999329448,5154689.990000000223517,10421840.019999999552965
FS( 39 ),5130284.990000000223517,4950136.559999999590218,10080421.550000000745058
FS( 40 ),5472886.259999999776483,5104826.549999999813735,10577712.809999998658895
FS( 41 ),5556672.229999999515712,5214186.139999999664724,10770858.369999999180436
FS( 42 ),5510173.209999999962747,5166589.220000000670552,10676762.429999999701977
FS( 43 ),5574219.029999999329448,5208519.839999999850988,10782738.869999999180436
FS( 44 ),5543950.799999999813735,5172255.519999999552965,10716206.320000000298023
FS( 45 ),5330318.509999999776483,5135991.200000000186265,10466309.710000000894070
FS( 46 ),5621595.389999999664724,5240817.750000000000000,10862413.140000000596046
FS( 47 ),5625104.749999999068677,5219852.440000000409782,10844957.189999999478459
FS( 48 ),5692659.930000000633299,5239117.859999999403954,10931777.789999999105930
FS( 49 ),5714593.430000000633299,5153556.730000000447035,10868150.160000000149012
FS( 50 ),5832595.660000000149012,5166022.589999999850988,10998618.250000000000000
FS( 51 ),5794870.040000000037253,5200020.389999999664724,10994890.429999999701977
FS( 52 ),5781709.940000000409782,5164889.330000000074506,10946599.269999999552965
FS( 53 ),5733017.569999999366701,5213619.509999999776483,10946637.079999998211861
FS( 54 ),5775568.559999999590218,5177355.190000000409782,10952923.750000000000000
FS( 55 ),5901905.519999999552965,5135991.200000000186265,11037896.719999998807907
FS( 56 ),5992271.540000000037253,5180188.339999999850988,11172459.879999998956919
FS( 57 ),5801011.419999999925494,5124658.599999999627471,10925670.019999999552965
FS( 58 ),5782587.279999999329448,5373975.799999999813735,11156563.079999998211861
FS( 59 ),5822506.249999999068677,5343377.779999999329448,11165884.029999997466803
FS( 60 ),6003676.960000000894070,5303713.679999999701977,11307390.640000000596046
FS( 61 ),5455778.129999999888241,5299180.639999999664724,10754958.769999999552965
FS( 62 ),5550530.849999999627471,5300313.900000000372529,10850844.750000000000000
FS( 63 ),5707574.710000000894070,5355843.639999999664724,11063418.350000001490116
FS( 64 ),5841369.059999999590218,5466336.490000000223517,11307705.550000000745058
FS( 65 ),5742668.309999999590218,5522999.490000000223517,11265667.800000000745058
