訓練日期,20111020 - 20120124
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11838752.760000001639128
真實報酬,1838752.760000001639128

夏普值報酬,0.175175276000000
夏普值風險,0.052888951227357
夏普值,3.312133667520884

預期報酬,29711.466871083131991
風險,154586.446645811287453
趨勢值,0.192199688366976
找到最佳解世代,2455
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,139938,56173,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,15.260000000707805,41.269999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5158129.940000000409782,5185932.629999998956919,10344062.570000000298023
FS( 3 ),5135739.860000001266599,5168519.000000000000000,10304258.860000001266599
FS( 4 ),5043380.780000000260770,5155037.479999999515712,10198418.259999999776483
FS( 5 ),5114749.160000000149012,5155599.209999999962747,10270348.370000001043081
FS( 6 ),5229498.320000000298023,5252778.500000000000000,10482276.820000000298023
FS( 7 ),5054575.820000000298023,5240420.439999999478459,10294996.259999999776483
FS( 8 ),5009795.660000000149012,5215704.319999999366701,10225499.980000000447035
FS( 9 ),4973411.780000000260770,5162901.699999999254942,10136313.480000000447035
FS( 10 ),5036383.880000000819564,5197728.959999999962747,10234112.839999999850988
FS( 11 ),5100755.360000001266599,5224130.269999999552965,10324885.630000000819564
FS( 12 ),5092359.080000001005828,5269630.399999999441206,10361989.480000000447035
FS( 13 ),5225300.180000001564622,5315130.530000000260770,10540430.710000000894070
FS( 14 ),5309262.980000000447035,5314007.069999999366701,10623270.050000000745058
FS( 15 ),5200111.339999999850988,5204469.719999999739230,10404581.059999998658895
FS( 16 ),5205708.860000001266599,5238735.250000000000000,10444444.110000001266599
FS( 17 ),5326055.540000000968575,5322994.750000000000000,10649050.290000000968575
FS( 18 ),5352643.760000000707805,5283673.649999999441206,10636317.410000000149012
FS( 19 ),5327454.920000000856817,5306704.579999999143183,10634159.500000000000000
FS( 20 ),5295269.180000001564622,5232556.219999999739230,10527825.400000002235174
FS( 21 ),5264482.820000000298023,5184247.439999999478459,10448730.259999999776483
FS( 22 ),5300866.700000001117587,5209525.289999999105930,10510391.990000000223517
FS( 23 ),5186117.540000000968575,5183685.709999999962747,10369803.250000000000000
FS( 24 ),5191715.060000000521541,5204469.719999999739230,10396184.780000001192093
