訓練日期,20100304 - 20100604
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12149495.750000000000000
真實報酬,2149495.750000000000000

夏普值報酬,0.206249575000000
夏普值風險,0.061789282807900
夏普值,3.337950622298388

預期報酬,43445.126917738751217
風險,535153.355586164980195
趨勢值,0.081182574049550
找到最佳解世代,1982
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,332225,
分配資金,10000000.000000000000000,
剩餘資金,27.500000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10392025.500000000000000,10392025.500000000000000
FS( 3 ),10398670.000000000000000,10398670.000000000000000
FS( 4 ),10584716.000000000000000,10584716.000000000000000
FS( 5 ),10671094.500000000000000,10671094.500000000000000
FS( 6 ),10700994.750000000000000,10700994.750000000000000
FS( 7 ),10754150.750000000000000,10754150.750000000000000
FS( 8 ),10624583.000000000000000,10624583.000000000000000
FS( 9 ),10651161.000000000000000,10651161.000000000000000
FS( 10 ),10637872.000000001862645,10637872.000000001862645
FS( 11 ),10661127.750000001862645,10661127.750000001862645
FS( 12 ),10548171.250000000000000,10548171.250000000000000
FS( 13 ),10667772.250000000000000,10667772.250000000000000
FS( 14 ),10837207.000000000000000,10837207.000000000000000
FS( 15 ),10887040.750000001862645,10887040.750000001862645
FS( 16 ),10757473.000000000000000,10757473.000000000000000
FS( 17 ),10960130.250000000000000,10960130.250000000000000
FS( 18 ),11029897.500000001862645,11029897.500000001862645
FS( 19 ),11192687.750000000000000,11192687.750000000000000
FS( 20 ),11152820.750000000000000,11152820.750000000000000
FS( 21 ),11199332.250000000000000,11199332.250000000000000
FS( 22 ),11318933.250000000000000,11318933.250000000000000
FS( 23 ),11368767.000000000000000,11368767.000000000000000
FS( 24 ),11418600.750000000000000,11418600.750000000000000
FS( 25 ),11388700.500000000000000,11388700.500000000000000
FS( 26 ),11475079.000000000000000,11475079.000000000000000
FS( 27 ),11498334.750000000000000,11498334.750000000000000
FS( 28 ),11504979.250000000000000,11504979.250000000000000
FS( 29 ),11661125.000000000000000,11661125.000000000000000
FS( 30 ),11813948.500000000000000,11813948.500000000000000
FS( 31 ),11740859.000000001862645,11740859.000000001862645
FS( 32 ),11727569.999999998137355,11727569.999999998137355
FS( 33 ),11607969.000000000000000,11607969.000000000000000
FS( 34 ),12302319.250000000000000,12302319.250000000000000
FS( 35 ),12647833.250000000000000,12647833.250000000000000
FS( 36 ),12853812.750000000000000,12853812.750000000000000
FS( 37 ),12790690.000000000000000,12790690.000000000000000
FS( 38 ),12435209.250000000000000,12435209.250000000000000
FS( 39 ),12415275.750000000000000,12415275.750000000000000
FS( 40 ),12750823.000000000000000,12750823.000000000000000
FS( 41 ),12392019.999999998137355,12392019.999999998137355
FS( 42 ),12641188.749999998137355,12641188.749999998137355
FS( 43 ),12275741.250000001862645,12275741.250000001862645
FS( 44 ),12149495.750000000000000,12149495.750000000000000
FS( 45 ),11687703.000000000000000,11687703.000000000000000
FS( 46 ),11192687.750000000000000,11192687.750000000000000
FS( 47 ),12053150.500000000000000,12053150.500000000000000
FS( 48 ),12176073.750000000000000,12176073.750000000000000
FS( 49 ),12438531.500000000000000,12438531.500000000000000
FS( 50 ),12262452.249999998137355,12262452.249999998137355
FS( 51 ),12046506.000000000000000,12046506.000000000000000
FS( 52 ),12066439.500000000000000,12066439.500000000000000
FS( 53 ),11976738.749999998137355,11976738.749999998137355
FS( 54 ),11787370.499999998137355,11787370.499999998137355
FS( 55 ),11285710.750000000000000,11285710.750000000000000
FS( 56 ),11501657.000000000000000,11501657.000000000000000
FS( 57 ),11710958.750000000000000,11710958.750000000000000
FS( 58 ),11637869.250000000000000,11637869.250000000000000
FS( 59 ),11584713.250000000000000,11584713.250000000000000
FS( 60 ),12023250.250000000000000,12023250.250000000000000
FS( 61 ),12192685.000000001862645,12192685.000000001862645
FS( 62 ),12378731.000000000000000,12378731.000000000000000
FS( 63 ),12528232.250000000000000,12528232.250000000000000
FS( 64 ),12488365.250000001862645,12488365.250000001862645
FS( 65 ),12149495.750000000000000,12149495.750000000000000
