訓練日期,20100405 - 20100706
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10425593.850000001490116
真實報酬,425593.850000001490116

夏普值報酬,0.033859385000000
夏普值風險,0.040421338540258
夏普值,0.837661151826466

預期報酬,17701.185701702870574
風險,444985.625328163907398
趨勢值,0.039779230370978
找到最佳解世代,2259
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,293513,
分配資金,10000000.000000000000000,
剩餘資金,12.089999999850988,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10044026.949999999254942,10044026.949999999254942
FS( 3 ),10088053.899999998509884,10088053.899999998509884
FS( 4 ),10061637.730000000447035,10061637.730000000447035
FS( 5 ),10137951.109999999403954,10137951.109999999403954
FS( 6 ),10158497.019999999552965,10158497.019999999552965
FS( 7 ),10164367.280000001192093,10164367.280000001192093
FS( 8 ),10302318.390000000596046,10302318.390000000596046
FS( 9 ),10437334.370000001043081,10437334.370000001043081
FS( 10 ),10372761.510000001639128,10372761.510000001639128
FS( 11 ),10361020.989999998360872,10361020.989999998360872
FS( 12 ),10255356.309999998658895,10255356.309999998658895
FS( 13 ),10868798.480000000447035,10868798.480000000447035
FS( 14 ),11174052.000000000000000,11174052.000000000000000
FS( 15 ),11356030.059999998658895,11356030.059999998658895
FS( 16 ),11300262.589999999850988,11300262.589999999850988
FS( 17 ),10986203.679999999701977,10986203.679999999701977
FS( 18 ),10968592.899999998509884,10968592.899999998509884
FS( 19 ),11265041.030000001192093,11265041.030000001192093
FS( 20 ),10948046.989999998360872,10948046.989999998360872
FS( 21 ),11168181.739999998360872,11168181.739999998360872
FS( 22 ),10845317.440000001341105,10845317.440000001341105
FS( 23 ),10733782.500000000000000,10733782.500000000000000
FS( 24 ),10325799.429999999701977,10325799.429999999701977
FS( 25 ),9888465.059999998658895,9888465.059999998658895
FS( 26 ),10648663.730000000447035,10648663.730000000447035
FS( 27 ),10757263.539999999105930,10757263.539999999105930
FS( 28 ),10989138.809999998658895,10989138.809999998658895
FS( 29 ),10833576.919999998062849,10833576.919999998062849
FS( 30 ),10642793.469999998807907,10642793.469999998807907
FS( 31 ),10660404.250000000000000,10660404.250000000000000
FS( 32 ),10581155.739999998360872,10581155.739999998360872
FS( 33 ),10413853.329999998211861,10413853.329999998211861
FS( 34 ),9970648.699999999254942,9970648.699999999254942
FS( 35 ),10161432.149999998509884,10161432.149999998509884
FS( 36 ),10346345.339999999850988,10346345.339999999850988
FS( 37 ),10281772.480000000447035,10281772.480000000447035
FS( 38 ),10234810.399999998509884,10234810.399999998509884
FS( 39 ),10622247.559999998658895,10622247.559999998658895
FS( 40 ),10771939.190000001341105,10771939.190000001341105
FS( 41 ),10936306.469999998807907,10936306.469999998807907
FS( 42 ),11068387.320000000298023,11068387.320000000298023
FS( 43 ),11033165.760000001639128,11033165.760000001639128
FS( 44 ),10733782.500000000000000,10733782.500000000000000
FS( 45 ),10522453.140000000596046,10522453.140000000596046
FS( 46 ),10454945.149999998509884,10454945.149999998509884
FS( 47 ),10196653.710000000894070,10196653.710000000894070
FS( 48 ),10504842.359999999403954,10504842.359999999403954
FS( 49 ),10631052.949999999254942,10631052.949999999254942
FS( 50 ),10663339.379999998956919,10663339.379999998956919
FS( 51 ),10889344.390000000596046,10889344.390000000596046
FS( 52 ),11206338.429999999701977,11206338.429999999701977
FS( 53 ),11400057.010000001639128,11400057.010000001639128
FS( 54 ),11491046.039999999105930,11491046.039999999105930
FS( 55 ),11329613.890000000596046,11329613.890000000596046
FS( 56 ),11482240.649999998509884,11482240.649999998509884
FS( 57 ),11361900.320000000298023,11361900.320000000298023
FS( 58 ),11279716.679999999701977,11279716.679999999701977
FS( 59 ),11182857.390000000596046,11182857.390000000596046
FS( 60 ),11250365.379999998956919,11250365.379999998956919
FS( 61 ),10742587.890000000596046,10742587.890000000596046
FS( 62 ),10545934.179999999701977,10545934.179999999701977
FS( 63 ),10419723.589999999850988,10419723.589999999850988
FS( 64 ),10355150.730000000447035,10355150.730000000447035
FS( 65 ),10425593.850000001490116,10425593.850000001490116
