訓練日期,20100415 - 20100716
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10039369.960000000894070
真實報酬,39369.960000000894070

夏普值報酬,-0.004763004000000
夏普值風險,0.035371796360136
夏普值,-0.134655417313434

預期報酬,7208.253545294407559
風險,384733.291201540036127
趨勢值,0.018735715650659
找到最佳解世代,2280
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,281214,
分配資金,10000000.000000000000000,
剩餘資金,30.160000000149012,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9938132.920000001788139,9938132.920000001788139
FS( 3 ),9926884.359999999403954,9926884.359999999403954
FS( 4 ),9825647.320000000298023,9825647.320000000298023
FS( 5 ),10413384.580000000074506,10413384.580000000074506
FS( 6 ),10705847.140000000596046,10705847.140000000596046
FS( 7 ),10880199.820000000298023,10880199.820000000298023
FS( 8 ),10826769.160000000149012,10826769.160000000149012
FS( 9 ),10525870.179999999701977,10525870.179999999701977
FS( 10 ),10508997.339999999850988,10508997.339999999850988
FS( 11 ),10793023.480000000447035,10793023.480000000447035
FS( 12 ),10489312.359999999403954,10489312.359999999403954
FS( 13 ),10700222.859999999403954,10700222.859999999403954
FS( 14 ),10390887.460000000894070,10390887.460000000894070
FS( 15 ),10284026.140000000596046,10284026.140000000596046
FS( 16 ),9893138.679999999701977,9893138.679999999701977
FS( 17 ),9474129.820000000298023,9474129.820000000298023
FS( 18 ),10202474.080000000074506,10202474.080000000074506
FS( 19 ),10306523.259999999776483,10306523.259999999776483
FS( 20 ),10528682.320000000298023,10528682.320000000298023
FS( 21 ),10379638.899999998509884,10379638.899999998509884
FS( 22 ),10196849.799999998882413,10196849.799999998882413
FS( 23 ),10213722.640000000596046,10213722.640000000596046
FS( 24 ),10137794.859999999403954,10137794.859999999403954
FS( 25 ),9977502.879999998956919,9977502.879999998956919
FS( 26 ),9552869.740000000223517,9552869.740000000223517
FS( 27 ),9735658.839999999850988,9735658.839999999850988
FS( 28 ),9912823.660000000149012,9912823.660000000149012
FS( 29 ),9850956.580000000074506,9850956.580000000074506
FS( 30 ),9805962.339999999850988,9805962.339999999850988
FS( 31 ),10177164.820000000298023,10177164.820000000298023
FS( 32 ),10320583.960000000894070,10320583.960000000894070
FS( 33 ),10478063.799999998882413,10478063.799999998882413
FS( 34 ),10604610.099999999627471,10604610.099999999627471
FS( 35 ),10570864.420000001788139,10570864.420000001788139
FS( 36 ),10284026.140000000596046,10284026.140000000596046
FS( 37 ),10081552.060000000521541,10081552.060000000521541
FS( 38 ),10016872.839999999850988,10016872.839999999850988
FS( 39 ),9769404.520000001415610,9769404.520000001415610
FS( 40 ),10064679.220000000670552,10064679.220000000670552
FS( 41 ),10185601.240000000223517,10185601.240000000223517
FS( 42 ),10216534.779999999329448,10216534.779999999329448
FS( 43 ),10433069.560000000521541,10433069.560000000521541
FS( 44 ),10736780.679999999701977,10736780.679999999701977
FS( 45 ),10922381.920000001788139,10922381.920000001788139
FS( 46 ),11009558.259999999776483,11009558.259999999776483
FS( 47 ),10854890.560000000521541,10854890.560000000521541
FS( 48 ),11001121.839999999850988,11001121.839999999850988
FS( 49 ),10885824.099999999627471,10885824.099999999627471
FS( 50 ),10807084.179999999701977,10807084.179999999701977
FS( 51 ),10714283.560000000521541,10714283.560000000521541
FS( 52 ),10778962.779999999329448,10778962.779999999329448
FS( 53 ),10292462.560000000521541,10292462.560000000521541
FS( 54 ),10104049.179999999701977,10104049.179999999701977
FS( 55 ),9983127.160000000149012,9983127.160000000149012
FS( 56 ),9921260.080000000074506,9921260.080000000074506
FS( 57 ),9988751.440000001341105,9988751.440000001341105
FS( 58 ),10390887.460000000894070,10390887.460000000894070
FS( 59 ),10368390.339999999850988,10368390.339999999850988
FS( 60 ),10430257.420000001788139,10430257.420000001788139
FS( 61 ),10337456.799999998882413,10337456.799999998882413
FS( 62 ),10115297.740000000223517,10115297.740000000223517
FS( 63 ),10151855.560000000521541,10151855.560000000521541
FS( 64 ),10101237.040000000968575,10101237.040000000968575
FS( 65 ),10039369.960000000894070,10039369.960000000894070
