訓練日期,20091021 - 20100125
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11860103.529999999329448
真實報酬,1860103.529999999329448

夏普值報酬,0.177310353000000
夏普值風險,0.061801788341940
夏普值,2.869016540734507

預期報酬,35875.630391181330197
風險,178963.606011756346561
趨勢值,0.200463274017984
找到最佳解世代,2104
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](12),MRK[17](3),MSFT[18](6),UNH[23](1),
FS( 44 ),2720715.189999999944121,2887849.930000000167638,2898793.200000000186265,3216558.399999999906868,11723916.720000000670552
FS( 45 ),2713802.409999999683350,2849600.430000000167638,2908198.700000000186265,3146893.000000000000000,11618494.539999999105930
FS( 46 ),2739478.449999999720603,2829710.690000000409782,2915723.100000000093132,3152864.319999999832362,11637776.560000000521541
FS( 47 ),2722690.270000000018626,2852660.390000000130385,2931712.450000000186265,3124002.939999999944121,11631066.049999998882413
FS( 48 ),2726146.659999999683350,2838125.580000000074506,2952404.550000000279397,3070261.060000000055879,11586937.850000001490116
FS( 49 ),2713802.409999999683350,2835065.620000000111759,2911960.900000000372529,3086184.580000000074506,11547013.509999999776483
FS( 50 ),2672819.500000000000000,2795286.140000000130385,2866814.500000000000000,3033437.919999999925494,11368358.060000000521541
FS( 51 ),2774042.349999999627471,2831240.669999999925494,2911020.350000000093132,3137936.020000000018626,11654239.389999998733401
FS( 52 ),2864896.029999999795109,2842715.520000000018626,2911960.900000000372529,3132959.919999999925494,11752532.369999999180436
FS( 53 ),2951799.549999999813735,2880965.020000000018626,2894090.450000000186265,3163811.739999999757856,11890666.759999999776483
FS( 54 ),3071291.890000000130385,2885554.959999999962747,2863992.850000000093132,3285228.579999999608845,12106068.279999999329448
FS( 55 ),3041665.689999999944121,2884024.980000000447035,2883744.399999999906868,3254376.760000000242144,12063811.830000000074506
FS( 56 ),3005620.479999999515712,2895499.830000000074506,2847062.950000000186265,3276271.600000000093132,12024454.859999999403954
FS( 57 ),2983894.599999999627471,2872550.129999999888241,2828251.950000000186265,3189687.459999999497086,11874384.139999998733401
FS( 58 ),3019939.809999999590218,2978118.750000000000000,2854587.350000000093132,3238453.239999999757856,12091099.150000000372529
FS( 59 ),3039690.609999999869615,3059207.690000000409782,2911960.900000000372529,3316080.399999999906868,12326939.600000001490116
FS( 60 ),3003151.629999999888241,3019428.209999999962747,2902555.399999999906868,3358874.859999999869615,12284010.099999999627471
FS( 61 ),2994757.539999999571592,3107402.060000000055879,2925128.600000000093132,3496215.220000000204891,12523503.419999999925494
FS( 62 ),2972537.890000000130385,3138766.650000000372529,2877160.550000000279397,3438492.459999999497086,12426957.550000000745058
FS( 63 ),2923160.890000000130385,3066092.600000000093132,2822608.650000000372529,3294185.560000000055879,12106047.700000001117587
FS( 64 ),2852551.779999999795109,2973528.810000000055879,2723850.900000000372529,3300156.879999999422580,11850088.369999999180436
FS( 65 ),2853045.549999999813735,2965113.919999999925494,2757710.700000000186265,3284233.359999999869615,11860103.529999999329448
