訓練日期,20100406 - 20100707
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10797776.980000002309680
真實報酬,797776.980000002309680

夏普值報酬,0.071077698000000
夏普值風險,0.039620359333313
夏普值,1.793969040059594

預期報酬,16733.584890193815227
風險,438890.244164534611627
趨勢值,0.038127037710869
找到最佳解世代,2349
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,292226,
分配資金,10000000.000000000000000,
剩餘資金,26.280000001192093,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10043833.900000000372529,10043833.900000000372529
FS( 3 ),10017533.560000002384186,10017533.560000002384186
FS( 4 ),10093512.320000000298023,10093512.320000000298023
FS( 5 ),10113968.140000000596046,10113968.140000000596046
FS( 6 ),10119812.660000002011657,10119812.660000002011657
FS( 7 ),10257158.880000000819564,10257158.880000000819564
FS( 8 ),10391582.840000001713634,10391582.840000001713634
FS( 9 ),10327293.120000002905726,10327293.120000002905726
FS( 10 ),10315604.080000000074506,10315604.080000000074506
FS( 11 ),10210402.720000000670552,10210402.720000000670552
FS( 12 ),10821155.060000002384186,10821155.060000002384186
FS( 13 ),11125070.100000001490116,11125070.100000001490116
FS( 14 ),11306250.220000000670552,11306250.220000000670552
FS( 15 ),11250727.280000001192093,11250727.280000001192093
FS( 16 ),10938045.460000000894070,10938045.460000000894070
FS( 17 ),10920511.900000000372529,10920511.900000000372529
FS( 18 ),11215660.160000002011657,11215660.160000002011657
FS( 19 ),10900056.080000000074506,10900056.080000000074506
FS( 20 ),11119225.580000000074506,11119225.580000000074506
FS( 21 ),10797776.980000002309680,10797776.980000002309680
FS( 22 ),10686731.100000001490116,10686731.100000001490116
FS( 23 ),10280536.960000000894070,10280536.960000000894070
FS( 24 ),9845120.220000000670552,9845120.220000000670552
FS( 25 ),10601985.560000002384186,10601985.560000002384186
FS( 26 ),10710109.180000001564622,10710109.180000001564622
FS( 27 ),10940967.720000000670552,10940967.720000000670552
FS( 28 ),10786087.939999999478459,10786087.939999999478459
FS( 29 ),10596141.040000000968575,10596141.040000000968575
FS( 30 ),10613674.600000001490116,10613674.600000001490116
FS( 31 ),10534773.580000000074506,10534773.580000000074506
FS( 32 ),10368204.759999999776483,10368204.759999999776483
FS( 33 ),9926943.500000000000000,9926943.500000000000000
FS( 34 ),10116890.400000000372529,10116890.400000000372529
FS( 35 ),10300992.780000001192093,10300992.780000001192093
FS( 36 ),10236703.060000002384186,10236703.060000002384186
FS( 37 ),10189946.900000000372529,10189946.900000000372529
FS( 38 ),10575685.220000000670552,10575685.220000000670552
FS( 39 ),10724720.480000002309680,10724720.480000002309680
FS( 40 ),10888367.040000000968575,10888367.040000000968575
FS( 41 ),11019868.740000002086163,11019868.740000002086163
FS( 42 ),10984801.620000002905726,10984801.620000002905726
FS( 43 ),10686731.100000001490116,10686731.100000001490116
FS( 44 ),10476328.380000000819564,10476328.380000000819564
FS( 45 ),10409116.400000000372529,10409116.400000000372529
FS( 46 ),10151957.520000001415610,10151957.520000001415610
FS( 47 ),10458794.820000000298023,10458794.820000000298023
FS( 48 ),10584452.000000000000000,10584452.000000000000000
FS( 49 ),10616596.860000001266599,10616596.860000001266599
FS( 50 ),10841610.880000000819564,10841610.880000000819564
FS( 51 ),11157214.960000000894070,11157214.960000000894070
FS( 52 ),11350084.120000002905726,11350084.120000002905726
FS( 53 ),11440674.180000001564622,11440674.180000001564622
FS( 54 ),11279949.880000000819564,11279949.880000000819564
FS( 55 ),11431907.400000000372529,11431907.400000000372529
FS( 56 ),11312094.740000002086163,11312094.740000002086163
FS( 57 ),11230271.460000000894070,11230271.460000000894070
FS( 58 ),11133836.880000000819564,11133836.880000000819564
FS( 59 ),11201048.860000001266599,11201048.860000001266599
FS( 60 ),10695497.880000000819564,10695497.880000000819564
FS( 61 ),10499706.460000000894070,10499706.460000000894070
FS( 62 ),10374049.280000001192093,10374049.280000001192093
FS( 63 ),10309759.560000002384186,10309759.560000002384186
FS( 64 ),10379893.800000002607703,10379893.800000002607703
FS( 65 ),10797776.980000002309680,10797776.980000002309680
