訓練日期,20181005 - 20190109
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11071206.399999998509884
真實報酬,1071206.399999998509884

夏普值報酬,0.098420640000000
夏普值風險,0.048527691998344
夏普值,2.028133544932635

預期報酬,26697.244862008199561
風險,405683.534600122366101
趨勢值,0.065808056243454
找到最佳解世代,2280
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,121728,
分配資金,10000000.000000000000000,
剩餘資金,44.799999998882413,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10030432.000000000000000,10030432.000000000000000
FS( 3 ),10006086.399999998509884,10006086.399999998509884
FS( 4 ),9913573.119999999180436,9913573.119999999180436
FS( 5 ),9600732.160000000149012,9600732.160000000149012
FS( 6 ),9623860.479999998584390,9623860.479999998584390
FS( 7 ),9754109.439999997615814,9754109.439999997615814
FS( 8 ),9861230.080000000074506,9861230.080000000074506
FS( 9 ),9964698.879999998956919,9964698.879999998956919
FS( 10 ),9767499.519999997690320,9767499.519999997690320
FS( 11 ),10626899.199999999254942,10626899.199999999254942
FS( 12 ),10541689.599999997764826,10541689.599999997764826
FS( 13 ),10609857.279999999329448,10609857.279999999329448
FS( 14 ),10889831.679999997839332,10889831.679999997839332
FS( 15 ),10833836.799999998882413,10833836.799999998882413
FS( 16 ),10695066.879999998956919,10695066.879999998956919
FS( 17 ),10741323.519999997690320,10741323.519999997690320
FS( 18 ),10856965.119999999180436,10856965.119999999180436
FS( 19 ),10794883.839999999850988,10794883.839999999850988
FS( 20 ),10905656.319999998435378,10905656.319999998435378
FS( 21 ),10932436.479999998584390,10932436.479999998584390
FS( 22 ),11101638.399999998509884,11101638.399999998509884
FS( 23 ),11139374.080000000074506,11139374.080000000074506
FS( 24 ),11112593.919999999925494,11112593.919999999925494
FS( 25 ),11121114.879999998956919,11121114.879999998956919
FS( 26 ),11248929.279999999329448,11248929.279999999329448
FS( 27 ),11284230.399999998509884,11284230.399999998509884
FS( 28 ),11377960.959999999031425,11377960.959999999031425
FS( 29 ),11380395.519999997690320,11380395.519999997690320
FS( 30 ),11421783.039999999105930,11421783.039999999105930
FS( 31 ),11420565.759999997913837,11420565.759999997913837
FS( 32 ),11356049.919999999925494,11356049.919999999925494
FS( 33 ),11211193.599999997764826,11211193.599999997764826
FS( 34 ),11127201.279999999329448,11127201.279999999329448
FS( 35 ),11143025.919999999925494,11143025.919999999925494
FS( 36 ),11191717.119999999180436,11191717.119999999180436
FS( 37 ),11286664.959999999031425,11286664.959999999031425
FS( 38 ),11321966.080000000074506,11321966.080000000074506
FS( 39 ),11298837.759999997913837,11298837.759999997913837
FS( 40 ),11504558.080000000074506,11504558.080000000074506
FS( 41 ),11359701.759999997913837,11359701.759999997913837
FS( 42 ),11358484.479999998584390,11358484.479999998584390
FS( 43 ),11387699.199999999254942,11387699.199999999254942
FS( 44 ),11253798.399999998509884,11253798.399999998509884
FS( 45 ),11324400.639999998733401,11324400.639999998733401
FS( 46 ),11431521.279999999329448,11431521.279999999329448
FS( 47 ),11446128.639999998733401,11446128.639999998733401
FS( 48 ),11745579.519999997690320,11745579.519999997690320
FS( 49 ),11763838.719999998807907,11763838.719999998807907
FS( 50 ),11292751.359999997541308,11292751.359999997541308
FS( 51 ),11258667.519999997690320,11258667.519999997690320
FS( 52 ),11169806.080000000074506,11169806.080000000074506
FS( 53 ),11074858.240000000223517,11074858.240000000223517
FS( 54 ),11073640.959999999031425,11073640.959999999031425
FS( 55 ),10634202.879999998956919,10634202.879999998956919
FS( 56 ),10966520.319999998435378,10966520.319999998435378
FS( 57 ),11201455.359999997541308,11201455.359999997541308
FS( 58 ),11099203.839999999850988,11099203.839999999850988
FS( 59 ),11189282.559999998658895,11189282.559999998658895
FS( 60 ),11111376.639999998733401,11111376.639999998733401
FS( 61 ),11033470.719999998807907,11033470.719999998807907
FS( 62 ),11258667.519999997690320,11258667.519999997690320
FS( 63 ),11213628.160000000149012,11213628.160000000149012
FS( 64 ),11255015.679999997839332,11255015.679999997839332
FS( 65 ),11071206.399999998509884,11071206.399999998509884
