訓練日期,20110720 - 20111019
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10388315.250000001862645
真實報酬,388315.250000001862645

夏普值報酬,0.030131525000000
夏普值風險,0.020330027992821
夏普值,1.482119208622815

預期報酬,4687.884018576867675
風險,189466.831306657579262
趨勢值,0.024742504987532
找到最佳解世代,1976
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,115915,
分配資金,10000000.000000000000000,
剩餘資金,12.950000001117587,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10031297.050000002607703,10031297.050000002607703
FS( 3 ),10265445.350000001490116,10265445.350000001490116
FS( 4 ),10214442.750000001862645,10214442.750000001862645
FS( 5 ),10202851.250000000000000,10202851.250000000000000
FS( 6 ),10095050.300000000745058,10095050.300000000745058
FS( 7 ),10059116.650000000372529,10059116.650000000372529
FS( 8 ),10024342.150000002235174,10024342.150000002235174
FS( 9 ),10013909.800000000745058,10013909.800000000745058
FS( 10 ),9859742.850000001490116,9859742.850000001490116
FS( 11 ),9915382.050000002607703,9915382.050000002607703
FS( 12 ),9769329.150000000372529,9769329.150000000372529
FS( 13 ),9862061.150000000372529,9862061.150000000372529
FS( 14 ),9517793.600000001490116,9517793.600000001490116
FS( 15 ),9964066.349999999627471,9964066.349999999627471
FS( 16 ),9746146.150000000372529,9746146.150000000372529
FS( 17 ),10001159.150000000372529,10001159.150000000372529
FS( 18 ),10026660.450000001117587,10026660.450000001117587
FS( 19 ),10063753.250000000000000,10063753.250000000000000
FS( 20 ),10046366.000000001862645,10046366.000000001862645
FS( 21 ),10142575.450000001117587,10142575.450000001117587
FS( 22 ),9923496.100000001490116,9923496.100000001490116
FS( 23 ),10111278.400000002235174,10111278.400000002235174
FS( 24 ),10172713.350000001490116,10172713.350000001490116
FS( 25 ),10377882.900000000372529,10377882.900000000372529
FS( 26 ),10447431.900000000372529,10447431.900000000372529
FS( 27 ),10282832.599999999627471,10282832.599999999627471
FS( 28 ),10424248.900000002235174,10424248.900000002235174
FS( 29 ),10523935.800000002607703,10523935.800000002607703
FS( 30 ),10522776.650000000372529,10522776.650000000372529
FS( 31 ),10479888.100000001490116,10479888.100000001490116
FS( 32 ),10440477.000000000000000,10440477.000000000000000
FS( 33 ),10326880.300000000745058,10326880.300000000745058
FS( 34 ),10295583.250000000000000,10295583.250000000000000
FS( 35 ),10350063.300000002607703,10350063.300000002607703
FS( 36 ),10271241.100000001490116,10271241.100000001490116
FS( 37 ),9856265.400000000372529,9856265.400000000372529
FS( 38 ),9990726.800000000745058,9990726.800000000745058
FS( 39 ),9982612.750000001862645,9982612.750000001862645
FS( 40 ),10055639.200000001117587,10055639.200000001117587
FS( 41 ),10208647.000000000000000,10208647.000000000000000
FS( 42 ),10234148.300000002607703,10234148.300000002607703
FS( 43 ),10294424.100000001490116,10294424.100000001490116
FS( 44 ),10352381.600000001490116,10352381.600000001490116
FS( 45 ),10144893.750000000000000,10144893.750000000000000
FS( 46 ),9967543.800000000745058,9967543.800000000745058
FS( 47 ),10127506.500000001862645,10127506.500000001862645
FS( 48 ),10355859.050000000745058,10355859.050000000745058
FS( 49 ),10402225.050000000745058,10402225.050000000745058
FS( 50 ),10204010.400000000372529,10204010.400000000372529
FS( 51 ),10290946.650000000372529,10290946.650000000372529
FS( 52 ),10179668.250000000000000,10179668.250000000000000
FS( 53 ),9971021.250000000000000,9971021.250000000000000
FS( 54 ),10024342.150000002235174,10024342.150000002235174
FS( 55 ),9948997.400000000372529,9948997.400000000372529
FS( 56 ),10097368.600000001490116,10097368.600000001490116
FS( 57 ),10107800.950000001117587,10107800.950000001117587
FS( 58 ),10259649.600000001490116,10259649.600000001490116
FS( 59 ),10355859.050000000745058,10355859.050000000745058
FS( 60 ),10242262.350000001490116,10242262.350000001490116
FS( 61 ),10352381.600000001490116,10352381.600000001490116
FS( 62 ),10425408.050000000745058,10425408.050000000745058
FS( 63 ),10277036.850000001490116,10277036.850000001490116
FS( 64 ),10390633.550000000745058,10390633.550000000745058
FS( 65 ),10388315.250000001862645,10388315.250000001862645
