訓練日期,20150608 - 20150908
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10804312.300000000745058
真實報酬,804312.300000000745058

夏普值報酬,0.071731230000000
夏普值風險,0.030409430152109
夏普值,2.358848213899380

預期報酬,17756.084801259818050
風險,274233.774633874825668
趨勢值,0.064747986731269
找到最佳解世代,2591
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,45483,98580,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,53.809999999590218,22.400000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4981806.799999999813735,4996056.800000000745058,9977863.600000001490116
FS( 3 ),5047757.149999999441206,5093651.000000000931323,10141408.150000000372529
FS( 4 ),5061856.879999999888241,5120267.600000000558794,10182124.480000000447035
FS( 5 ),5030473.609999999403954,5115338.600000000558794,10145812.210000000894070
FS( 6 ),5003638.639999999664724,5094636.800000000745058,10098275.440000001341105
FS( 7 ),5013644.899999999441206,5153784.800000000745058,10167429.699999999254942
FS( 8 ),5024560.819999999366701,5163642.800000000745058,10188203.620000001043081
FS( 9 ),5087327.359999999403954,5224762.400000000372529,10312089.759999999776483
FS( 10 ),5113707.500000000000000,5251379.000000000931323,10365086.500000000000000
FS( 11 ),5142816.619999999180436,5264194.400000000372529,10407011.019999999552965
FS( 12 ),5147819.750000000000000,5283910.400000000372529,10431730.150000000372529
FS( 13 ),5110068.859999999403954,5235606.200000000186265,10345675.059999998658895
FS( 14 ),5105065.729999999515712,5186316.200000000186265,10291381.929999999701977
FS( 15 ),5121439.609999999403954,5408121.200000000186265,10529560.809999998658895
FS( 16 ),5027744.629999999888241,5307569.600000000558794,10335314.230000000447035
FS( 17 ),5054579.599999999627471,5324328.200000000186265,10378907.800000000745058
FS( 18 ),5097333.619999999180436,5394320.000000000000000,10491653.619999999180436
FS( 19 ),5070953.479999999515712,5416007.600000000558794,10486961.080000000074506
FS( 20 ),5063221.369999999180436,5414036.000000000931323,10477257.370000001043081
FS( 21 ),5112343.009999999776483,5485999.400000000372529,10598342.410000000149012
FS( 22 ),5048666.809999999590218,5386433.600000000558794,10435100.410000000149012
FS( 23 ),5065950.349999999627471,5394320.000000000000000,10460270.349999999627471
