訓練日期,20181004 - 20190108
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11286617.799999998882413
真實報酬,1286617.799999998882413

夏普值報酬,0.119961780000000
夏普值風險,0.049819283444455
夏普值,2.407938687712121

預期報酬,27321.511519777926878
風險,398090.249064596719109
趨勢值,0.068631451244978
找到最佳解世代,2504
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,122070,
分配資金,10000000.000000000000000,
剩餘資金,25.599999999627471,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10028076.099999999627471,10028076.099999999627471
FS( 3 ),10058593.599999999627471,10058593.599999999627471
FS( 4 ),10034179.599999999627471,10034179.599999999627471
FS( 5 ),9941406.399999998509884,9941406.399999998509884
FS( 6 ),9627686.500000000000000,9627686.500000000000000
FS( 7 ),9650879.800000000745058,9650879.800000000745058
FS( 8 ),9781494.699999999254942,9781494.699999999254942
FS( 9 ),9888916.300000000745058,9888916.300000000745058
FS( 10 ),9992675.799999998882413,9992675.799999998882413
FS( 11 ),9794922.399999998509884,9794922.399999998509884
FS( 12 ),10656736.599999999627471,10656736.599999999627471
FS( 13 ),10571287.599999999627471,10571287.599999999627471
FS( 14 ),10639646.799999998882413,10639646.799999998882413
FS( 15 ),10920407.799999998882413,10920407.799999998882413
FS( 16 ),10864255.599999999627471,10864255.599999999627471
FS( 17 ),10725095.799999998882413,10725095.799999998882413
FS( 18 ),10771482.399999998509884,10771482.399999998509884
FS( 19 ),10887448.899999998509884,10887448.899999998509884
FS( 20 ),10825193.200000001117587,10825193.200000001117587
FS( 21 ),10936276.900000000372529,10936276.900000000372529
FS( 22 ),10963132.300000000745058,10963132.300000000745058
FS( 23 ),11132809.599999999627471,11132809.599999999627471
FS( 24 ),11170651.300000000745058,11170651.300000000745058
FS( 25 ),11143795.900000000372529,11143795.900000000372529
FS( 26 ),11152340.799999998882413,11152340.799999998882413
FS( 27 ),11280514.299999998882413,11280514.299999998882413
FS( 28 ),11315914.599999999627471,11315914.599999999627471
FS( 29 ),11409908.500000000000000,11409908.500000000000000
FS( 30 ),11412349.899999998509884,11412349.899999998509884
FS( 31 ),11453853.699999999254942,11453853.699999999254942
FS( 32 ),11452632.999999998137355,11452632.999999998137355
FS( 33 ),11387935.900000000372529,11387935.900000000372529
FS( 34 ),11242672.599999999627471,11242672.599999999627471
FS( 35 ),11158444.299999998882413,11158444.299999998882413
FS( 36 ),11174313.400000000372529,11174313.400000000372529
FS( 37 ),11223141.399999998509884,11223141.399999998509884
FS( 38 ),11318356.000000000000000,11318356.000000000000000
FS( 39 ),11353756.300000000745058,11353756.300000000745058
FS( 40 ),11330562.999999998137355,11330562.999999998137355
FS( 41 ),11536861.300000000745058,11536861.300000000745058
FS( 42 ),11391597.999999998137355,11391597.999999998137355
FS( 43 ),11390377.300000000745058,11390377.300000000745058
FS( 44 ),11419674.099999999627471,11419674.099999999627471
FS( 45 ),11285397.099999999627471,11285397.099999999627471
FS( 46 ),11356197.699999999254942,11356197.699999999254942
FS( 47 ),11463619.299999998882413,11463619.299999998882413
FS( 48 ),11478267.699999999254942,11478267.699999999254942
FS( 49 ),11778559.899999998509884,11778559.899999998509884
FS( 50 ),11796870.400000000372529,11796870.400000000372529
FS( 51 ),11324459.500000000000000,11324459.500000000000000
FS( 52 ),11290279.899999998509884,11290279.899999998509884
FS( 53 ),11201168.800000000745058,11201168.800000000745058
FS( 54 ),11105954.199999999254942,11105954.199999999254942
FS( 55 ),11104733.500000000000000,11104733.500000000000000
FS( 56 ),10664060.799999998882413,10664060.799999998882413
FS( 57 ),10997311.900000000372529,10997311.900000000372529
FS( 58 ),11232907.000000000000000,11232907.000000000000000
FS( 59 ),11130368.200000001117587,11130368.200000001117587
FS( 60 ),11220700.000000000000000,11220700.000000000000000
FS( 61 ),11142575.199999999254942,11142575.199999999254942
FS( 62 ),11064450.400000000372529,11064450.400000000372529
FS( 63 ),11290279.899999998509884,11290279.899999998509884
FS( 64 ),11245114.000000000000000,11245114.000000000000000
FS( 65 ),11286617.799999998882413,11286617.799999998882413
