訓練日期,20171127 - 20180301
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13166993.830000000074506
真實報酬,3166993.830000000074506

夏普值報酬,0.307999383000000
夏普值風險,0.093015944018867
夏普值,3.311253637736841

預期報酬,60276.031106283029658
風險,346189.693759195099119
趨勢值,0.174112725459153
找到最佳解世代,1888
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
BA[2](1),
Stock#,BA[2](1),
張數,37653,
分配資金,10000000.000000000000000,
剩餘資金,116.259999999776483,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10090743.730000000447035,10090743.730000000447035
FS( 3 ),10140069.160000000149012,10140069.160000000149012
FS( 4 ),10422466.660000000149012,10422466.660000000149012
FS( 5 ),10218387.400000000372529,10218387.400000000372529
FS( 6 ),10466520.669999999925494,10466520.669999999925494
FS( 7 ),10375023.880000000819564,10375023.880000000819564
FS( 8 ),10477816.569999998435378,10477816.569999998435378
FS( 9 ),10617132.669999999925494,10617132.669999999925494
FS( 10 ),10765108.959999999031425,10765108.959999999031425
FS( 11 ),10661939.740000000223517,10661939.740000000223517
FS( 12 ),10917227.080000000074506,10917227.080000000074506
FS( 13 ),10988767.779999999329448,10988767.779999999329448
FS( 14 ),11065579.900000000372529,11065579.900000000372529
FS( 15 ),11067839.080000000074506,11067839.080000000074506
FS( 16 ),11150675.679999999701977,11150675.679999999701977
FS( 17 ),11192470.509999999776483,11192470.509999999776483
FS( 18 ),11216944.959999999031425,11216944.959999999031425
FS( 19 ),11108880.849999999627471,11108880.849999999627471
FS( 20 ),11111516.560000000521541,11111516.560000000521541
FS( 21 ),11121306.339999999850988,11121306.339999999850988
FS( 22 ),11131096.119999999180436,11131096.119999999180436
FS( 23 ),11158582.810000000521541,11158582.810000000521541
FS( 24 ),11104362.490000000223517,11104362.490000000223517
FS( 25 ),11177032.779999999329448,11177032.779999999329448
FS( 26 ),11213179.660000000149012,11213179.660000000149012
FS( 27 ),11170631.769999999552965,11170631.769999999552965
FS( 28 ),11628868.779999999329448,11628868.779999999329448
FS( 29 ),11678194.209999999031425,11678194.209999999031425
FS( 30 ),11989961.050000000745058,11989961.050000000745058
FS( 31 ),12058866.039999999105930,12058866.039999999105930
FS( 32 ),12354818.619999999180436,12354818.619999999180436
FS( 33 ),12659431.389999998733401,12659431.389999998733401
FS( 34 ),12619895.740000000223517,12619895.740000000223517
FS( 35 ),13216695.789999999105930,13216695.789999999105930
FS( 36 ),12808160.740000000223517,12808160.740000000223517
FS( 37 ),12716663.950000001117587,12716663.950000001117587
FS( 38 ),12726830.259999999776483,12726830.259999999776483
FS( 39 ),12636086.529999999329448,12636086.529999999329448
FS( 40 ),12602198.830000000074506,12602198.830000000074506
FS( 41 ),12919237.089999999850988,12919237.089999999850988
FS( 42 ),12923378.919999999925494,12923378.919999999925494
FS( 43 ),12833011.719999998807907,12833011.719999998807907
FS( 44 ),12715910.889999998733401,12715910.889999998733401
FS( 45 ),13343209.869999999180436,13343209.869999999180436
FS( 46 ),13439978.080000000074506,13439978.080000000074506
FS( 47 ),13137624.490000000223517,13137624.490000000223517
FS( 48 ),12383434.900000000372529,12383434.900000000372529
FS( 49 ),12836400.490000000223517,12836400.490000000223517
FS( 50 ),13107878.619999999180436,13107878.619999999180436
FS( 51 ),12412804.240000000223517,12412804.240000000223517
FS( 52 ),12532164.250000000000000,12532164.250000000000000
FS( 53 ),12945217.660000000149012,12945217.660000000149012
FS( 54 ),12921119.740000000223517,12921119.740000000223517
FS( 55 ),12984753.310000000521541,12984753.310000000521541
FS( 56 ),13421904.639999998733401,13421904.639999998733401
FS( 57 ),13368437.380000000819564,13368437.380000000819564
FS( 58 ),13304803.810000000521541,13304803.810000000521541
FS( 59 ),13267903.869999999180436,13267903.869999999180436
FS( 60 ),13401572.019999999552965,13401572.019999999552965
FS( 61 ),13429435.240000000223517,13429435.240000000223517
FS( 62 ),13686228.700000001117587,13686228.700000001117587
FS( 63 ),13729906.179999999701977,13729906.179999999701977
FS( 64 ),13638409.389999998733401,13638409.389999998733401
FS( 65 ),13166993.830000000074506,13166993.830000000074506
