訓練日期,20190715 - 20191014
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10783494.989999998360872
真實報酬,783494.989999998360872

夏普值報酬,0.069649499000000
夏普值風險,0.023756979297148
夏普值,2.931748945387278

預期報酬,11160.929449420806122
風險,103276.841550903074676
趨勢值,0.108068074912223
找到最佳解世代,2013
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),MRK[17](4),PG[21](1),
Stock#,AAPL[0](3),MRK[17](4),PG[21](1),
張數,16243,41172,28865,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,106.969999999739230,47.880000000353903,2.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3321800.469999999739230,3359271.360000000335276,3345167.649999999906868,10026240.480000000447035
FS( 3 ),3303121.019999999552965,3372858.120000000577420,3346610.899999999906868,10022591.040000000968575
FS( 4 ),3340642.349999999627471,3404560.560000000055879,3332178.399999999906868,10077382.310000000521541
FS( 5 ),3290776.339999999850988,3351036.960000000428408,3319766.450000000186265,9961580.750000000000000
FS( 6 ),3365981.429999999701977,3343626.000000000000000,3328137.299999999813735,10037745.730000000447035
FS( 7 ),3392295.089999999850988,3377387.040000000502914,3286283.049999999813735,10055966.179999999701977
FS( 8 ),3389533.779999999329448,3365858.880000000353903,3250201.799999999813735,10005595.460000000894070
FS( 9 ),3362732.830000000074506,3365858.880000000353903,3255108.849999999627471,9983701.560000000521541
FS( 10 ),3374427.790000000037253,3352683.840000000782311,3311684.250000000000000,10038796.880000000819564
FS( 11 ),3405939.209999999962747,3396326.160000000149012,3348342.799999999813735,10150609.169999999925494
FS( 12 ),3391320.509999999776483,3428440.320000000298023,3475637.449999999720603,10295399.279999999329448
FS( 13 ),3460515.689999999478459,3416912.160000000149012,3407227.399999999906868,10284656.250000000000000
FS( 14 ),3385635.459999999962747,3445732.560000000055879,3369414.250000000000000,10200783.269999999552965
FS( 15 ),3314003.830000000074506,3477846.720000000204891,3361043.399999999906868,10152894.950000001117587
FS( 16 ),3140528.589999999850988,3422264.520000000484288,3264056.999999999534339,9826851.109999999403954
FS( 17 ),3199977.969999999739230,3472906.080000000074506,3298695.000000000000000,9971580.050000000745058
FS( 18 ),3233113.689999999478459,3468788.880000000353903,3334487.599999999627471,10036391.169999999925494
