訓練日期,20100212 - 20100517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11996135.859999999403954
真實報酬,1996135.859999999403954

夏普值報酬,0.190913586000000
夏普值風險,0.061246386035291
夏普值,3.117140428334717

預期報酬,37135.826188223982172
風險,222217.888604823237984
趨勢值,0.167114476792927
找到最佳解世代,1908
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),HD[9](3),MCD[15](1),
Stock#,AAPL[0](2),HD[9](3),MCD[15](1),
張數,116427,114942,52419,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,27.990000000223517,15.000000000000000,8.790000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3383396.609999999869615,3383907.479999999981374,3355348.980000000447035,10122654.070000000298023
FS( 3 ),3369425.370000000577420,3450573.839999999850988,3368453.730000000447035,10188453.940000001341105
FS( 4 ),3375246.720000000204891,3482757.600000000093132,3379985.910000000149012,10237991.230000000447035
FS( 5 ),3354289.859999999869615,3465516.299999999813735,3393614.849999999627471,10213422.009999999776483
FS( 6 ),3333333.000000000000000,3485056.439999999944121,3395187.419999999925494,10213577.859999999403954
FS( 7 ),3277448.040000000037253,3534481.500000000000000,3400429.320000000298023,10212359.859999999403954
FS( 8 ),3337990.080000000540167,3604596.120000000111759,3420872.730000000447035,10363459.930000001564622
FS( 9 ),3360111.209999999962747,3604596.120000000111759,3374744.009999999776483,10339452.339999999850988
FS( 10 ),3403189.200000000186265,3586205.399999999906868,3346961.939999999944121,10336357.539999999105930
FS( 11 ),3476538.209999999962747,3612642.060000000055879,3353776.409999999683350,10442957.679999999701977
FS( 12 ),3474209.670000000391155,3604596.120000000111759,3358494.119999999646097,10437300.910000000149012
FS( 13 ),3481195.290000000037253,3617239.739999999757856,3335429.760000000242144,10433865.789999999105930
FS( 14 ),3504480.690000000409782,3613791.479999999981374,3324945.959999999962747,10443219.129999998956919
FS( 15 ),3641864.550000000279397,3655170.600000000093132,3337526.520000000018626,10634562.669999999925494
FS( 16 ),3644193.090000000316650,3673561.320000000298023,3413534.070000000298023,10731289.480000000447035
FS( 17 ),3709392.209999999962747,3641377.560000000055879,3412485.689999999944121,10763256.459999999031425
FS( 18 ),3739663.229999999981374,3644825.820000000298023,3404098.649999999906868,10788588.700000001117587
FS( 19 ),3750141.660000000149012,3693101.460000000428408,3418251.779999999795109,10861495.900000000372529
FS( 20 ),3768769.979999999981374,3729882.900000000372529,3435025.859999999869615,10933679.740000000223517
FS( 21 ),3723363.450000000186265,3757468.979999999515712,3455993.460000000428408,10936826.890000000596046
FS( 22 ),3732677.610000000335276,3741377.099999999627471,3463332.119999999646097,10937387.830000000074506
FS( 23 ),3728020.530000000726432,3737928.840000000316650,3479582.009999999776483,10945532.380000000819564
FS( 24 ),3736170.420000000391155,3724135.799999999813735,3495307.710000000428408,10955614.930000001564622
FS( 25 ),3696585.240000000223517,3719538.120000000111759,3487444.859999999869615,10903569.220000000670552
FS( 26 ),3738498.959999999962747,3755170.140000000130385,3512605.980000000447035,11006276.080000000074506
FS( 27 ),3797876.729999999981374,3745974.780000000260770,3530428.439999999944121,11074280.949999999254942
FS( 28 ),3815340.780000000726432,3714940.439999999944121,3501597.989999999757856,11031880.210000000894070
FS( 29 ),3769934.250000000465661,3749423.039999999571592,3506839.890000000130385,11026198.179999999701977
FS( 30 ),3840954.720000000670552,3764365.500000000000000,3525710.730000000447035,11131031.950000001117587
FS( 31 ),3865404.390000000596046,3747124.200000000186265,3515751.119999999646097,11128280.710000000894070
FS( 32 ),3922453.620000000111759,3757468.979999999515712,3524662.349999999627471,11204585.949999999254942
FS( 33 ),3908482.380000000353903,3718388.700000000186265,3497404.470000000204891,11124276.550000000745058
FS( 34 ),3924782.160000000149012,3721836.960000000428408,3542484.810000000055879,11189104.930000001564622
FS( 35 ),3966695.880000000353903,3754020.719999999739230,3566073.359999999869615,11286790.959999999031425
FS( 36 ),3984159.930000000167638,3741377.099999999627471,3554541.180000000167638,11280079.209999999031425
FS( 37 ),4001623.979999999981374,3748273.620000000111759,3548775.090000000316650,11298673.689999999478459
FS( 38 ),3991145.550000000279397,3789652.739999999757856,3604339.230000000447035,11385138.519999999552965
FS( 39 ),4021416.570000000298023,3821836.500000000000000,3600145.710000000428408,11443399.780000001192093
FS( 40 ),4029566.459999999962747,3848273.159999999683350,3592282.859999999869615,11470123.479999998584390
FS( 41 ),4031895.000000000465661,3947123.280000000260770,3612726.270000000018626,11591745.550000000745058
FS( 42 ),4086615.690000000409782,4020686.159999999683350,3638935.770000000018626,11746238.619999999180436
FS( 43 ),4140172.110000000335276,4039076.879999999888241,3625306.830000000074506,11804556.820000000298023
FS( 44 ),4114558.170000000391155,4024134.419999999925494,3618492.359999999869615,11757185.949999999254942
FS( 45 ),4109901.089999999850988,4042525.140000000130385,3665145.270000000018626,11817572.500000000000000
FS( 46 ),4067987.370000000111759,4043674.560000000055879,3687161.250000000000000,11798824.179999999701977
FS( 47 ),4311319.800000000745058,4054019.340000000316650,3688209.629999999888241,12053549.769999999552965
FS( 48 ),4432403.879999999888241,4105743.239999999757856,3723330.359999999869615,12261478.479999998584390
FS( 49 ),4504588.620000000111759,4182754.379999999888241,3729620.640000000130385,12416964.640000000596046
FS( 50 ),4482467.490000000223517,4194248.580000000074506,3722806.169999999925494,12399523.240000000223517
FS( 51 ),4357890.600000000558794,4056318.179999999701977,3697120.859999999869615,12111330.640000000596046
FS( 52 ),4350904.979999999515712,4044823.979999999515712,3687161.250000000000000,12082891.209999999031425
