訓練日期,20150203 - 20150506
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10856778.119999999180436
真實報酬,856778.119999999180436

夏普值報酬,0.076977812000000
夏普值風險,0.027877411426391
夏普值,2.761296980648912

預期報酬,17053.415845513256500
風險,124870.517828052761615
趨勢值,0.136568792555148
找到最佳解世代,3035
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,4
DD[7](10),IBM[10](11),NKE[19](3),WBA[27](4),
Stock#,DD[7](10),IBM[10](11),NKE[19](3),WBA[27](4),
張數,37436,15775,53556,33426,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.919999999925494,135.750000000000000,5.919999999925494,69.459999999962747,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2464061.439999999478459,2476179.750000000000000,2478042.040000000037253,2495988.879999999888241,9914272.109999999403954
FS( 3 ),2548292.439999999478459,2491166.000000000000000,2499464.439999999944121,2500000.000000000000000,10038922.879999998956919
FS( 4 ),2580487.400000000372529,2472393.750000000000000,2458226.319999999832362,2545459.360000000335276,10056566.830000001937151
FS( 5 ),2573000.200000000186265,2457092.000000000000000,2441623.959999999962747,2553815.860000000335276,10025532.019999999552965
FS( 6 ),2585728.439999999478459,2501419.750000000000000,2483933.200000000186265,2563509.399999999906868,10134590.789999999105930
FS( 7 ),2563266.839999999850988,2495740.750000000000000,2445372.879999999888241,2658439.240000000223517,10162819.710000000894070
FS( 8 ),2620169.559999999590218,2500788.750000000000000,2463581.919999999925494,2672812.419999999925494,10257352.649999998509884
FS( 9 ),2635892.679999999701977,2530445.750000000000000,2464653.040000000037253,2631698.439999999944121,10262689.910000000149012
FS( 10 ),2642631.160000000149012,2539279.750000000000000,2459833.000000000000000,2607297.459999999962747,10249041.370000001043081
FS( 11 ),2634020.879999999888241,2558683.000000000000000,2506962.280000000260770,2600278.000000000000000,10299944.160000000149012
FS( 12 ),2648620.919999999925494,2585500.500000000000000,2509104.520000000018626,2577214.059999999590218,10320440.000000000000000
FS( 13 ),2640759.360000000335276,2581714.500000000000000,2542309.239999999757856,2578216.839999999850988,10342999.939999999478459
FS( 14 ),2638513.200000000186265,2570041.000000000000000,2544451.479999999981374,2627018.800000000279397,10380024.480000000447035
FS( 15 ),2655359.400000000372529,2600329.000000000000000,2555162.680000000167638,2687185.600000000093132,10498036.679999999701977
