訓練日期,20100309 - 20100609
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10903954.240000002086163
真實報酬,903954.240000002086163

夏普值報酬,0.081695424000000
夏普值風險,0.056184542338320
夏普值,1.454055165352507

預期報酬,28700.454631932967459
風險,453213.911217133980244
趨勢值,0.063326508568230
找到最佳解世代,2116
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,313873,
分配資金,10000000.000000000000000,
剩餘資金,6.220000000670552,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10081606.980000000447035,10081606.980000000447035
FS( 3 ),10109855.550000000745058,10109855.550000000745058
FS( 4 ),10160075.230000000447035,10160075.230000000447035
FS( 5 ),10037664.760000001639128,10037664.760000001639128
FS( 6 ),10062774.600000001490116,10062774.600000001490116
FS( 7 ),10050219.680000001564622,10050219.680000001564622
FS( 8 ),10072190.790000000968575,10072190.790000000968575
FS( 9 ),9965473.970000000670552,9965473.970000000670552
FS( 10 ),10078468.250000000000000,10078468.250000000000000
FS( 11 ),10238543.480000000447035,10238543.480000000447035
FS( 12 ),10285624.430000001564622,10285624.430000001564622
FS( 13 ),10163213.960000000894070,10163213.960000000894070
FS( 14 ),10354676.490000002086163,10354676.490000002086163
FS( 15 ),10420589.820000002160668,10420589.820000002160668
FS( 16 ),10574387.589999999850988,10574387.589999999850988
FS( 17 ),10536722.830000000074506,10536722.830000000074506
FS( 18 ),10580665.050000000745058,10580665.050000000745058
FS( 19 ),10693659.330000000074506,10693659.330000000074506
FS( 20 ),10740740.280000001192093,10740740.280000001192093
FS( 21 ),10787821.230000000447035,10787821.230000000447035
FS( 22 ),10759572.660000000149012,10759572.660000000149012
FS( 23 ),10841179.640000000596046,10841179.640000000596046
FS( 24 ),10863150.750000000000000,10863150.750000000000000
FS( 25 ),10869428.210000000894070,10869428.210000000894070
FS( 26 ),11016948.520000001415610,11016948.520000001415610
FS( 27 ),11161330.100000001490116,11161330.100000001490116
FS( 28 ),11092278.040000000968575,11092278.040000000968575
FS( 29 ),11079723.119999999180436,11079723.119999999180436
FS( 30 ),10966728.839999999850988,10966728.839999999850988
FS( 31 ),11622723.410000000149012,11622723.410000000149012
FS( 32 ),11949151.330000000074506,11949151.330000000074506
FS( 33 ),12143752.589999999850988,12143752.589999999850988
FS( 34 ),12084116.720000000670552,12084116.720000000670552
FS( 35 ),11748272.610000001266599,11748272.610000001266599
FS( 36 ),11729440.230000000447035,11729440.230000000447035
FS( 37 ),12046451.960000000894070,12046451.960000000894070
FS( 38 ),11707469.119999999180436,11707469.119999999180436
FS( 39 ),11942873.869999999180436,11942873.869999999180436
FS( 40 ),11597613.570000002160668,11597613.570000002160668
FS( 41 ),11478341.830000000074506,11478341.830000000074506
FS( 42 ),11042058.360000001266599,11042058.360000001266599
FS( 43 ),10574387.589999999850988,10574387.589999999850988
FS( 44 ),11387318.660000000149012,11387318.660000000149012
FS( 45 ),11503451.669999999925494,11503451.669999999925494
FS( 46 ),11751411.339999999850988,11751411.339999999850988
FS( 47 ),11585058.650000000372529,11585058.650000000372529
FS( 48 ),11381041.199999999254942,11381041.199999999254942
FS( 49 ),11399873.580000000074506,11399873.580000000074506
FS( 50 ),11315127.869999999180436,11315127.869999999180436
FS( 51 ),11136220.259999999776483,11136220.259999999776483
FS( 52 ),10662272.030000001192093,10662272.030000001192093
FS( 53 ),10866289.480000000447035,10866289.480000000447035
FS( 54 ),11064029.470000000670552,11064029.470000000670552
FS( 55 ),10994977.410000000149012,10994977.410000000149012
FS( 56 ),10944757.730000000447035,10944757.730000000447035
FS( 57 ),11359070.089999999850988,11359070.089999999850988
FS( 58 ),11519145.320000002160668,11519145.320000002160668
FS( 59 ),11694914.199999999254942,11694914.199999999254942
FS( 60 ),11836157.050000000745058,11836157.050000000745058
FS( 61 ),11798492.290000000968575,11798492.290000000968575
FS( 62 ),11478341.830000000074506,11478341.830000000074506
FS( 63 ),11252353.270000001415610,11252353.270000001415610
FS( 64 ),11180162.480000000447035,11180162.480000000447035
FS( 65 ),10903954.240000002086163,10903954.240000002086163
