訓練日期,20180410 - 20180711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11244580.589999999850988
真實報酬,1244580.589999999850988

夏普值報酬,0.115758059000000
夏普值風險,0.033706900923551
夏普值,3.434253990378554

預期報酬,18407.211644050603354
風險,102848.744507904397324
趨勢值,0.178973615401167
找到最佳解世代,2112
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),V[25](3),VZ[26](16),
Stock#,HD[9](1),NKE[19](4),V[25](3),VZ[26](16),
張數,14410,37313,20709,51792,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.100000000093132,29.000000000000000,9.520000000018626,0.159999999683350,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2490921.700000000186265,2493656.790000000037253,2480533.540000000037253,2464263.519999999552965,9929375.550000000745058
FS( 3 ),2498126.700000000186265,2528731.009999999776483,2507248.149999999906868,2472550.239999999757856,10006656.099999999627471
FS( 4 ),2490057.100000000093132,2509328.250000000000000,2500621.270000000018626,2468406.879999999422580,9968413.499999998137355
FS( 5 ),2513545.400000000372529,2502238.780000000260770,2524022.439999999944121,2506215.039999999571592,10046021.660000000149012
FS( 6 ),2520462.200000000186265,2519029.630000000353903,2563783.719999999739230,2530039.359999999869615,10133314.910000000149012
FS( 7 ),2591647.600000000093132,2470149.600000000093132,2563783.719999999739230,2518127.199999999720603,10143708.119999999180436
FS( 8 ),2551731.900000000372529,2452612.490000000223517,2567097.159999999683350,2508286.719999999739230,10079728.269999999552965
FS( 9 ),2550723.200000000186265,2466045.169999999925494,2572067.320000000298023,2480836.959999999497086,10069672.650000000372529
FS( 10 ),2560089.700000000186265,2495522.439999999944121,2577451.659999999683350,2520198.879999999422580,10153262.679999999701977
FS( 11 ),2539915.700000000186265,2498880.609999999869615,2511389.949999999720603,2572508.799999999813735,10122695.059999998658895
FS( 12 ),2556199.000000000000000,2487686.709999999962747,2510147.409999999683350,2594779.359999999869615,10148812.479999998584390
FS( 13 ),2676234.300000000279397,2539178.649999999906868,2631709.239999999757856,2577170.079999999608845,10424292.269999999552965
FS( 14 ),2686897.700000000186265,2595521.280000000260770,2609550.610000000335276,2670913.599999999627471,10562883.190000001341105
FS( 15 ),2662977.100000000093132,2551865.069999999832362,2627567.439999999944121,2555935.359999999869615,10398344.969999998807907
FS( 16 ),2660527.399999999906868,2541044.299999999813735,2640614.110000000335276,2528485.599999999627471,10370671.410000000149012
FS( 17 ),2678972.200000000186265,2547014.380000000353903,2617212.939999999944121,2473068.159999999683350,10316267.679999999701977
FS( 18 ),2639777.000000000000000,2496268.700000000186265,2633780.140000000130385,2477729.439999999944121,10247555.279999999329448
FS( 19 ),2666291.399999999906868,2541044.299999999813735,2654074.959999999962747,2495856.639999999664724,10357267.299999998882413
FS( 20 ),2645108.700000000186265,2587312.419999999925494,2676854.859999999869615,2472032.319999999366701,10381308.300000000745058
