訓練日期,20150522 - 20150824
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9946380.839999999850988
真實報酬,-53619.160000000149012

夏普值報酬,-0.014061916000000
夏普值風險,0.044553291407019
夏普值,-0.315620138398677

預期報酬,15642.237145251694528
風險,273166.070987331971992
趨勢值,0.057262737970035
找到最佳解世代,2235
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,191497,
分配資金,10000000.000000000000000,
剩餘資金,26.660000000149012,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9902336.530000001192093,9902336.530000001192093
FS( 3 ),9846802.400000000372529,9846802.400000000372529
FS( 4 ),9795098.209999999031425,9795098.209999999031425
FS( 5 ),9735734.140000000596046,9735734.140000000596046
FS( 6 ),9743394.020000001415610,9743394.020000001415610
FS( 7 ),9777863.480000000447035,9777863.480000000447035
FS( 8 ),9816162.879999998956919,9816162.879999998956919
FS( 9 ),9762543.719999998807907,9762543.719999998807907
FS( 10 ),9770203.600000001490116,9770203.600000001490116
FS( 11 ),9712754.500000000000000,9712754.500000000000000
FS( 12 ),9705094.619999999180436,9705094.619999999180436
FS( 13 ),9894676.650000000372529,9894676.650000000372529
FS( 14 ),9946380.839999999850988,9946380.839999999850988
FS( 15 ),9936805.990000000223517,9936805.990000000223517
FS( 16 ),9896591.619999999180436,9896591.619999999180436
FS( 17 ),10011489.820000000298023,10011489.820000000298023
FS( 18 ),10030639.520000001415610,10030639.520000001415610
FS( 19 ),10149367.660000000149012,10149367.660000000149012
FS( 20 ),10201071.850000001490116,10201071.850000001490116
FS( 21 ),10225966.459999999031425,10225966.459999999031425
FS( 22 ),10264265.860000001266599,10264265.860000001266599
FS( 23 ),10170432.330000000074506,10170432.330000000074506
FS( 24 ),10074683.830000000074506,10074683.830000000074506
FS( 25 ),10505552.080000000074506,10505552.080000000074506
FS( 26 ),10310225.140000000596046,10310225.140000000596046
FS( 27 ),10342779.629999998956919,10342779.629999998956919
FS( 28 ),10478742.500000000000000,10478742.500000000000000
FS( 29 ),10520871.839999999850988,10520871.839999999850988
FS( 30 ),10517041.900000000372529,10517041.900000000372529
FS( 31 ),10656834.709999999031425,10656834.709999999031425
FS( 32 ),10463422.740000000223517,10463422.740000000223517
FS( 33 ),10478742.500000000000000,10478742.500000000000000
FS( 34 ),10582150.879999998956919,10582150.879999998956919
FS( 35 ),10764073.030000001192093,10764073.030000001192093
FS( 36 ),10756413.150000000372529,10756413.150000000372529
FS( 37 ),10714283.810000000521541,10714283.810000000521541
FS( 38 ),10756413.150000000372529,10756413.150000000372529
FS( 39 ),10800457.459999999031425,10800457.459999999031425
FS( 40 ),10833011.950000001117587,10833011.950000001117587
FS( 41 ),10819607.160000000149012,10819607.160000000149012
FS( 42 ),10924930.509999999776483,10924930.509999999776483
FS( 43 ),10915355.660000000149012,10915355.660000000149012
FS( 44 ),10819607.160000000149012,10819607.160000000149012
FS( 45 ),10698964.049999998882413,10698964.049999998882413
FS( 46 ),10865566.440000001341105,10865566.440000001341105
FS( 47 ),11003444.280000001192093,11003444.280000001192093
FS( 48 ),11013019.129999998956919,11013019.129999998956919
FS( 49 ),11032168.830000000074506,11032168.830000000074506
FS( 50 ),10995784.400000000372529,10995784.400000000372529
FS( 51 ),11085787.990000000223517,11085787.990000000223517
FS( 52 ),11179621.520000001415610,11179621.520000001415610
FS( 53 ),11022593.980000000447035,11022593.980000000447035
FS( 54 ),10965144.879999998956919,10965144.879999998956919
FS( 55 ),11045573.619999999180436,11045573.619999999180436
FS( 56 ),10959399.969999998807907,10959399.969999998807907
FS( 57 ),10825352.070000000298023,10825352.070000000298023
FS( 58 ),10877056.259999999776483,10877056.259999999776483
FS( 59 ),10949825.119999999180436,10949825.119999999180436
FS( 60 ),11009189.190000001341105,11009189.190000001341105
FS( 61 ),10993869.429999999701977,10993869.429999999701977
FS( 62 ),11007274.219999998807907,11007274.219999998807907
FS( 63 ),10752583.209999999031425,10752583.209999999031425
FS( 64 ),10233626.339999999850988,10233626.339999999850988
FS( 65 ),9946380.839999999850988,9946380.839999999850988
