訓練日期,20150626 - 20150928
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10133213.500000000000000
真實報酬,133213.500000000000000

夏普值報酬,0.004621350000000
夏普值風險,0.022890482559433
夏普值,0.201889583935201

預期報酬,7295.365658783955951
風險,214598.373505346215097
趨勢值,0.033995437801406
找到最佳解世代,1881
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
HD[9](1),
Stock#,HD[9](1),
張數,88809,
分配資金,10000000.000000000000000,
剩餘資金,106.599999999627471,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9817053.460000000894070,9817053.460000000894070
FS( 3 ),9869450.769999999552965,9869450.769999999552965
FS( 4 ),9952931.229999998584390,9952931.229999998584390
FS( 5 ),9901422.009999999776483,9901422.009999999776483
FS( 6 ),9886324.479999998584390,9886324.479999998584390
FS( 7 ),9982238.199999999254942,9982238.199999999254942
FS( 8 ),9857905.599999999627471,9857905.599999999627471
FS( 9 ),9891653.019999999552965,9891653.019999999552965
FS( 10 ),10044404.500000000000000,10044404.500000000000000
FS( 11 ),10204260.699999999254942,10204260.699999999254942
FS( 12 ),10245112.839999999850988,10245112.839999999850988
FS( 13 ),10264650.820000000298023,10264650.820000000298023
FS( 14 ),10189163.169999999925494,10189163.169999999925494
FS( 15 ),10166072.830000000074506,10166072.830000000074506
FS( 16 ),10071935.289999999105930,10071935.289999999105930
FS( 17 ),10111899.339999999850988,10111899.339999999850988
FS( 18 ),10204260.699999999254942,10204260.699999999254942
FS( 19 ),10176729.910000000149012,10176729.910000000149012
FS( 20 ),10087920.910000000149012,10087920.910000000149012
FS( 21 ),10041740.229999998584390,10041740.229999998584390
FS( 22 ),10198932.160000000149012,10198932.160000000149012
FS( 23 ),10334809.929999999701977,10334809.929999999701977
FS( 24 ),10342802.739999998360872,10342802.739999998360872
FS( 25 ),10393423.869999999180436,10393423.869999999180436
FS( 26 ),10380990.609999999403954,10380990.609999999403954
FS( 27 ),10437828.369999999180436,10437828.369999999180436
FS( 28 ),10479568.599999999627471,10479568.599999999627471
FS( 29 ),10351683.640000000596046,10351683.640000000596046
FS( 30 ),10384542.970000000670552,10384542.970000000670552
FS( 31 ),10444045.000000000000000,10444045.000000000000000
FS( 32 ),10452037.809999998658895,10452037.809999998658895
FS( 33 ),10452037.809999998658895,10452037.809999998658895
FS( 34 ),10570153.779999999329448,10570153.779999999329448
FS( 35 ),10634984.349999999627471,10634984.349999999627471
FS( 36 ),10630543.900000000372529,10630543.900000000372529
FS( 37 ),10905851.799999998882413,10905851.799999998882413
FS( 38 ),10902299.439999999478459,10902299.439999999478459
FS( 39 ),10705143.460000000894070,10705143.460000000894070
FS( 40 ),10316160.039999999105930,10316160.039999999105930
FS( 41 ),9994671.460000000894070,9994671.460000000894070
FS( 42 ),9855241.330000000074506,9855241.330000000074506
FS( 43 ),10295733.970000000670552,10295733.970000000670552
FS( 44 ),10449373.539999999105930,10449373.539999999105930
FS( 45 ),10436940.279999999329448,10436940.279999999329448
FS( 46 ),10342802.739999998360872,10342802.739999998360872
FS( 47 ),10041740.229999998584390,10041740.229999998584390
FS( 48 ),10344578.919999999925494,10344578.919999999925494
FS( 49 ),10355236.000000000000000,10355236.000000000000000
FS( 50 ),10161632.379999998956919,10161632.379999998956919
FS( 51 ),10340138.470000000670552,10340138.470000000670552
FS( 52 ),10121668.330000000074506,10121668.330000000074506
FS( 53 ),10167849.009999999776483,10167849.009999999776483
FS( 54 ),10252217.559999998658895,10252217.559999998658895
FS( 55 ),10189163.169999999925494,10189163.169999999925494
FS( 56 ),10317936.220000000670552,10317936.220000000670552
FS( 57 ),10463582.979999998584390,10463582.979999998584390
FS( 58 ),10471575.789999999105930,10471575.789999999105930
FS( 59 ),10223798.679999999701977,10223798.679999999701977
FS( 60 ),10353459.820000000298023,10353459.820000000298023
FS( 61 ),10284188.799999998882413,10284188.799999998882413
FS( 62 ),10317048.129999998956919,10317048.129999998956919
FS( 63 ),10332145.660000000149012,10332145.660000000149012
FS( 64 ),10367669.259999999776483,10367669.259999999776483
FS( 65 ),10133213.500000000000000,10133213.500000000000000
