訓練日期,20100723 - 20101022
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11314246.380000000819564
真實報酬,1314246.380000000819564

夏普值報酬,0.122724638000000
夏普值風險,0.035092844283257
夏普值,3.497141383280612

預期報酬,20954.813022794009157
風險,93729.741285162439453
趨勢值,0.223566316683210
找到最佳解世代,2171
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
KO[14](3),MCD[15](1),VZ[26](2),
Stock#,KO[14](3),MCD[15](1),VZ[26](2),
張數,121743,47687,118962,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.660000000149012,11.699999999720603,17.760000000242144,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3344289.870000000111759,3379589.390000000130385,3364263.120000000577420,10088143.380000000819564
FS( 3 ),3351594.450000000186265,3357176.500000000000000,3401141.340000000316650,10109913.290000000968575
FS( 4 ),3340637.580000000074506,3327133.689999999478459,3439209.180000000167638,10106981.449999999254942
FS( 5 ),3347942.160000000149012,3308535.759999999310821,3435640.320000000298023,10092119.240000000223517
FS( 6 ),3355246.740000000223517,3325226.209999999962747,3457053.479999999981374,10137527.429999999701977
FS( 7 ),3434379.690000000409782,3350023.449999999720603,3516534.479999999981374,10300938.620000001043081
FS( 8 ),3431944.830000000074506,3359560.849999999627471,3514155.240000000223517,10305661.919999999925494
FS( 9 ),3442901.700000000186265,3371005.729999999515712,3497500.560000000055879,10311408.990000000223517
FS( 10 ),3431944.830000000074506,3359560.849999999627471,3515344.860000000335276,10306851.539999999105930
FS( 11 ),3455076.000000000000000,3421077.079999999608845,3515344.860000000335276,10391498.940000001341105
FS( 12 ),3476989.740000000223517,3477347.739999999757856,3552223.080000000074506,10506561.560000000521541
FS( 13 ),3468467.729999999981374,3473532.779999999795109,3571257.000000000000000,10513258.509999999776483
FS( 14 ),3411248.520000000018626,3412970.289999999571592,3516534.479999999981374,10340754.289999999105930
FS( 15 ),3390552.210000000428408,3436336.919999999925494,3606945.600000000093132,10433835.730000000447035
FS( 16 ),3392987.070000000298023,3428230.129999999888241,3572446.620000000577420,10393664.820000000298023
FS( 17 ),3401509.080000000074506,3423461.430000000167638,3564119.280000000260770,10389090.789999999105930
FS( 18 ),3416118.240000000223517,3491653.839999999850988,3589101.300000000279397,10496874.380000000819564
FS( 19 ),3399074.220000000204891,3493084.449999999720603,3586722.060000000055879,10478881.730000000447035
FS( 20 ),3364986.180000000167638,3479732.089999999850988,3523672.200000000186265,10368391.469999998807907
FS( 21 ),3366203.609999999869615,3484977.659999999683350,3493931.700000000186265,10345113.969999998807907
FS( 22 ),3384465.060000000055879,3497376.279999999795109,3498690.180000000167638,10380532.519999999552965
FS( 23 ),3388117.350000000093132,3467810.339999999850988,3505827.899999999906868,10361756.589999999850988
FS( 24 ),3372290.760000000242144,3490223.229999999515712,3528430.680000000167638,10390945.669999999925494
FS( 25 ),3357681.600000000093132,3488792.619999999646097,3509396.760000000242144,10355871.980000000447035
FS( 26 ),3418553.100000000093132,3528372.829999999608845,3549843.840000000316650,10496770.769999999552965
FS( 27 ),3382030.200000000186265,3468764.079999999608845,3502259.040000000502914,10353054.320000000298023
FS( 28 ),3401509.080000000074506,3484023.919999999925494,3512965.620000000577420,10398499.620000001043081
FS( 29 ),3489164.040000000037253,3554600.680000000167638,3599807.880000000353903,10643573.600000001490116
FS( 30 ),3492816.330000000074506,3577490.439999999478459,3581963.580000000074506,10652271.349999999627471
FS( 31 ),3503773.200000000186265,3580828.529999999795109,3592670.160000000149012,10677272.890000000596046
FS( 32 ),3508642.920000000391155,3614686.299999999813735,3595049.399999999906868,10718379.620000001043081
FS( 33 ),3520817.220000000204891,3628038.659999999683350,3623600.280000000260770,10772457.160000000149012
FS( 34 ),3548818.109999999869615,3546493.890000000130385,3668805.840000000316650,10764118.839999999850988
FS( 35 ),3562209.840000000316650,3577013.569999999832362,3666426.600000000093132,10805651.009999999776483
FS( 36 ),3532991.520000000018626,3556031.289999999571592,3675943.560000000055879,10764967.369999999180436
FS( 37 ),3506208.060000000055879,3525988.479999999515712,3677133.180000000167638,10709330.719999998807907
FS( 38 ),3495251.190000000409782,3562707.469999999273568,3710442.540000000502914,10768402.200000001117587
FS( 39 ),3501338.340000000316650,3566999.299999999813735,3737803.800000000279397,10806142.440000001341105
FS( 40 ),3503773.200000000186265,3544109.539999999571592,3768733.920000000391155,10816617.660000000149012
FS( 41 ),3529339.229999999981374,3581782.269999999552965,3817508.340000000782311,10928630.839999999850988
FS( 42 ),3537861.240000000223517,3600857.069999999832362,3844869.600000000093132,10983588.910000000149012
FS( 43 ),3545165.820000000298023,3582736.009999999310821,3853196.940000000409782,10981099.769999999552965
FS( 44 ),3523252.080000000074506,3559369.379999999888241,3827025.300000000279397,10909647.759999999776483
FS( 45 ),3568296.990000000223517,3581305.399999999441206,3882937.440000000409782,11032540.830000000074506
FS( 46 ),3567079.560000000055879,3565091.819999999832362,3909109.080000000074506,11041281.460000000894070
FS( 47 ),3597515.310000000055879,3558892.509999999310821,3892454.399999999906868,11048863.219999998807907
FS( 48 ),3576819.000000000000000,3550308.849999999627471,3885316.679999999701977,11012445.529999999329448
FS( 49 ),3562209.840000000316650,3553170.069999999832362,3876989.340000000782311,10992370.250000000000000
FS( 50 ),3598732.740000000223517,3572721.739999999757856,3912677.940000000409782,11084133.420000001788139
FS( 51 ),3584123.580000000074506,3574152.349999999627471,3929332.620000000577420,11087609.550000000745058
FS( 52 ),3631603.350000000093132,3615640.039999999571592,3993572.100000000093132,11240816.490000000223517
FS( 53 ),3637690.500000000000000,3595611.500000000000000,3955504.260000000242144,11188807.259999999776483
FS( 54 ),3618211.620000000111759,3617547.519999999552965,3917436.420000000391155,11153196.560000000521541
FS( 55 ),3616994.190000000409782,3628992.399999999441206,3905540.220000000204891,11151527.810000000521541
FS( 56 ),3625516.200000000186265,3604672.029999999795109,3929332.620000000577420,11159521.850000001490116
FS( 57 ),3627951.060000000055879,3604195.159999999683350,3871041.240000000223517,11103188.460000000894070
FS( 58 ),3648647.370000000111759,3612301.949999999720603,3831783.780000000260770,11092734.100000001490116
FS( 59 ),3647429.940000000409782,3673818.180000000167638,3859145.040000000037253,11180394.160000000149012
FS( 60 ),3648647.370000000111759,3694800.459999999962747,3857955.420000000391155,11201404.250000000000000
FS( 61 ),3652299.660000000149012,3687170.539999999571592,3876989.340000000782311,11216460.539999999105930
FS( 62 ),3672995.970000000204891,3671433.829999999608845,3825835.679999999701977,11170266.480000000447035
FS( 63 ),3722910.600000000093132,3691462.369999999646097,3882937.440000000409782,11297311.410000000149012
FS( 64 ),3742389.479999999981374,3740579.979999999515712,3868662.000000000465661,11351632.459999999031425
FS( 65 ),3750911.490000000223517,3745825.549999999813735,3817508.340000000782311,11314246.380000000819564
