訓練日期,20120813 - 20121114
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10887680.910000000149012
真實報酬,887680.910000000149012

夏普值報酬,0.080068091000000
夏普值風險,0.031641077196900
夏普值,2.530510908391081

預期報酬,18177.176692574605113
風險,116673.192598955123685
趨勢值,0.155795656977140
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),JNJ[12](10),V[25](2),
Stock#,HD[9](1),JNJ[12](10),V[25](2),
張數,63107,48690,103906,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,21.259999999776483,15.600000000093132,28.520000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3452605.229999999981374,3342097.200000000186265,3373856.339999999850988,10168559.769999999552965
FS( 3 ),3470906.259999999776483,3327977.099999999627471,3353075.140000000130385,10151959.500000000000000
FS( 4 ),3553576.429999999701977,3320673.600000000093132,3368661.040000000037253,10242912.070000000298023
FS( 5 ),3580081.369999999646097,3301197.600000000093132,3342684.540000000037253,10223964.509999999776483
FS( 6 ),3569984.250000000000000,3296328.600000000093132,3329176.759999999776483,10195490.609999999403954
FS( 7 ),3554207.500000000000000,3300223.800000000279397,3312551.799999999813735,10166984.100000001490116
FS( 8 ),3574401.739999999757856,3298763.100000000093132,3328137.700000000186265,10201303.539999999105930
FS( 9 ),3568722.109999999403954,3298276.199999999720603,3303200.259999999776483,10170199.569999998435378
FS( 10 ),3594595.979999999981374,3291459.599999999627471,3290731.540000000037253,10176788.120000001043081
FS( 11 ),3576294.949999999720603,3286103.699999999720603,3316708.040000000037253,10179107.689999999478459
FS( 12 ),3567459.969999999739230,3287077.500000000465661,3309434.620000000111759,10163973.089999999850988
FS( 13 ),3587023.140000000130385,3280260.900000000372529,3326059.579999999608845,10193344.620000001043081
FS( 14 ),3573139.599999999627471,3272470.500000000000000,3291770.600000000093132,10137381.699999999254942
FS( 15 ),3581343.509999999776483,3283182.300000000279397,3331254.880000000353903,10195781.690000001341105
FS( 16 ),3583867.789999999571592,3274905.000000000465661,3338528.300000000279397,10197302.089999999850988
FS( 17 ),3568091.039999999571592,3275391.899999999906868,3314629.919999999925494,10158113.859999999403954
FS( 18 ),3638139.809999999590218,3303145.200000000186265,3364504.800000000279397,10305790.810000000521541
FS( 19 ),3613528.079999999608845,3305092.799999999813735,3369700.100000000093132,10288321.979999998584390
FS( 20 ),3616052.359999999403954,3319699.800000000279397,3342684.540000000037253,10278437.699999999254942
FS( 21 ),3579450.299999999813735,3320673.600000000093132,3415418.739999999757856,10315543.640000000596046
FS( 22 ),3600275.609999999403954,3318239.100000000558794,3467371.739999999757856,10385887.449999999254942
FS( 23 ),3679159.359999999403954,3359138.699999999720603,3505816.960000000428408,10544116.019999999552965
FS( 24 ),3752363.479999999981374,3333819.899999999906868,3487113.880000000353903,10573298.259999999776483
FS( 25 ),3717654.629999999422580,3323108.100000000093132,3477762.339999999850988,10518526.070000000298023
FS( 26 ),3714499.279999999795109,3337715.100000000093132,3472567.040000000037253,10524782.419999999925494
FS( 27 ),3752994.549999999813735,3340149.599999999627471,3501660.720000000204891,10594805.869999999180436
FS( 28 ),3741004.219999999739230,3354756.600000000558794,3496465.419999999925494,10592227.240000000223517
FS( 29 ),3749839.199999999720603,3362547.000000000000000,3506856.020000000018626,10619243.219999998807907
FS( 30 ),3747945.989999999757856,3359625.600000000093132,3474645.159999999683350,10582217.750000000000000
FS( 31 ),3768771.299999999813735,3375206.399999999906868,3495426.359999999869615,10639405.059999998658895
FS( 32 ),3734062.449999999720603,3359625.600000000093132,3442434.300000000279397,10536123.349999999627471
FS( 33 ),3778868.419999999925494,3360112.500000000465661,3478801.399999999906868,10617783.320000000298023
