訓練日期,20110415 - 20110719
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11141118.559999998658895
真實報酬,1141118.559999998658895

夏普值報酬,0.105411856000000
夏普值風險,0.032732412589787
夏普值,3.220412052147037

預期報酬,16458.622720546616620
風險,130339.539647371828323
趨勢值,0.126274979680569
找到最佳解世代,2272
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,129232,
分配資金,10000000.000000000000000,
剩餘資金,27.839999999850988,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9950891.839999999850988,9950891.839999999850988
FS( 3 ),9899199.039999999105930,9899199.039999999105930
FS( 4 ),10131816.640000000596046,10131816.640000000596046
FS( 5 ),9939260.959999999031425,9939260.959999999031425
FS( 6 ),9967692.000000000000000,9967692.000000000000000
FS( 7 ),9943137.919999999925494,9943137.919999999925494
FS( 8 ),10063323.679999999701977,10063323.679999999701977
FS( 9 ),10084000.800000000745058,10084000.800000000745058
FS( 10 ),10120185.759999999776483,10120185.759999999776483
FS( 11 ),10162832.320000000298023,10162832.320000000298023
FS( 12 ),10201601.919999999925494,10201601.919999999925494
FS( 13 ),10218402.079999998211861,10218402.079999998211861
FS( 14 ),10157663.039999999105930,10157663.039999999105930
FS( 15 ),10170586.240000000223517,10170586.240000000223517
FS( 16 ),10249417.759999999776483,10249417.759999999776483
FS( 17 ),10301110.559999998658895,10301110.559999998658895
FS( 18 ),10275264.160000000149012,10275264.160000000149012
FS( 19 ),10423880.959999999031425,10423880.959999999031425
FS( 20 ),10434219.519999999552965,10434219.519999999552965
FS( 21 ),10485912.320000000298023,10485912.320000000298023
FS( 22 ),10458773.600000001490116,10458773.600000001490116
FS( 23 ),10532435.839999999850988,10532435.839999999850988
FS( 24 ),10662960.160000000149012,10662960.160000000149012
FS( 25 ),10639698.400000000372529,10639698.400000000372529
FS( 26 ),10661667.839999999850988,10661667.839999999850988
FS( 27 ),10679760.320000000298023,10679760.320000000298023
FS( 28 ),10690098.879999998956919,10690098.879999998956919
FS( 29 ),10652621.600000001490116,10652621.600000001490116
FS( 30 ),10547943.679999999701977,10547943.679999999701977
FS( 31 ),10537605.120000001043081,10537605.120000001043081
FS( 32 ),10465235.200000001117587,10465235.200000001117587
FS( 33 ),10435511.839999999850988,10435511.839999999850988
FS( 34 ),10408373.120000001043081,10408373.120000001043081
FS( 35 ),10429050.240000000223517,10429050.240000000223517
FS( 36 ),10485912.320000000298023,10485912.320000000298023
FS( 37 ),10487204.640000000596046,10487204.640000000596046
FS( 38 ),10501420.160000000149012,10501420.160000000149012
FS( 39 ),10385111.359999999403954,10385111.359999999403954
FS( 40 ),10432927.200000001117587,10432927.200000001117587
FS( 41 ),10528558.879999998956919,10528558.879999998956919
FS( 42 ),10498835.519999999552965,10498835.519999999552965
FS( 43 ),10572497.759999999776483,10572497.759999999776483
FS( 44 ),10664252.479999998584390,10664252.479999998584390
FS( 45 ),10686221.919999999925494,10686221.919999999925494
FS( 46 ),10700437.439999999478459,10700437.439999999478459
FS( 47 ),10681052.640000000596046,10681052.640000000596046
FS( 48 ),10634529.120000001043081,10634529.120000001043081
FS( 49 ),10576374.720000000670552,10576374.720000000670552
FS( 50 ),10638406.079999998211861,10638406.079999998211861
FS( 51 ),10900747.039999999105930,10900747.039999999105930
FS( 52 ),10929178.079999998211861,10929178.079999998211861
FS( 53 ),10896870.079999998211861,10896870.079999998211861
FS( 54 ),11068748.640000000596046,11068748.640000000596046
FS( 55 ),11067456.320000000298023,11067456.320000000298023
FS( 56 ),11095887.359999999403954,11095887.359999999403954
FS( 57 ),11121733.759999999776483,11121733.759999999776483
FS( 58 ),11062287.039999999105930,11062287.039999999105930
FS( 59 ),11029979.039999999105930,11029979.039999999105930
FS( 60 ),10983455.519999999552965,10983455.519999999552965
FS( 61 ),10979578.559999998658895,10979578.559999998658895
FS( 62 ),11089425.759999999776483,11089425.759999999776483
FS( 63 ),11046779.200000001117587,11046779.200000001117587
FS( 64 ),11036440.640000000596046,11036440.640000000596046
FS( 65 ),11141118.559999998658895,11141118.559999998658895
