訓練日期,20151014 - 20160115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10759294.980000000447035
真實報酬,759294.980000000447035

夏普值報酬,0.067229498000000
夏普值風險,0.028801610914202
夏普值,2.334227005575246

預期報酬,15705.895481663368628
風險,112777.354097750110668
趨勢值,0.139264621051938
找到最佳解世代,2071
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](18),
Stock#,MCD[15](1),WMT[28](18),
張數,48628,83291,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,69.040000000037253,41.269999999552965,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5040847.519999999552965,4941696.299999999813735,9982543.820000000298023
FS( 3 ),5097256.000000000000000,4905048.259999999776483,10002304.259999999776483
FS( 4 ),5081208.759999999776483,4901716.620000000111759,9982925.379999998956919
FS( 5 ),5049600.560000000521541,4893387.519999999552965,9942988.080000000074506
FS( 6 ),4986384.160000000149012,4884225.509999999776483,9870609.669999999925494
FS( 7 ),5391455.400000000372529,4905881.169999998994172,10297336.570000000298023
FS( 8 ),5475095.560000000521541,4855906.569999999366701,10331002.129999998956919
FS( 9 ),5455158.080000000074506,4832585.089999999850988,10287743.169999999925494
FS( 10 ),5428898.959999999962747,4787607.949999999254942,10216506.910000000149012
FS( 11 ),5492115.360000000335276,4800934.509999999776483,10293049.870000001043081
FS( 12 ),5476554.400000000372529,4827587.629999999888241,10304142.030000001192093
FS( 13 ),5458562.040000000037253,4767618.109999999403954,10226180.149999998509884
FS( 14 ),5451754.120000000111759,4798435.779999999329448,10250189.899999998509884
FS( 15 ),5450295.280000000260770,4840081.279999999329448,10290376.559999998658895
FS( 16 ),5465856.240000000223517,4861736.939999999478459,10327593.179999999701977
FS( 17 ),5487738.839999999850988,4881726.779999999329448,10369465.619999999180436
FS( 18 ),5510107.719999999739230,4895886.250000000000000,10405993.969999998807907
FS( 19 ),5491629.080000000074506,4871731.859999999403954,10363360.939999999478459
FS( 20 ),5505731.200000000186265,4887557.149999999441206,10393288.349999999627471
FS( 21 ),5536366.839999999850988,4795937.049999999813735,10332303.890000000596046
FS( 22 ),5451754.120000000111759,4743463.719999999739230,10195217.839999999850988
FS( 23 ),5347690.200000000186265,4699319.489999999292195,10047009.689999999478459
FS( 24 ),5400694.719999999739230,4820091.439999999478459,10220786.160000000149012
FS( 25 ),5394859.360000000335276,4990837.989999999292195,10385697.349999999627471
FS( 26 ),5472177.879999999888241,5074961.899999999441206,10547139.779999999329448
FS( 27 ),5509621.439999999478459,5055804.969999999739230,10565426.410000000149012
FS( 28 ),5539284.519999999552965,5003331.639999999664724,10542616.160000000149012
FS( 29 ),5566516.200000000186265,5019156.929999999701977,10585673.129999998956919
FS( 30 ),5557276.879999999888241,4990837.989999999292195,10548114.869999999180436
FS( 31 ),5563112.240000000223517,5017491.109999999403954,10580603.349999999627471
FS( 32 ),5554845.480000000447035,4988339.259999999776483,10543184.740000000223517
FS( 33 ),5551441.519999999552965,4900883.709999999962747,10452325.230000000447035
FS( 34 ),5565543.640000000596046,4913377.359999999403954,10478921.000000000000000
FS( 35 ),5530045.200000000186265,4860071.120000000111759,10390116.320000000298023
FS( 36 ),5513997.959999999962747,4917541.909999999217689,10431539.869999999180436
FS( 37 ),5650642.640000000596046,4969182.329999999143183,10619824.969999998807907
FS( 38 ),5661340.799999999813735,5039146.769999999552965,10700487.570000000298023
FS( 39 ),5666689.879999999888241,4965017.779999999329448,10631707.660000000149012
FS( 40 ),5669121.280000000260770,4925038.099999999627471,10594159.379999998956919
