訓練日期,20120125 - 20120426
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11593756.759999999776483
真實報酬,1593756.759999999776483

夏普值報酬,0.150675676000000
夏普值風險,0.043322213169003
夏普值,3.478023512146128

預期報酬,24897.043733091330068
風險,112160.089913669697125
趨勢值,0.221977744064352
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,14

stock[index](rank)
投資組合檔數,5
AXP[1](2),HD[9](1),KO[14](9),UNH[23](4),V[25](5),
Stock#,AXP[1](2),HD[9](1),KO[14](9),UNH[23](4),V[25](5),
張數,39864,44189,58445,38782,79554,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.119999999878928,5.860000000102445,12.100000000093132,12.260000000009313,12.439999999944121,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1992425.839999999850988,1986301.410000000149012,1987726.550000000046566,1952685.959999999962747,2006364.319999999832362,9925504.080000000074506
FS( 3 ),1987243.520000000018626,1982766.290000000037253,1970777.500000000000000,1978669.900000000139698,2009546.479999999981374,9929003.690000001341105
FS( 4 ),1958142.799999999813735,1978347.390000000130385,1971361.949999999953434,1980609.000000000000000,1986475.819999999832362,9874936.959999999031425
FS( 5 ),1998804.079999999841675,1961555.570000000065193,1973699.750000000232831,2008532.040000000037253,2001591.079999999841675,9944182.519999999552965
FS( 6 ),2017938.799999999813735,1965090.689999999944121,1982466.500000000232831,2065541.579999999841675,2038981.459999999962747,10070019.030000001192093
FS( 7 ),2039465.359999999636784,1964648.800000000046566,1982466.500000000232831,2037618.540000000037253,2109784.520000000018626,10133983.720000000670552
FS( 8 ),2082917.119999999878928,1996022.990000000223517,1989479.900000000139698,1989916.680000000167638,2128877.479999999981374,10187214.170000001788139
FS( 9 ),2065376.959999999962747,1997348.660000000149012,1988311.000000000232831,1989141.040000000037253,2135241.799999999813735,10175419.460000000894070
FS( 10 ),2078133.439999999944121,2008837.800000000046566,2003506.700000000186265,2017839.719999999972060,2128081.939999999944121,10236399.599999999627471
FS( 11 ),2058600.079999999841675,1996022.990000000223517,1997077.750000000232831,2022105.739999999990687,2155130.299999999813735,10228936.859999999403954
FS( 12 ),2085308.959999999962747,2000441.890000000130385,1986557.650000000139698,2057785.180000000167638,2236275.379999999888241,10366369.059999998658895
FS( 13 ),2065376.959999999962747,2003093.229999999981374,1985388.750000000000000,2067868.500000000000000,2265710.359999999869615,10387437.799999998882413
FS( 14 ),2075741.599999999860302,2029606.630000000121072,2000000.000000000000000,2088422.959999999962747,2241844.160000000149012,10435615.350000001490116
FS( 15 ),2071356.559999999823049,2035351.200000000186265,2013442.350000000325963,2112079.980000000447035,2291963.179999999701977,10524193.269999999552965
FS( 16 ),2053816.399999999906868,2019885.050000000046566,1998831.100000000325963,2118285.099999999627471,2289576.560000000055879,10480394.210000000894070
FS( 17 ),2107632.799999999813735,2029606.630000000121072,2012273.450000000186265,2124878.040000000037253,2263323.739999999757856,10537714.660000000149012
FS( 18 ),2107234.160000000149012,2064074.050000000046566,2018117.950000000186265,2120612.019999999552965,2287189.939999999944121,10597228.119999999180436
FS( 19 ),2106835.519999999552965,2073353.740000000223517,2011104.549999999813735,2145432.500000000000000,2271279.140000000130385,10608005.449999999254942
FS( 20 ),2104443.679999999701977,2057887.590000000083819,2023962.450000000186265,2140003.019999999552965,2314238.299999999813735,10640535.039999999105930
FS( 21 ),2099660.000000000000000,2074679.410000000149012,2021624.650000000372529,2130695.339999999850988,2316624.919999999925494,10643284.320000000298023
FS( 22 ),2125970.240000000223517,2076005.080000000074506,2016364.600000000093132,2158230.559999999590218,2338104.500000000000000,10714674.980000000447035
FS( 23 ),2159854.639999999664724,2073795.630000000121072,2011689.000000000232831,2161333.120000000111759,2324580.319999999832362,10731252.710000000894070
FS( 24 ),2143111.759999999776483,2087052.330000000074506,2011689.000000000232831,2165599.140000000596046,2365948.399999999906868,10773400.630000000819564
FS( 25 ),2108430.080000000074506,2102076.589999999850988,2041495.950000000186265,2162108.759999999776483,2314238.299999999813735,10728349.679999999701977
