訓練日期,20100301 - 20100601
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12478230.399999998509884
真實報酬,2478230.399999998509884

夏普值報酬,0.239123040000000
夏普值風險,0.067225585821363
夏普值,3.557024265068014

預期報酬,43781.506668232519587
風險,517599.759333356632851
趨勢值,0.084585639538591
找到最佳解世代,2081
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,334896,
分配資金,10000000.000000000000000,
剩餘資金,5.439999999478459,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9993302.080000000074506,9993302.080000000074506
FS( 3 ),10013395.839999999850988,10013395.839999999850988
FS( 4 ),10080375.039999999105930,10080375.039999999105930
FS( 5 ),10475552.320000000298023,10475552.320000000298023
FS( 6 ),10482250.240000000223517,10482250.240000000223517
FS( 7 ),10669792.000000000000000,10669792.000000000000000
FS( 8 ),10756864.959999999031425,10756864.959999999031425
FS( 9 ),10787005.599999999627471,10787005.599999999627471
FS( 10 ),10840588.959999999031425,10840588.959999999031425
FS( 11 ),10709979.519999999552965,10709979.519999999552965
FS( 12 ),10736771.200000001117587,10736771.200000001117587
FS( 13 ),10723375.360000001266599,10723375.360000001266599
FS( 14 ),10746818.080000000074506,10746818.080000000074506
FS( 15 ),10632953.439999999478459,10632953.439999999478459
FS( 16 ),10753516.000000000000000,10753516.000000000000000
FS( 17 ),10924312.959999999031425,10924312.959999999031425
FS( 18 ),10974547.360000001266599,10974547.360000001266599
FS( 19 ),10843937.919999999925494,10843937.919999999925494
FS( 20 ),11048224.480000000447035,11048224.480000000447035
FS( 21 ),11118552.640000000596046,11118552.640000000596046
FS( 22 ),11282651.679999997839332,11282651.679999997839332
FS( 23 ),11242464.160000000149012,11242464.160000000149012
FS( 24 ),11289349.599999999627471,11289349.599999999627471
FS( 25 ),11409912.160000000149012,11409912.160000000149012
FS( 26 ),11460146.559999998658895,11460146.559999998658895
FS( 27 ),11510380.959999999031425,11510380.959999999031425
FS( 28 ),11480240.320000000298023,11480240.320000000298023
FS( 29 ),11567313.279999999329448,11567313.279999999329448
FS( 30 ),11590756.000000000000000,11590756.000000000000000
FS( 31 ),11597453.919999999925494,11597453.919999999925494
FS( 32 ),11754855.039999999105930,11754855.039999999105930
FS( 33 ),11908907.200000001117587,11908907.200000001117587
FS( 34 ),11835230.080000000074506,11835230.080000000074506
FS( 35 ),11821834.239999998360872,11821834.239999998360872
FS( 36 ),11701271.679999997839332,11701271.679999997839332
FS( 37 ),12401204.320000000298023,12401204.320000000298023
FS( 38 ),12749496.160000000149012,12749496.160000000149012
FS( 39 ),12957131.679999997839332,12957131.679999997839332
FS( 40 ),12893501.439999999478459,12893501.439999999478459
FS( 41 ),12535162.719999998807907,12535162.719999998807907
FS( 42 ),12515068.959999999031425,12515068.959999999031425
FS( 43 ),12853313.919999999925494,12853313.919999999925494
FS( 44 ),12491626.239999998360872,12491626.239999998360872
FS( 45 ),12742798.239999998360872,12742798.239999998360872
FS( 46 ),12374412.640000000596046,12374412.640000000596046
FS( 47 ),12247152.160000000149012,12247152.160000000149012
FS( 48 ),11781646.719999998807907,11781646.719999998807907
FS( 49 ),11282651.679999997839332,11282651.679999997839332
FS( 50 ),12150032.320000000298023,12150032.320000000298023
FS( 51 ),12273943.839999999850988,12273943.839999999850988
FS( 52 ),12538511.679999997839332,12538511.679999997839332
FS( 53 ),12361016.799999998882413,12361016.799999998882413
FS( 54 ),12143334.399999998509884,12143334.399999998509884
FS( 55 ),12163428.160000000149012,12163428.160000000149012
FS( 56 ),12073006.239999998360872,12073006.239999998360872
FS( 57 ),11882115.519999997690320,11882115.519999997690320
FS( 58 ),11376422.559999998658895,11376422.559999998658895
FS( 59 ),11594104.959999999031425,11594104.959999999031425
FS( 60 ),11805089.439999999478459,11805089.439999999478459
FS( 61 ),11731412.320000000298023,11731412.320000000298023
FS( 62 ),11677828.959999999031425,11677828.959999999031425
FS( 63 ),12119891.679999997839332,12119891.679999997839332
FS( 64 ),12290688.640000000596046,12290688.640000000596046
FS( 65 ),12478230.399999998509884,12478230.399999998509884
