訓練日期,20190628 - 20190930
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11343361.269999999552965
真實報酬,1343361.269999999552965

夏普值報酬,0.125636127000000
夏普值風險,0.032366766695093
夏普值,3.881639713460983

預期報酬,21698.273666897996009
風險,164957.695188672165386
趨勢值,0.131538414392129
找到最佳解世代,2824
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,91199,
分配資金,10000000.000000000000000,
剩餘資金,29.650000000372529,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10076607.160000000149012,10076607.160000000149012
FS( 3 ),10166894.169999999925494,10166894.169999999925494
FS( 4 ),10404011.570000000298023,10404011.570000000298023
FS( 5 ),10319196.500000000000000,10319196.500000000000000
FS( 6 ),10401275.599999999627471,10401275.599999999627471
FS( 7 ),10297308.740000000223517,10297308.740000000223517
FS( 8 ),10373915.900000000372529,10373915.900000000372529
FS( 9 ),10431371.269999999552965,10431371.269999999552965
FS( 10 ),10487002.660000000149012,10487002.660000000149012
FS( 11 ),10531690.169999999925494,10531690.169999999925494
FS( 12 ),10569081.759999999776483,10569081.759999999776483
FS( 13 ),10573641.710000000894070,10573641.710000000894070
FS( 14 ),10528042.210000000894070,10528042.210000000894070
FS( 15 ),10488826.640000000596046,10488826.640000000596046
FS( 16 ),10515274.349999999627471,10515274.349999999627471
FS( 17 ),10383035.800000000745058,10383035.800000000745058
FS( 18 ),10269037.050000000745058,10269037.050000000745058
FS( 19 ),10284540.880000000819564,10284540.880000000819564
FS( 20 ),10463290.919999999925494,10463290.919999999925494
FS( 21 ),10579113.650000000372529,10579113.650000000372529
FS( 22 ),10981301.240000000223517,10981301.240000000223517
FS( 23 ),10765159.610000001266599,10765159.610000001266599
FS( 24 ),10645688.919999999925494,10645688.919999999925494
FS( 25 ),10619241.210000000894070,10619241.210000000894070
FS( 26 ),10312812.570000000298023,10312812.570000000298023
FS( 27 ),10422251.370000001043081,10422251.370000001043081
FS( 28 ),10535338.130000000819564,10535338.130000000819564
FS( 29 ),10710440.210000000894070,10710440.210000000894070
FS( 30 ),10650248.870000001043081,10650248.870000001043081
FS( 31 ),10581849.620000001043081,10581849.620000001043081
FS( 32 ),10693112.400000000372529,10693112.400000000372529
FS( 33 ),10559961.860000001266599,10559961.860000001266599
FS( 34 ),10705880.259999999776483,10705880.259999999776483
FS( 35 ),10869126.470000000670552,10869126.470000000670552
FS( 36 ),10965797.410000000149012,10965797.410000000149012
FS( 37 ),10843590.750000000000000,10843590.750000000000000
FS( 38 ),10870950.450000001117587,10870950.450000001117587
FS( 39 ),10891014.230000000447035,10891014.230000000447035
FS( 40 ),10699496.330000000074506,10699496.330000000074506
FS( 41 ),10881894.330000000074506,10881894.330000000074506
FS( 42 ),10994069.099999999627471,10994069.099999999627471
FS( 43 ),11071588.250000000000000,11071588.250000000000000
FS( 44 ),11051524.470000000670552,11051524.470000000670552
FS( 45 ),10964885.419999999925494,10964885.419999999925494
FS( 46 ),11067940.290000000968575,11067940.290000000968575
FS( 47 ),11236658.439999999478459,11236658.439999999478459
FS( 48 ),11195618.890000000596046,11195618.890000000596046
FS( 49 ),11205650.780000001192093,11205650.780000001192093
FS( 50 ),11141811.480000000447035,11141811.480000000447035
FS( 51 ),10932965.769999999552965,10932965.769999999552965
FS( 52 ),11059732.380000000819564,11059732.380000000819564
FS( 53 ),11196530.880000000819564,11196530.880000000819564
FS( 54 ),11137251.530000001192093,11137251.530000001192093
FS( 55 ),10921109.900000000372529,10921109.900000000372529
FS( 56 ),11049700.490000000223517,11049700.490000000223517
FS( 57 ),11072500.240000000223517,11072500.240000000223517
FS( 58 ),11117187.750000000000000,11117187.750000000000000
FS( 59 ),11148195.410000000149012,11148195.410000000149012
FS( 60 ),11237570.429999999701977,11237570.429999999701977
FS( 61 ),11273138.040000000968575,11273138.040000000968575
FS( 62 ),11219330.630000000819564,11219330.630000000819564
FS( 63 ),11336977.339999999850988,11336977.339999999850988
FS( 64 ),11360689.080000000074506,11360689.080000000074506
FS( 65 ),11343361.269999999552965,11343361.269999999552965
