訓練日期,20150506 - 20150806
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11082062.259999999776483
真實報酬,1082062.259999999776483

夏普值報酬,0.099506226000000
夏普值風險,0.030609254101804
夏普值,3.250854322325222

預期報酬,18749.617983238138549
風險,118291.849014883104246
趨勢值,0.158503042596613
找到最佳解世代,1995
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
Stock#,JPM[13](2),NKE[19](1),
張數,78222,99780,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,49.759999999776483,24.200000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5045368.759999999776483,5061863.599999999627471,10107232.359999999403954
FS( 3 ),5122808.539999999105930,5110755.799999999813735,10233564.339999999850988
FS( 4 ),5119679.660000000149012,5128716.200000000186265,10248395.859999999403954
FS( 5 ),5112639.679999999701977,5107762.400000000372529,10220402.080000000074506
FS( 6 ),5125155.199999999254942,5096786.599999999627471,10221941.799999998882413
FS( 7 ),5166612.859999999403954,5160645.799999999813735,10327258.660000000149012
FS( 8 ),5153315.119999999180436,5237476.400000000372529,10390791.519999999552965
FS( 9 ),5195555.000000000000000,5226500.600000000558794,10422055.600000001490116
FS( 10 ),5241705.980000000447035,5220513.799999999813735,10462219.780000001192093
FS( 11 ),5200248.320000000298023,5219516.000000000000000,10419764.320000000298023
FS( 12 ),5213546.060000000521541,5208540.200000000186265,10422086.260000001639128
FS( 13 ),5199466.099999999627471,5210535.799999999813735,10410001.899999998509884
FS( 14 ),5141581.820000000298023,5159648.000000000000000,10301229.820000000298023
FS( 15 ),5199466.099999999627471,5130711.800000000745058,10330177.900000000372529
FS( 16 ),5178346.160000000149012,5103771.200000000186265,10282117.359999999403954
FS( 17 ),5145492.919999999925494,5072839.400000000372529,10218332.320000000298023
FS( 18 ),5168959.519999999552965,5076830.600000000558794,10245790.120000001043081
FS( 19 ),5164266.199999999254942,5094791.000000000000000,10259057.199999999254942
FS( 20 ),5217457.160000000149012,5114747.000000000000000,10332204.160000000149012
FS( 21 ),5188515.019999999552965,5086808.599999999627471,10275323.619999999180436
FS( 22 ),5273777.000000000000000,5090799.800000000745058,10364576.800000000745058
FS( 23 ),5232319.339999999850988,5060865.799999999813735,10293185.140000000596046
FS( 24 ),5255003.720000000670552,5056874.600000000558794,10311878.320000000298023
FS( 25 ),5339483.480000000447035,5155656.800000000745058,10495140.280000001192093
FS( 26 ),5359821.199999999254942,5182597.400000000372529,10542418.599999999627471
FS( 27 ),5338701.259999999776483,5177608.400000000372529,10516309.660000000149012
FS( 28 ),5318363.539999999105930,5156654.600000000558794,10475018.140000000596046
FS( 29 ),5348087.900000000372529,5216522.600000000558794,10564610.500000000000000
FS( 30 ),5330096.839999999850988,5226500.600000000558794,10556597.440000001341105
FS( 31 ),5380158.919999999925494,5288364.200000000186265,10668523.120000001043081
FS( 32 ),5325403.519999999552965,5315304.800000000745058,10640708.320000000298023
FS( 33 ),5394238.879999998956919,5328276.200000000186265,10722515.079999998211861
FS( 34 ),5456034.259999999776483,5348232.200000000186265,10804266.460000000894070
FS( 35 ),5398932.199999999254942,5299340.000000000000000,10698272.199999999254942
FS( 36 ),5369990.060000000521541,5249450.000000000000000,10619440.060000000521541
FS( 37 ),5393456.660000000149012,5473955.000000000000000,10867411.660000000149012
FS( 38 ),5256568.160000000149012,5372179.400000000372529,10628747.560000000521541
FS( 39 ),5300372.480000000447035,5389142.000000000000000,10689514.480000000447035
FS( 40 ),5324621.299999998882413,5459985.799999999813735,10784607.099999997764826
FS( 41 ),5281599.199999999254942,5481937.400000000372529,10763536.599999999627471
FS( 42 ),5266737.019999999552965,5479941.800000000745058,10746678.820000000298023
FS( 43 ),5225279.359999999403954,5552781.200000000186265,10778060.559999998658895
FS( 44 ),5118115.220000000670552,5452003.400000000372529,10570118.620000001043081
FS( 45 ),5171306.179999999701977,5459985.799999999813735,10631291.980000000447035
FS( 46 ),5244834.859999999403954,5513867.000000000000000,10758701.859999999403954
FS( 47 ),5326185.740000000223517,5608658.000000000000000,10934843.740000000223517
FS( 48 ),5400496.640000000596046,5604666.800000000745058,11005163.440000001341105
FS( 49 ),5412229.939999999478459,5582715.200000000186265,10994945.140000000596046
FS( 50 ),5441172.080000000074506,5604666.800000000745058,11045838.880000000819564
FS( 51 ),5413794.379999998956919,5627616.200000000186265,11041410.579999998211861
FS( 52 ),5417705.480000000447035,5644578.799999999813735,11062284.280000001192093
FS( 53 ),5405189.959999999031425,5637594.200000000186265,11042784.160000000149012
FS( 54 ),5481847.519999999552965,5692473.200000000186265,11174320.719999998807907
FS( 55 ),5447429.839999999850988,5687484.200000000186265,11134914.039999999105930
FS( 56 ),5390327.779999999329448,5637594.200000000186265,11027921.980000000447035
FS( 57 ),5319927.980000000447035,5574732.799999999813735,10894660.780000001192093
FS( 58 ),5323056.859999999403954,5661541.400000000372529,10984598.259999999776483
FS( 59 ),5392674.439999999478459,5733383.000000000000000,11126057.439999999478459
FS( 60 ),5400496.640000000596046,5738372.000000000000000,11138868.640000000596046
FS( 61 ),5360603.419999999925494,5748350.000000000000000,11108953.419999999925494
FS( 62 ),5360603.419999999925494,5729391.800000000745058,11089995.220000000670552
FS( 63 ),5355127.879999998956919,5776288.400000000372529,11131416.279999999329448
FS( 64 ),5376247.820000000298023,5825180.600000000558794,11201428.420000001788139
FS( 65 ),5338701.259999999776483,5743361.000000000000000,11082062.259999999776483
