代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,19103737.590000003576279
真實報酬,9103737.590000003576279

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35812.046666787784488
風險,643235.047346824896522
起點值,0.055674899579093
找到最佳解世代,2461
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),IBM[10](2),
Stock#,AAPL[0](1),IBM[10](2),
張數,385802,57227,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.080000000074506,77.009999999776483,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5212191.099999999627471,4968525.149999999441206,10180716.250000000000000
FS( 3 ),5127314.660000000149012,5106442.219999999739230,10233756.879999998956919
FS( 4 ),5015432.080000000074506,5024035.339999999850988,10039467.419999999925494
FS( 5 ),5108024.560000000521541,4989126.870000000111759,10097151.429999999701977
FS( 6 ),4992283.959999999962747,4847203.910000000149012,9839487.870000001043081
FS( 7 ),4888117.419999999925494,4905003.179999999701977,9793120.599999999627471
FS( 8 ),4834105.139999999664724,4883829.190000000409782,9717934.330000000074506
FS( 9 ),4702932.459999999962747,4760791.139999999664724,9463723.599999999627471
FS( 10 ),4594907.900000000372529,4814012.250000000000000,9408920.150000000372529
FS( 11 ),4537037.599999999627471,4859793.849999999627471,9396831.449999999254942
FS( 12 ),4309414.419999999925494,4691546.469999999739230,9000960.890000000596046
FS( 13 ),4564043.740000000223517,5231769.349999999627471,9795813.089999999850988
FS( 14 ),4868827.319999999366701,5154512.899999999441206,10023340.219999998807907
FS( 15 ),4868827.319999999366701,5121321.239999999292195,9990148.559999998658895
FS( 16 ),4942129.700000000186265,5242070.209999999031425,10184199.910000000149012
FS( 17 ),5000000.000000000000000,5245503.829999999143183,10245503.829999998211861
FS( 18 ),5192901.000000000000000,5426341.149999999441206,10619242.149999998509884
FS( 19 ),5127314.660000000149012,5294146.780000000260770,10421461.440000001341105
FS( 20 ),4969135.840000000782311,5244931.560000000521541,10214067.400000002235174
FS( 21 ),5042438.219999999739230,5203728.120000000111759,10246166.339999999850988
FS( 22 ),5123456.639999999664724,5349656.969999999739230,10473113.609999999403954
FS( 23 ),5154320.799999999813735,5312459.419999999925494,10466780.219999998807907
FS( 24 ),5316357.639999999664724,5288424.079999999143183,10604781.719999998807907
FS( 25 ),5497684.580000000074506,5501880.790000000037253,10999565.370000001043081
FS( 26 ),5648147.360000000335276,5540795.149999999441206,11188942.509999999776483
FS( 27 ),5393518.040000000037253,5337639.299999999813735,10731157.339999999850988
FS( 28 ),5335647.740000000223517,5445798.329999999143183,10781446.070000000298023
FS( 29 ),5470678.440000000409782,5440647.899999999441206,10911326.339999999850988
FS( 30 ),5466820.419999999925494,5370258.690000000409782,10837079.109999999403954
FS( 31 ),5208333.080000000074506,5188849.099999999627471,10397182.179999999701977
FS( 32 ),5200617.040000000037253,5236919.780000000260770,10437536.820000000298023
FS( 33 ),4996141.979999999515712,5089274.120000000111759,10085416.099999999627471
FS( 34 ),5027006.139999999664724,5081262.339999999850988,10108268.480000000447035
FS( 35 ),4791666.919999999925494,4828319.000000000000000,9619985.919999999925494
FS( 36 ),4972993.860000000335276,4944489.810000000521541,9917483.670000001788139
FS( 37 ),5023148.120000000111759,4915876.310000000521541,9939024.429999999701977
FS( 38 ),4915123.560000000521541,5091563.199999999254942,10006686.759999999776483
FS( 39 ),4922839.599999999627471,5266677.820000000298023,10189517.419999999925494
FS( 40 ),4845679.200000000186265,5096141.359999999403954,9941820.559999998658895
FS( 41 ),4868827.319999999366701,5022890.799999999813735,9891718.119999999180436
FS( 42 ),5023148.120000000111759,5121321.239999999292195,10144469.359999999403954
FS( 43 ),4895833.459999999962747,5006294.969999999739230,9902128.429999999701977
FS( 44 ),4702932.459999999962747,4910725.879999999888241,9613658.339999999850988
FS( 45 ),4579475.819999999366701,4777386.969999999739230,9356862.789999999105930
FS( 46 ),4884259.400000000372529,4993132.759999999776483,9877392.160000000149012
FS( 47 ),5108024.560000000521541,5071533.750000000000000,10179558.310000000521541
FS( 48 ),5308641.599999999627471,5173397.810000000521541,10482039.410000000149012
FS( 49 ),5285493.479999999515712,5171108.729999999515712,10456602.209999999031425
FS( 50 ),5258487.340000000782311,5220323.949999999254942,10478811.289999999105930
FS( 51 ),5493826.560000000521541,5317037.579999999143183,10810864.140000000596046
FS( 52 ),5594135.080000000074506,5262099.660000000149012,10856234.740000000223517
FS( 53 ),5601851.120000000111759,5302730.829999999143183,10904581.949999999254942
FS( 54 ),5597993.099999999627471,5294146.780000000260770,10892139.879999998956919
FS( 55 ),5933640.840000000782311,5648954.179999999701977,11582595.019999999552965
FS( 56 ),5868054.500000000000000,5625491.109999999403954,11493545.609999999403954
FS( 57 ),5868054.500000000000000,5605461.660000000149012,11473516.160000000149012
FS( 58 ),6057097.479999999515712,5652960.070000000298023,11710057.550000000745058
FS( 59 ),5887344.599999999627471,5387999.060000000521541,11275343.660000000149012
FS( 60 ),5760029.940000000409782,5409173.049999999813735,11169202.990000000223517
FS( 61 ),5794752.120000000111759,5544801.040000000037253,11339553.160000000149012
FS( 62 ),5991511.139999999664724,5586004.479999999515712,11577515.619999999180436
FS( 63 ),6211418.280000000260770,5769703.149999999441206,11981121.429999999701977
FS( 64 ),6392745.219999999739230,5849820.949999999254942,12242566.169999998062849
FS( 65 ),6527775.920000000856817,5812051.129999999888241,12339827.050000000745058
FS( 66 ),6338732.940000000409782,5651243.259999999776483,11989976.199999999254942
FS( 67 ),6412035.320000000298023,5790877.139999999664724,12202912.460000000894070
FS( 68 ),6589504.239999999292195,5820062.910000000149012,12409567.149999998509884
FS( 69 ),6624226.420000000856817,5719915.660000000149012,12344142.080000001937151
FS( 70 ),6520059.879999999888241,5681001.299999999813735,12201061.179999999701977
FS( 71 ),6485337.699999999254942,5656965.959999999031425,12142303.659999998286366
FS( 72 ),6693670.780000000260770,5804611.620000000111759,12498282.400000000372529
FS( 73 ),6801695.339999999850988,5795455.299999999813735,12597150.640000000596046
FS( 74 ),6639658.500000000000000,5747384.620000000111759,12387043.120000001043081
FS( 75 ),6709102.860000000335276,5854971.379999999888241,12564074.240000000223517
FS( 76 ),6697528.799999999813735,5868705.859999999403954,12566234.660000000149012
FS( 77 ),6909719.900000000372529,5804039.349999999627471,12713759.250000000000000
FS( 78 ),6828701.479999999515712,5727355.169999999925494,12556056.649999998509884
FS( 79 ),6874997.719999999739230,5719915.660000000149012,12594913.379999998956919
FS( 80 ),6828701.479999999515712,5833797.389999999664724,12662498.869999999180436
FS( 81 ),6898145.839999999850988,5953974.089999999850988,12852119.929999999701977
FS( 82 ),6936726.040000000037253,5906475.679999999701977,12843201.719999998807907
FS( 83 ),7013886.440000000409782,5986593.479999999515712,13000479.919999999925494
FS( 84 ),7280089.820000000298023,6077012.139999999664724,13357101.960000000894070
FS( 85 ),7314812.000000000000000,6057554.959999999031425,13372366.959999999031425
FS( 86 ),7303237.940000000409782,5987165.750000000000000,13290403.690000001341105
FS( 87 ),7114194.960000000894070,5870994.940000000409782,12985189.900000002235174
FS( 88 ),7121911.000000000000000,5808045.239999999292195,12929956.239999998360872
FS( 89 ),7141201.100000000558794,5888735.310000000521541,13029936.410000000149012
FS( 90 ),6855707.620000000111759,5948251.389999999664724,12803959.009999999776483
FS( 91 ),6585646.219999999739230,5852110.030000000260770,12437756.250000000000000
FS( 92 ),6774689.199999999254942,5782865.359999999403954,12557554.559999998658895
FS( 93 ),6747683.059999999590218,5801178.000000000000000,12548861.059999998658895
FS( 94 ),6979164.259999999776483,5984876.669999999925494,12964040.929999999701977
FS( 95 ),7025460.500000000000000,6038097.780000000260770,13063558.280000001192093
FS( 96 ),6936726.040000000037253,5954546.359999999403954,12891272.399999998509884
FS( 97 ),6844133.559999999590218,5884157.149999999441206,12728290.709999999031425
FS( 98 ),6751541.080000000074506,5830936.040000000037253,12582477.120000001043081
FS( 99 ),7206787.440000000409782,6010056.549999999813735,13216843.990000000223517
FS( 100 ),7334102.100000000558794,5890452.120000000111759,13224554.220000000670552
