代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11606564.660000000149012
真實報酬,1606564.660000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12507.319673731741204
風險,139063.020351202780148
起點值,0.089939939763602
找到最佳解世代,2815
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),PG[21](1),WMT[28](20),
Stock#,MCD[15](3),PG[21](1),WMT[28](20),
張數,33745,46328,51864,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,1.899999999906868,33.399999999906868,33.720000000204891,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3367415.450000000186265,3355107.160000000149012,3370156.440000000409782,10092680.050000000745058
FS( 3 ),3413983.549999999813735,3392169.560000000055879,3416315.400000000372529,10222469.509999999776483
FS( 4 ),3438617.399999999906868,3400508.600000000093132,3406461.240000000689179,10245588.240000000223517
FS( 5 ),3434230.549999999813735,3415333.560000000055879,3441728.760000000242144,10291293.869999999180436
FS( 6 ),3474049.649999999906868,3446836.600000000093132,3468698.040000000037253,10389585.289999999105930
FS( 7 ),3467638.100000000093132,3450542.840000000316650,3458843.879999999888241,10377025.820000000298023
FS( 8 ),3483835.699999999720603,3443593.639999999664724,3471291.240000000689179,10398721.580000000074506
FS( 9 ),3488559.999999999534339,3433401.479999999981374,3460918.440000000409782,10382880.919999999925494
FS( 10 ),3469662.799999999813735,3438034.279999999795109,3113429.640000000130385,10021127.720000000670552
FS( 11 ),3498008.599999999627471,3440813.959999999497086,3077124.840000000316650,10015948.399999998509884
FS( 12 ),3537152.799999999813735,3470000.600000000093132,3054304.680000000167638,10061459.080000000074506
FS( 13 ),3526016.949999999720603,3482045.879999999888241,3052230.120000000111759,10060293.949999999254942
FS( 14 ),3504082.700000000186265,3448226.440000000409782,3047043.720000000204891,9999353.860000001266599
FS( 15 ),3460214.200000000186265,3409310.919999999925494,3041338.680000000167638,9910864.800000000745058
FS( 16 ),3741310.050000000279397,3467684.199999999720603,3054823.320000000298023,10263818.570000000298023
FS( 17 ),3799351.450000000186265,3568679.239999999757856,3023704.919999999925494,10391736.609999999403954
FS( 18 ),3785516.000000000000000,3589990.119999999646097,3009183.000000000465661,10384690.119999999180436
FS( 19 ),3767293.699999999720603,3580724.520000000018626,2981176.439999999944121,10329195.660000000149012
FS( 20 ),3811162.199999999720603,3544588.680000000167638,2989474.680000000167638,10345226.560000000521541
FS( 21 ),3800363.800000000279397,3568215.959999999497086,3006071.160000000149012,10374651.919999999925494
