代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12450819.990000000223517
真實報酬,2450819.990000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18466.327445586219255
風險,138391.358308357011992
起點值,0.133435553139383
找到最佳解世代,2246
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](10),BA[2](1),CAT[3](6),CVX[5](8),
Stock#,AAPL[0](10),BA[2](1),CAT[3](6),CVX[5](8),
張數,23423,19245,30693,24947,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,63.209999999962747,74.500000000000000,55.149999999906868,61.130000000353903,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2523423.000000000000000,2524248.699999999720603,2507366.319999999832362,2517961.840000000316650,10072999.859999999403954
FS( 3 ),2522720.310000000055879,2559467.050000000279397,2519336.589999999850988,2555382.340000000316650,10156906.290000000968575
FS( 4 ),2538179.489999999757856,2552731.299999999813735,2569673.109999999869615,2566608.490000000223517,10227192.389999998733401
FS( 5 ),2471658.169999999925494,2557735.000000000000000,2564148.370000000111759,2597542.770000000484288,10191084.310000000521541
FS( 6 ),2415677.199999999720603,2473634.350000000093132,2479742.620000000111759,2526443.820000000298023,9895497.990000000223517
FS( 7 ),2469784.330000000074506,2504233.899999999906868,2514425.709999999962747,2550891.880000000353903,10039335.820000000298023
FS( 8 ),2528576.060000000055879,2478060.699999999720603,2462554.540000000037253,2480541.340000000316650,9949732.640000000596046
FS( 9 ),2618051.919999999925494,2457083.649999999906868,2486802.009999999776483,2455344.870000000577420,10017282.450000001117587
FS( 10 ),2707059.319999999832362,2459008.149999999906868,2517801.939999999944121,2482287.630000000353903,10166157.040000000968575
FS( 11 ),2691834.370000000111759,2438416.000000000000000,2518415.799999999813735,2440875.610000000335276,10089541.780000001192093
FS( 12 ),2660447.549999999813735,2453427.100000000093132,2513197.989999999757856,2445865.010000000707805,10072937.650000002235174
FS( 13 ),2660213.319999999832362,2459393.050000000279397,2507673.250000000000000,2437383.030000000260770,10064662.650000000372529
FS( 14 ),2659744.859999999869615,2512701.700000000186265,2561999.859999999869615,2485530.740000000223517,10219977.160000000149012
FS( 15 ),2684807.470000000204891,2537912.649999999906868,2562920.649999999906868,2494262.190000000409782,10279902.960000000894070
FS( 16 ),2640069.540000000037253,2536180.600000000093132,2530386.069999999832362,2475302.470000000204891,10181938.680000001564622
FS( 17 ),2644051.449999999720603,2512894.149999999906868,2528237.560000000055879,2464325.790000000502914,10149508.950000001117587
FS( 18 ),2648970.280000000260770,2527327.899999999906868,2543890.989999999757856,2469315.190000000409782,10189504.359999999403954
FS( 19 ),2669114.060000000055879,2544840.849999999627471,2657762.020000000018626,2548397.180000000633299,10420114.109999999403954
FS( 20 ),2627655.350000000093132,2521746.850000000093132,2684771.859999999869615,2526443.820000000298023,10360617.880000000819564
FS( 21 ),2648033.359999999869615,2535410.800000000279397,2724672.759999999776483,2567606.370000000577420,10475723.290000000968575
FS( 22 ),2635619.169999999925494,2547727.600000000093132,2709633.189999999944121,2555881.280000000260770,10448861.239999998360872
FS( 23 ),2646862.209999999962747,2545225.750000000000000,2685999.580000000074506,2526443.820000000298023,10404531.359999999403954
FS( 24 ),2648033.359999999869615,2591606.199999999720603,2744623.209999999962747,2550392.940000000409782,10534655.710000000894070
FS( 25 ),2667708.680000000167638,2586987.399999999906868,2740633.120000000111759,2549145.590000000316650,10544474.790000000968575
FS( 26 ),2671690.589999999850988,2576017.750000000000000,2715464.859999999869615,2551390.820000000298023,10514564.019999999552965
FS( 27 ),2718302.359999999869615,2614315.300000000279397,2707791.609999999869615,2594050.190000000409782,10634459.460000000894070
FS( 28 ),2724158.109999999869615,2573900.800000000279397,2684771.859999999869615,2570600.010000000707805,10553430.780000001192093
FS( 29 ),2748518.030000000260770,2562738.699999999720603,2688148.089999999850988,2548397.180000000633299,10547802.000000000000000
FS( 30 ),2740085.750000000000000,2566972.600000000093132,2669425.359999999869615,2514469.260000000707805,10490952.969999998807907
FS( 31 ),2755310.699999999720603,2569282.000000000000000,2690910.459999999962747,2521703.890000000130385,10537207.049999998882413
FS( 32 ),2753436.859999999869615,2578904.500000000000000,2679247.120000000111759,2528689.050000000279397,10540277.529999999329448
FS( 33 ),2751563.020000000018626,2600074.000000000000000,2677098.609999999869615,2539416.260000000707805,10568151.890000000596046
FS( 34 ),2743364.970000000204891,2620858.600000000093132,2701039.149999999906868,2551390.820000000298023,10616653.540000000968575
FS( 35 ),2741959.589999999850988,2614315.300000000279397,2658989.739999999757856,2541412.020000000484288,10556676.650000002235174
FS( 36 ),2731185.009999999776483,2610273.850000000093132,2649781.839999999850988,2527192.230000000447035,10518432.929999999701977
FS( 37 ),2755779.160000000149012,2645299.750000000000000,2639346.219999999739230,2511226.150000000372529,10551651.280000001192093
FS( 38 ),2769832.959999999962747,2675514.400000000372529,2592999.790000000037253,2513970.320000000298023,10552317.470000000670552
FS( 39 ),2707527.780000000260770,2800991.799999999813735,2582257.239999999757856,2524448.060000000521541,10615224.880000000819564
FS( 40 ),2681528.250000000000000,2758075.450000000186265,2547881.080000000074506,2492765.370000000577420,10480250.150000000372529
FS( 41 ),2663726.770000000018626,2752301.949999999720603,2574583.989999999757856,2590058.670000000391155,10580671.379999998956919
FS( 42 ),2659510.629999999888241,2741139.850000000093132,2561692.929999999701977,2613259.380000000353903,10575602.790000000968575
FS( 43 ),2611493.479999999981374,2740754.949999999720603,2524247.469999999739230,2656417.690000000409782,10532913.589999999850988
FS( 44 ),2613835.780000000260770,2708808.250000000000000,2489564.379999999888241,2629225.460000000428408,10441433.870000001043081
FS( 45 ),2572611.299999999813735,2694759.400000000372529,2494475.259999999776483,2629225.460000000428408,10391071.419999999925494
FS( 46 ),2549422.530000000260770,2685521.799999999813735,2526395.979999999981374,2614007.790000000502914,10375348.100000001490116
FS( 47 ),2586196.639999999664724,2752686.850000000093132,2570593.899999999906868,2665648.080000000074506,10575125.470000000670552
FS( 48 ),2601421.589999999850988,2736713.500000000000000,2599138.390000000130385,2676624.760000000707805,10613898.240000002086163
FS( 49 ),2597205.449999999720603,2792331.550000000279397,2799256.750000000000000,2685356.210000000428408,10874149.960000000894070
FS( 50 ),2524828.379999999888241,2842368.549999999813735,2868316.000000000000000,2689098.260000000707805,10924611.190000001341105
FS( 51 ),2539819.100000000093132,2858341.900000000372529,2854811.080000000074506,2660409.210000000428408,10913381.290000000968575
FS( 52 ),2476108.540000000037253,2886632.050000000279397,2890414.959999999962747,2659161.860000000335276,10912317.410000000149012
FS( 53 ),2508900.739999999757856,2850451.450000000186265,2898702.069999999832362,2718286.250000000000000,10976340.509999999776483
FS( 54 ),2576358.979999999981374,2818312.299999999813735,2865246.699999999720603,2703068.580000000074506,10962986.559999998658895
FS( 55 ),2575422.060000000055879,2796950.350000000093132,2847751.689999999944121,2697330.770000000484288,10917454.870000001043081
FS( 56 ),2577998.589999999850988,2816580.250000000000000,2834246.770000000018626,2724273.530000000260770,10953099.140000000596046
FS( 57 ),2617115.000000000000000,2829474.400000000372529,2851434.850000000093132,2748721.590000000316650,11046745.839999999850988
FS( 58 ),2618754.609999999869615,2877586.900000000372529,2873533.810000000055879,2759698.270000000484288,11129573.589999999850988
FS( 59 ),2605403.500000000000000,2881820.800000000279397,2952107.890000000130385,2769178.130000000353903,11208510.320000002160668
FS( 60 ),2618520.379999999888241,2887594.299999999813735,2940751.479999999981374,2769178.130000000353903,11216044.290000000968575
FS( 61 ),2613367.319999999832362,2882398.150000000372529,2912820.850000000093132,2756704.630000000353903,11165290.950000001117587
FS( 62 ),2610790.790000000037253,2918386.299999999813735,2886424.870000000111759,2727766.110000000335276,11143368.070000000298023
FS( 63 ),2588773.169999999925494,2897601.700000000186265,2933078.229999999981374,2783148.450000000186265,11202601.550000000745058
FS( 64 ),2564647.479999999981374,2932820.049999999813735,2953949.469999999739230,2826306.760000000707805,11277723.760000001639128
FS( 65 ),2574250.910000000149012,2930125.750000000000000,2920187.169999999925494,2819072.130000000353903,11243635.960000000894070
FS( 66 ),2555746.739999999757856,2928393.699999999720603,2899009.000000000000000,2825308.880000000353903,11208458.320000000298023
FS( 67 ),2575422.060000000055879,2929933.300000000279397,2922642.609999999869615,2813084.850000000558794,11241082.820000000298023
FS( 68 ),2600718.899999999906868,2966498.799999999813735,2987404.839999999850988,2854995.810000000521541,11409618.349999999627471
FS( 69 ),2626249.970000000204891,2990555.049999999813735,2954870.259999999776483,2873207.120000000577420,11444882.400000000372529
FS( 70 ),2669114.060000000055879,3011724.550000000279397,2932157.439999999944121,2889173.200000000186265,11502169.250000000000000
FS( 71 ),2653889.109999999869615,3024618.699999999720603,2918345.589999999850988,2922602.180000000633299,11519455.579999998211861
FS( 72 ),2698158.580000000074506,3014996.199999999720603,2947197.009999999776483,2929337.870000000577420,11589689.660000000149012
FS( 73 ),2698158.580000000074506,2972849.649999999906868,2877216.969999999739230,2892915.250000000000000,11441140.449999999254942
FS( 74 ),2712915.069999999832362,2959378.150000000372529,2901464.439999999944121,2920107.480000000447035,11493865.140000000596046
FS( 75 ),2716428.520000000018626,2973427.000000000000000,2841613.089999999850988,2945802.890000000130385,11477271.500000000000000
FS( 76 ),2732121.930000000167638,3005758.600000000093132,2845603.179999999701977,2935075.680000000633299,11518559.390000000596046
FS( 77 ),2739383.060000000055879,3009800.049999999813735,2895632.770000000018626,2942559.780000000260770,11587375.660000000149012
FS( 78 ),2741959.589999999850988,3030777.099999999627471,2879672.409999999683350,2941561.900000000372529,11593971.000000000000000
FS( 79 ),2723923.879999999888241,3030392.200000000186265,2888880.310000000055879,2963016.320000000298023,11606212.710000000894070
FS( 80 ),2729311.169999999925494,3037127.950000000186265,2895018.909999999683350,2954284.870000000577420,11615742.900000000372529
FS( 81 ),2746644.189999999944121,3030777.099999999627471,2902078.299999999813735,2949295.470000000204891,11628795.060000000521541
FS( 82 ),2734932.689999999944121,3004219.000000000000000,2859108.100000000093132,2941561.900000000372529,11539821.689999999478459
FS( 83 ),2734230.000000000000000,2996328.549999999813735,2863405.120000000111759,2939316.670000000391155,11533280.339999999850988
FS( 84 ),2712915.069999999832362,2996136.100000000093132,2846523.969999999739230,2936323.030000000260770,11491898.170000001788139
FS( 85 ),2720644.660000000149012,3020962.149999999906868,2884890.219999999739230,2940065.080000000074506,11566562.110000001266599
FS( 86 ),2717599.669999999925494,3052716.399999999906868,2871999.159999999683350,2939316.670000000391155,11581631.900000000372529
FS( 87 ),2731419.239999999757856,3054448.450000000186265,2854504.149999999906868,2926593.700000000186265,11566965.539999999105930
FS( 88 ),2761869.139999999664724,3061954.000000000000000,2855731.870000000111759,2914868.610000000335276,11594423.620000001043081
FS( 89 ),2787165.979999999981374,3046942.899999999906868,2835167.560000000055879,2889921.610000000335276,11559198.050000000745058
FS( 90 ),2789976.739999999757856,3061376.649999999906868,2879979.339999999850988,2867968.250000000000000,11599300.980000000447035
FS( 91 ),2804967.459999999962747,3067727.500000000000000,2905147.600000000093132,2892166.840000000316650,11670009.400000000372529
FS( 92 ),2793255.959999999962747,3046365.549999999813735,2884890.219999999739230,2897904.650000000372529,11622416.380000000819564
FS( 93 ),2788337.129999999888241,3056757.850000000093132,2899929.790000000037253,2903392.990000000223517,11648417.759999999776483
FS( 94 ),2810823.209999999962747,3034433.649999999906868,2871999.159999999683350,2900898.290000000502914,11618154.310000000521541
FS( 95 ),2810588.979999999981374,3046942.899999999906868,2864632.839999999850988,2892416.310000000521541,11614581.029999999329448
FS( 96 ),2805670.149999999906868,3060029.500000000000000,2866167.489999999757856,2883435.390000000130385,11615302.530000001192093
FS( 97 ),2810823.209999999962747,3070229.350000000093132,2902999.089999999850988,2883934.330000000074506,11667985.980000000447035
FS( 98 ),2812697.049999999813735,3037705.300000000279397,2899315.929999999701977,2878695.460000000428408,11628413.740000000223517
FS( 99 ),2810120.520000000018626,3089859.250000000000000,2953949.469999999739230,2903143.520000000484288,11757072.759999997913837
FS( 100 ),2854858.449999999720603,3220917.700000000186265,3012573.100000000093132,2924847.410000000149012,12013196.660000000149012
FS( 101 ),2856263.830000000074506,3254788.899999999906868,2984028.609999999869615,2907633.980000000447035,12002715.320000000298023
FS( 102 ),2856498.060000000055879,3227461.000000000000000,3038355.219999999739230,2838780.260000000707805,11961094.540000002831221
FS( 103 ),2849002.699999999720603,3186469.149999999906868,2970830.620000000111759,2789634.670000000391155,11795937.139999998733401
FS( 104 ),2842444.259999999776483,3145092.399999999906868,2936147.529999999795109,2777909.580000000074506,11701593.769999999552965
FS( 105 ),3015774.459999999962747,3155677.149999999906868,2919266.379999999888241,2769178.130000000353903,11859896.119999999180436
FS( 106 ),3010621.399999999906868,3122768.199999999720603,2878137.759999999776483,2799364.000000000000000,11810891.359999999403954
FS( 107 ),3023504.050000000279397,3125462.500000000000000,2863098.189999999944121,2833291.920000000391155,11845356.660000000149012
FS( 108 ),3051845.879999999888241,3155869.599999999627471,2850514.060000000055879,2818573.190000000409782,11876802.730000000447035
FS( 109 ),3080890.399999999906868,3204367.000000000000000,2864018.979999999981374,2778907.460000000428408,11928183.840000001713634
FS( 110 ),3092836.129999999888241,3152597.950000000186265,2851741.779999999795109,2783647.390000000130385,11880823.250000000000000
FS( 111 ),3101736.869999999646097,3161643.100000000093132,2883969.429999999701977,2800611.350000000558794,11947960.750000000000000
FS( 112 ),3094709.970000000204891,3199170.849999999627471,2956097.979999999981374,2820319.480000000447035,12070298.280000001192093
FS( 113 ),3122114.879999999888241,3233811.850000000093132,3023315.649999999906868,2841773.900000000372529,12221016.280000001192093
FS( 114 ),3162636.670000000391155,3242857.000000000000000,3010731.520000000018626,2807097.570000000298023,12223322.759999999776483
