代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12916373.829999998211861
真實報酬,2916373.829999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,28021.056701826662902
風險,269137.213254180038348
起點值,0.104114389693717
找到最佳解世代,1708
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](6),CSCO[4](1),INTC[11](7),NKE[19](3),
Stock#,BA[2](6),CSCO[4](1),INTC[11](7),NKE[19](3),
張數,9766,74074,64036,48197,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.659999999683350,2.500000000000000,34.560000000055879,21.610000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2494824.019999999552965,2507407.399999999906868,2521772.240000000223517,2480721.200000000186265,10004724.859999999403954
FS( 3 ),2497753.819999999366701,2477037.060000000055879,2519210.800000000279397,2510121.370000000111759,10004123.050000000745058
FS( 4 ),2528321.399999999441206,2488148.160000000149012,2531377.640000000130385,2514941.070000000298023,10062788.269999999552965
FS( 5 ),2525293.939999999478459,2500000.000000000000000,2537781.240000000223517,2526508.350000000558794,10089583.530000001192093
FS( 6 ),2523438.399999999441206,2500740.739999999757856,2552509.520000000018626,2483131.050000000279397,10059819.709999999031425
FS( 7 ),2548244.039999999571592,2485185.199999999720603,2539061.959999999962747,2483613.020000000484288,10056104.219999998807907
FS( 8 ),2553224.699999999720603,2488148.160000000149012,2516649.359999999869615,2459514.520000000484288,10017536.739999998360872
FS( 9 ),2557814.719999999739230,2463703.739999999757856,2509605.399999999906868,2449875.120000000111759,9980998.980000000447035
FS( 10 ),2546388.500000000000000,2479259.279999999795109,2540342.680000000167638,2457104.670000000391155,10023095.129999998956919
FS( 11 ),2536720.159999999683350,2484444.459999999962747,2546105.919999999925494,2475901.500000000000000,10043172.039999999105930
FS( 12 ),2525684.579999999608845,2488888.899999999906868,2548027.000000000000000,2506265.610000000335276,10068866.089999999850988
FS( 13 ),2539552.299999999813735,2485185.199999999720603,2577483.560000000055879,2520724.710000000428408,10122945.770000001415610
FS( 14 ),2529786.299999999813735,2500000.000000000000000,2567237.800000000279397,2539521.540000000037253,10136545.640000000596046
FS( 15 ),2585550.159999999683350,2537037.000000000000000,2589010.040000000037253,2557354.430000000633299,10268951.630000000819564
FS( 16 ),2561818.779999999795109,2544444.399999999906868,2614624.439999999944121,2586272.630000000353903,10307160.250000000000000
FS( 17 ),2597757.659999999683350,2561481.419999999925494,2622308.760000000242144,2574705.350000000558794,10356253.190000001341105
FS( 18 ),2523731.379999999888241,2540740.699999999720603,2611422.640000000130385,2647964.790000000037253,10323859.510000001639128
FS( 19 ),2532032.479999999515712,2538518.480000000447035,2647923.160000000149012,2738093.180000000633299,10456567.300000000745058
FS( 20 ),2504590.019999999552965,2550370.319999999832362,2843232.959999999962747,2697125.730000000447035,10595319.030000001192093
FS( 21 ),2531837.159999999683350,2521481.459999999962747,2841311.879999999888241,2663869.800000000279397,10558500.299999998882413
FS( 22 ),2519434.339999999850988,2529629.600000000093132,2913032.200000000186265,2650374.640000000596046,10612470.780000001192093
FS( 23 ),2524512.659999999683350,2564444.379999999888241,2991156.120000000111759,2654230.400000000372529,10734343.559999998658895
FS( 24 ),2564846.239999999757856,2534074.040000000037253,3016130.160000000149012,2656640.250000000000000,10771690.689999999478459
FS( 25 ),2556252.159999999683350,2553333.279999999795109,2967462.800000000279397,2685076.480000000447035,10762124.720000000670552
