代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11999164.320000000298023
真實報酬,1999164.320000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15439.119679249655746
風險,153474.685353682725690
起點值,0.100597174339665
找到最佳解世代,1878
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),DD[7](4),PFE[20](6),UNH[23](7),
Stock#,BA[2](3),DD[7](4),PFE[20](6),UNH[23](7),
張數,24816,51124,90090,39808,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,36.160000000149012,36.399999999906868,2.500000000000000,57.600000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2471957.919999999925494,2520449.599999999627471,2491891.899999999906868,2482484.479999999981374,9966783.900000000372529
FS( 3 ),2444164.000000000000000,2450409.719999999739230,2475675.700000000186265,2458201.600000000093132,9828451.019999999552965
FS( 4 ),2475680.320000000298023,2467280.639999999664724,2532432.399999999906868,2464968.959999999962747,9940362.320000000298023
FS( 5 ),2543428.000000000000000,2501022.479999999981374,2545945.900000000372529,2490844.160000000149012,10081240.540000000968575
FS( 6 ),2537224.000000000000000,2499488.759999999776483,2555855.800000000279397,2535031.040000000037253,10127599.600000001490116
FS( 7 ),2525064.160000000149012,2475460.479999999981374,2560360.300000000279397,2544983.040000000037253,10105867.980000000447035
FS( 8 ),2503474.240000000223517,2460123.279999999795109,2561261.200000000186265,2541002.240000000223517,10065860.960000000894070
FS( 9 ),2535238.720000000204891,2522494.560000000055879,2619819.699999999720603,2553740.800000000279397,10231293.780000001192093
FS( 10 ),2527049.439999999944121,2475971.719999999739230,2620720.600000000093132,2539808.000000000000000,10163549.759999999776483
FS( 11 ),2556828.640000000130385,2485685.279999999795109,2627026.899999999906868,2562498.560000000055879,10232039.380000000819564
FS( 12 ),2582885.439999999944121,2520449.599999999627471,2648648.500000000000000,2614647.040000000502914,10366630.580000000074506
FS( 13 ),2537472.160000000149012,2482617.839999999850988,2621621.500000000000000,2597927.680000000167638,10239639.179999999701977
FS( 14 ),2472702.400000000372529,2416667.879999999888241,2580180.100000000093132,2539808.000000000000000,10009358.380000000819564
FS( 15 ),2481139.840000000316650,2375768.679999999701977,2563963.899999999906868,2543788.799999999813735,9964661.219999998807907
FS( 16 ),2428281.759999999776483,2355319.080000000074506,2496396.399999999906868,2573644.800000000279397,9853642.040000000968575
FS( 17 ),2448630.880000000353903,2366055.120000000111759,2521621.599999999627471,2537021.439999999944121,9873329.039999999105930
FS( 18 ),2500248.160000000149012,2344583.040000000037253,2531531.500000000000000,2578819.840000000316650,9955182.540000000968575
FS( 19 ),2559806.560000000521541,2355319.080000000074506,2538738.700000000186265,2630968.320000000298023,10084832.660000000149012
FS( 20 ),2542187.200000000186265,2342026.839999999850988,2523423.400000000372529,2606685.440000000409782,10014322.880000000819564
FS( 21 ),2562040.000000000000000,2366055.120000000111759,2502702.700000000186265,2612656.640000000130385,10043454.460000000894070
FS( 22 ),2518115.680000000167638,2361965.200000000186265,2495495.500000000000000,2598325.759999999776483,9973902.140000000596046
FS( 23 ),2553354.400000000372529,2360942.719999999739230,2490991.000000000000000,2609073.920000000391155,10014362.040000000968575
FS( 24 ),2585863.360000000335276,2379858.599999999627471,2519819.799999999813735,2634152.959999999962747,10119694.719999998807907
FS( 25 ),2590082.080000000074506,2408999.279999999795109,2534234.199999999720603,2689486.080000000074506,10222801.639999998733401
FS( 26 ),2597775.040000000502914,2476994.200000000186265,2554054.000000000000000,2705807.359999999869615,10334630.599999999627471
FS( 27 ),2618124.160000000149012,2460123.279999999795109,2562162.100000000093132,2694661.120000000111759,10335070.660000000149012
FS( 28 ),2652370.240000000223517,2489775.200000000186265,2591891.799999999813735,2721332.479999999981374,10455369.720000000670552
FS( 29 ),2528042.080000000074506,2484151.560000000055879,2595495.399999999906868,2707001.600000000093132,10314690.640000000596046
FS( 30 ),2622094.720000000204891,2504601.160000000149012,2593693.600000000093132,2691874.560000000055879,10412264.040000000968575
FS( 31 ),2586607.840000000316650,2473415.520000000018626,2583783.700000000186265,2663610.879999999888241,10307417.940000001341105
FS( 32 ),2600504.800000000279397,2528629.439999999944121,2583783.700000000186265,2636541.440000000409782,10349459.380000000819564
FS( 33 ),2670982.240000000223517,2517893.399999999906868,2566666.599999999627471,2808512.000000000000000,10564054.240000000223517
FS( 34 ),2654355.520000000018626,2524028.279999999795109,2620720.600000000093132,2844339.200000000186265,10643443.600000001490116
FS( 35 ),2651873.919999999925494,2518404.639999999664724,2644144.000000000000000,2873399.040000000502914,10687821.599999999627471
FS( 36 ),2674952.800000000279397,2515337.200000000186265,2650450.300000000279397,2893701.120000000111759,10734441.420000001788139
FS( 37 ),2654107.360000000335276,2502556.200000000186265,2637837.700000000186265,2887331.840000000316650,10681833.100000001490116
FS( 38 ),2647903.360000000335276,2547545.319999999832362,2629729.600000000093132,2890914.560000000055879,10716092.839999999850988
FS( 39 ),2620605.759999999776483,2526584.479999999981374,2645945.800000000279397,2874593.279999999795109,10667729.320000000298023
FS( 40 ),2601001.120000000111759,2548056.560000000055879,2661261.100000000093132,2897681.920000000391155,10708000.699999999254942
FS( 41 ),2623831.840000000316650,2552657.719999999739230,2672972.800000000279397,2876981.759999999776483,10726444.120000001043081
FS( 42 ),2608197.759999999776483,2551124.000000000000000,2633333.200000000186265,2900070.399999999906868,10692725.359999999403954
FS( 43 ),2647903.360000000335276,2577197.239999999757856,2622522.399999999906868,2912410.879999999888241,10760033.879999998956919
FS( 44 ),2677682.560000000521541,2637012.319999999832362,2645945.800000000279397,2876583.680000000167638,10837224.360000001266599
FS( 45 ),2667756.160000000149012,2655928.200000000186265,2629729.600000000093132,2919576.320000000298023,10872990.280000001192093
FS( 46 ),2656340.800000000279397,2625253.799999999813735,2643243.100000000093132,2915595.520000000018626,10840433.219999998807907
FS( 47 ),2640954.880000000353903,2642124.719999999739230,2636035.900000000372529,2902856.959999999962747,10821972.460000000894070
FS( 48 ),2626561.600000000093132,2687113.839999999850988,2624324.199999999720603,2913207.040000000502914,10851206.679999999701977
FS( 49 ),2613905.439999999944121,2769423.479999999981374,2631531.399999999906868,2903255.040000000502914,10918115.360000001266599
FS( 50 ),2586856.000000000000000,2728524.279999999795109,2629729.600000000093132,2881758.720000000204891,10826868.599999999627471
FS( 51 ),2636239.840000000316650,2757664.959999999962747,2636936.799999999813735,2919974.399999999906868,10950816.000000000000000
FS( 52 ),2584870.720000000204891,2748462.639999999664724,2615315.200000000186265,2885739.520000000018626,10834388.080000000074506
FS( 53 ),2549383.840000000316650,2705007.239999999757856,2594594.500000000000000,2842348.800000000279397,10691334.380000000819564
FS( 54 ),2567747.680000000167638,2685580.120000000111759,2555855.800000000279397,2843543.040000000502914,10652726.640000002458692
FS( 55 ),2598767.680000000167638,2666664.239999999757856,2563963.899999999906868,2854689.279999999795109,10684085.099999999627471
FS( 56 ),2596534.240000000223517,2690181.279999999795109,2570270.200000000186265,2884545.279999999795109,10741531.000000000000000
FS( 57 ),2578666.720000000204891,2703984.759999999776483,2544144.099999999627471,2860262.399999999906868,10687057.980000000447035
FS( 58 ),2609190.400000000372529,2707563.439999999944121,2536936.899999999906868,2865039.359999999869615,10718730.099999999627471
FS( 59 ),2617627.840000000316650,2820547.479999999981374,2553153.100000000093132,2887729.920000000391155,10879058.339999999850988
FS( 60 ),2618868.640000000130385,2813901.359999999869615,2524324.299999999813735,2881360.640000000130385,10838454.939999999478459
FS( 61 ),2561295.520000000018626,2734659.160000000149012,2522522.500000000000000,2847125.759999999776483,10665602.939999999478459
FS( 62 ),2562784.479999999981374,2726479.319999999832362,2541441.399999999906868,2847921.920000000391155,10678627.119999999180436
FS( 63 ),2603979.040000000502914,2731591.719999999739230,2531531.500000000000000,2883749.120000000111759,10750851.379999998956919
FS( 64 ),2578914.880000000353903,2722900.639999999664724,2541441.399999999906868,2855883.520000000018626,10699140.439999999478459
FS( 65 ),2605964.320000000298023,2725968.080000000074506,2523423.400000000372529,2888526.080000000074506,10743881.880000000819564
FS( 66 ),2639714.080000000074506,2750507.599999999627471,2555855.800000000279397,2919974.399999999906868,10866051.880000000819564
FS( 67 ),2646662.560000000521541,2796519.200000000186265,2546846.799999999813735,2947441.920000000391155,10937470.480000000447035
FS( 68 ),2632269.279999999795109,2807255.239999999757856,2547747.700000000186265,2948238.080000000074506,10935510.300000000745058
FS( 69 ),2660063.200000000186265,2825659.879999999888241,2549549.500000000000000,2955801.600000000093132,10991074.179999999701977
FS( 70 ),2684382.880000000353903,2911036.959999999962747,2563063.000000000000000,2970928.640000000130385,11129411.480000000447035
FS( 71 ),2710687.840000000316650,2901323.399999999906868,2582882.800000000279397,2992823.040000000502914,11187717.080000001937151
FS( 72 ),2724832.959999999962747,2829238.560000000055879,2550450.399999999906868,2975307.520000000018626,11079829.439999999478459
FS( 73 ),2762801.439999999944121,2902857.120000000111759,2568468.400000000372529,2964957.440000000409782,11199084.400000002235174
FS( 74 ),2870502.880000000353903,2897744.719999999739230,2586486.399999999906868,2990434.560000000055879,11345168.560000000521541
FS( 75 ),2906237.919999999925494,2891098.599999999627471,2580180.100000000093132,2958190.080000000074506,11335706.699999999254942
FS( 76 ),2938250.560000000521541,2974941.959999999962747,2616216.100000000093132,2907633.920000000391155,11437042.540000000968575
FS( 77 ),2954132.800000000279397,2956537.319999999832362,2598198.100000000093132,2820056.320000000298023,11328924.540000000968575
FS( 78 ),2894326.240000000223517,2890587.359999999869615,2609909.799999999813735,2809308.159999999683350,11204131.559999998658895
FS( 79 ),2916164.320000000298023,2856845.520000000018626,2594594.500000000000000,2859068.159999999683350,11226672.500000000000000
FS( 80 ),2953140.160000000149012,2847643.200000000186265,2586486.399999999906868,2878972.159999999683350,11266241.919999999925494
FS( 81 ),2940980.320000000298023,2901834.639999999664724,2566666.599999999627471,2865437.440000000409782,11274919.000000000000000
FS( 82 ),2962570.240000000223517,2911548.200000000186265,2569369.299999999813735,2872602.879999999888241,11316090.620000001043081
FS( 83 ),2946688.000000000000000,2840997.080000000074506,2601801.699999999720603,2865835.520000000018626,11255322.299999998882413
FS( 84 ),2915916.160000000149012,2796007.959999999962747,2588288.200000000186265,2850708.479999999981374,11150920.800000000745058
FS( 85 ),2922120.160000000149012,2789361.839999999850988,2602702.600000000093132,2889322.240000000223517,11203506.839999999850988
FS( 86 ),2924353.600000000093132,2817480.040000000037253,2613513.400000000372529,2888924.159999999683350,11244271.200000001117587
FS( 87 ),2859832.000000000000000,2822592.439999999944121,2591891.799999999813735,2886933.759999999776483,11161250.000000000000000
FS( 88 ),2908471.360000000335276,2911548.200000000186265,2612612.500000000000000,2905643.520000000018626,11338275.580000000074506
FS( 89 ),2895815.200000000186265,2865025.359999999869615,2578378.300000000279397,2873000.959999999962747,11212219.820000000298023
FS( 90 ),2864795.200000000186265,2804699.040000000037253,2544144.099999999627471,2845533.440000000409782,11059171.780000001192093
FS( 91 ),2840723.680000000167638,2833839.719999999739230,2548648.600000000093132,2841552.640000000130385,11064764.640000000596046
FS( 92 ),2950658.560000000521541,2941200.120000000111759,2591891.799999999813735,2945053.440000000409782,11428803.920000001788139
FS( 93 ),2927827.840000000316650,2990279.160000000149012,2587387.299999999813735,2956597.759999999776483,11462092.060000000521541
FS( 94 ),2964555.520000000018626,2971874.520000000018626,2644144.000000000000000,2974511.359999999869615,11555085.399999998509884
FS( 95 ),2932791.040000000502914,2943756.319999999832362,2627026.899999999906868,2940674.560000000055879,11444248.820000000298023
FS( 96 ),2986393.600000000093132,2994369.080000000074506,2684684.500000000000000,2993221.120000000111759,11658668.300000000745058
FS( 97 ),3034784.800000000279397,3013284.959999999962747,2726125.900000000372529,2841154.560000000055879,11615350.220000000670552
FS( 98 ),3040492.479999999981374,3007661.319999999832362,2748648.400000000372529,2737255.680000000167638,11534057.879999998956919
FS( 99 ),3014435.680000000167638,3011240.000000000000000,2738738.500000000000000,2714963.200000000186265,11479377.379999998956919
FS( 100 ),3039499.840000000316650,3025043.479999999981374,2763963.700000000186265,2741236.479999999981374,11569743.500000000000000
FS( 101 ),3201796.480000000447035,2987722.959999999962747,2756756.500000000000000,2707399.680000000167638,11653675.620000001043081
FS( 102 ),3200803.839999999850988,2957559.799999999813735,2757657.399999999906868,2691476.479999999981374,11607497.519999999552965
FS( 103 ),3255647.200000000186265,2877295.120000000111759,2757657.399999999906868,2691874.560000000055879,11582474.280000001192093
FS( 104 ),3223138.240000000223517,2847643.200000000186265,2769369.099999999627471,2664805.120000000111759,11504955.660000000149012
FS( 105 ),3217678.720000000204891,2872693.959999999962747,2815315.000000000000000,2710186.240000000223517,11615873.919999999925494
FS( 106 ),3218175.040000000502914,2858379.239999999757856,2786486.200000000186265,2707399.680000000167638,11570440.160000000149012
FS( 107 ),3238524.160000000149012,2873716.439999999944121,2764864.600000000093132,2717351.680000000167638,11594456.879999998956919
FS( 108 ),3301308.640000000130385,2835884.679999999701977,2808107.800000000279397,2732080.640000000130385,11677381.760000001639128
FS( 109 ),3295352.799999999813735,2796007.959999999962747,2816215.900000000372529,2744819.200000000186265,11652395.859999999403954
FS( 110 ),3314709.279999999795109,2819013.759999999776483,2814414.099999999627471,2735663.359999999869615,11683800.499999998137355
FS( 111 ),3302797.600000000093132,2858379.239999999757856,2790089.799999999813735,2798161.920000000391155,11749428.560000000521541
FS( 112 ),3263588.319999999832362,2815435.080000000074506,2784684.399999999906868,2777063.680000000167638,11640771.480000000447035
FS( 113 ),3312724.000000000465661,2888031.160000000149012,2821621.299999999813735,2806521.600000000093132,11828898.060000000521541
FS( 114 ),3288900.640000000130385,2887519.919999999925494,2814414.099999999627471,2806521.600000000093132,11797356.259999999776483
FS( 115 ),3283937.440000000409782,2864002.879999999888241,2827026.699999999720603,2784627.200000000186265,11759594.219999998807907
FS( 116 ),3304782.879999999888241,2882918.759999999776483,2871170.800000000279397,2826823.680000000167638,11885696.119999999180436
FS( 117 ),3352429.600000000093132,2919728.040000000037253,2882882.500000000000000,2843941.120000000111759,11998981.260000001639128
FS( 118 ),3376997.440000000409782,2928930.359999999869615,2900900.500000000465661,2861058.560000000055879,12067886.860000001266599
FS( 119 ),3433577.920000000391155,2902857.120000000111759,2883783.399999999906868,2853495.040000000502914,12073713.480000002309680
FS( 120 ),3399331.839999999850988,2890587.359999999869615,2852251.899999999906868,2850708.479999999981374,11992879.580000000074506
FS( 121 ),3286915.359999999869615,2858379.239999999757856,2875675.300000000279397,2865437.440000000409782,11886407.339999999850988
FS( 122 ),3298827.040000000502914,2885474.959999999962747,2880179.799999999813735,2902458.879999999888241,11966940.679999999701977
FS( 123 ),3374267.680000000167638,2887519.919999999925494,2893693.299999999813735,2935499.520000000018626,12090980.419999998062849
