代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12418535.299999998882413
真實報酬,2418535.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19750.694040954065713
風險,119017.923069509430206
起點值,0.165947224851329
找到最佳解世代,2060
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](8),CSCO[4](10),MMM[16](2),NKE[19](4),TRV[22](1),
Stock#,BA[2](8),CSCO[4](10),MMM[16](2),NKE[19](4),TRV[22](1),
張數,28252,114220,22408,83892,28477,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,40.919999999925494,7.799999999813735,86.000000000000000,14.719999999972060,60.289999999804422,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979093.519999999785796,1981724.800000000046566,1993725.760000000009313,1983221.600000000093132,1982629.030000000027940,9920394.709999999031425
FS( 3 ),1989264.239999999757856,1987435.799999999580905,2007842.799999999813735,1998322.159999999916181,1968105.759999999776483,9950970.759999997913837
FS( 4 ),2034749.959999999729916,1996573.399999999906868,2036076.879999999888241,2015939.479999999981374,1998291.379999999888241,10081631.099999997764826
FS( 5 ),1980788.639999999897555,1965734.000000000000000,2002913.039999999804422,1984899.439999999944121,1956714.959999999729916,9891050.079999998211861
FS( 6 ),2005367.880000000121072,1922330.399999999674037,1984314.399999999906868,1927013.959999999962747,1964973.289999999804422,9803999.929999999701977
FS( 7 ),2069499.919999999925494,1921188.199999999953434,1990140.479999999981374,1936242.079999999841675,1964403.750000000000000,9881474.429999999701977
FS( 8 ),2081930.799999999813735,1925756.999999999767169,1998431.440000000176951,1935403.159999999916181,1948741.399999999906868,9890263.800000000745058
FS( 9 ),2072607.639999999897555,1924614.800000000046566,1996190.639999999897555,1918624.760000000009313,1943046.000000000000000,9855083.839999999850988
FS( 10 ),2014126.000000000000000,2017132.999999999767169,1956528.479999999981374,1900168.519999999785796,1938489.679999999701977,9826445.679999999701977
FS( 11 ),2007063.000000000000000,2049114.599999999860302,1972438.159999999916181,1905202.040000000037253,1945608.929999999701977,9879426.730000000447035
FS( 12 ),1999434.959999999729916,2054825.599999999627471,1983194.000000000000000,1942114.519999999785796,1955006.339999999850988,9934575.419999998062849
FS( 13 ),2033054.839999999850988,2090233.799999999813735,2007170.559999999823049,2020134.079999999841675,1980350.869999999878928,10130944.149999998509884
FS( 14 ),2049441.000000000000000,2094802.599999999860302,1994846.159999999916181,2005033.519999999785796,1983198.569999999832362,10127321.849999999627471
FS( 15 ),2066674.719999999972060,2110793.399999999906868,1993053.520000000018626,2005033.519999999785796,1999715.229999999748543,10175270.390000000596046
FS( 16 ),2083343.399999999674037,2151912.599999999627471,2023080.239999999990687,2029362.200000000186265,2029616.079999999608845,10317314.519999999552965
FS( 17 ),2098316.959999999962747,2177040.999999999534339,2018822.719999999972060,2048657.360000000102445,2017940.509999999776483,10360778.549999998882413
FS( 18 ),2104532.399999999906868,2165619.000000000000000,2023752.479999999981374,2034395.719999999972060,2017086.199999999720603,10345385.800000000745058
FS( 19 ),2093231.600000000093132,2150770.399999999441206,2037645.440000000176951,2078858.479999999981374,2020788.209999999729916,10381294.129999998956919
FS( 20 ),2094079.160000000149012,2171330.000000000000000,2031371.200000000186265,2075502.799999999813735,2027053.149999999906868,10399336.310000000521541
FS( 21 ),2098599.479999999981374,2159908.000000000000000,2038093.600000000093132,2044462.760000000009313,2016801.429999999701977,10357865.269999999552965
FS( 22 ),2091253.959999999729916,2173614.399999999906868,2023528.399999999906868,2046140.600000000093132,2020503.439999999944121,10355040.799999998882413
FS( 23 ),2092101.519999999785796,2189605.200000000186265,2019494.960000000195578,2048657.360000000102445,2008543.099999999860302,10358402.140000000596046
FS( 24 ),2087016.160000000149012,2194174.000000000000000,2033836.080000000074506,2048657.360000000102445,2107358.290000000037253,10471041.890000000596046
FS( 25 ),2090123.880000000121072,2225013.399999999906868,2038093.600000000093132,2064596.839999999850988,2083152.839999999850988,10500980.560000000521541
FS( 26 ),2108770.199999999720603,2209022.599999999627471,2050642.080000000074506,2067952.519999999785796,2089987.319999999832362,10526374.719999998807907
FS( 27 ),2133914.479999999981374,2260421.599999999627471,2058708.960000000195578,2057046.559999999823049,2088563.469999999972060,10598655.070000000298023
FS( 28 ),2142107.559999999590218,2259279.399999999906868,2099267.439999999944121,2084730.920000000158325,2091126.399999999906868,10676511.719999998807907
FS( 29 ),2132219.359999999869615,2253568.399999999906868,2086718.960000000195578,2080536.320000000065193,2087709.159999999916181,10640752.199999999254942
FS( 30 ),2099729.559999999590218,2254710.599999999627471,2072826.000000000000000,2041107.079999999841675,2085431.000000000000000,10553804.239999998360872
FS( 31 ),2091253.959999999729916,2268416.999999999534339,2067896.239999999990687,2032717.880000000121072,2089417.780000000027940,10549702.859999999403954
FS( 32 ),2109052.720000000204891,2296971.999999999534339,2084702.239999999990687,2055368.719999999972060,2112768.919999999925494,10658864.599999999627471
FS( 33 ),2133631.959999999962747,2327811.399999999906868,2103076.799999999813735,2074663.880000000121072,2116755.700000000186265,10755939.739999998360872
FS( 34 ),2133349.439999999944121,2315247.199999999720603,2084478.159999999916181,2051174.119999999878928,2091126.399999999906868,10675375.320000000298023
FS( 35 ),2152843.319999999832362,2311820.599999999627471,2109351.040000000037253,2076341.719999999972060,2102232.429999999701977,10752589.109999999403954
FS( 36 ),2151995.759999999776483,2279839.000000000000000,2086270.799999999813735,2204696.480000000447035,2073755.429999999701977,10796557.469999998807907
FS( 37 ),2146345.359999999869615,2264990.399999999441206,2088287.520000000018626,2214763.519999999552965,2060656.009999999776483,10775042.809999998658895
FS( 38 ),2147757.959999999962747,2275270.200000000186265,2085598.559999999823049,2153522.360000000335276,2058093.079999999608845,10720242.160000000149012
FS( 39 ),2142390.080000000074506,2244430.799999999813735,2075963.120000000111759,2171139.679999999701977,2045278.429999999701977,10679202.109999999403954
FS( 40 ),2110182.799999999813735,2221586.799999999813735,2056692.239999999990687,2139260.719999999739230,2028761.769999999552965,10556484.329999998211861
FS( 41 ),2129111.640000000130385,2244430.799999999813735,2080668.799999999813735,2164428.320000000298023,2045278.429999999701977,10663917.989999998360872
FS( 42 ),2177422.559999999590218,2323242.599999999627471,2123916.240000000223517,2174495.360000000335276,2074894.509999999776483,10873971.269999999552965
FS( 43 ),2188723.359999999869615,2335806.799999999813735,2121451.359999999869615,2197146.200000000186265,2090841.629999999888241,10933969.349999997764826
FS( 44 ),2194938.799999999813735,2339233.399999999906868,2137136.959999999962747,2218119.200000000186265,2109066.910000000149012,10998495.269999999552965
FS( 45 ),2150865.679999999701977,2317531.599999999627471,2139825.919999999925494,2221474.879999999888241,2080589.909999999916181,10910287.989999998360872
FS( 46 ),2094361.679999999701977,2319815.999999999534339,2140050.000000000000000,2197985.120000000111759,2084291.919999999692664,10836504.720000000670552
FS( 47 ),2168664.439999999944121,2318673.799999999813735,2160441.279999999795109,2200501.879999999888241,2105649.669999999925494,10953931.069999998435378
FS( 48 ),2177987.600000000093132,2334664.600000000093132,2171197.120000000111759,2204696.480000000447035,2120172.939999999478459,11008718.740000000223517
FS( 49 ),2123461.239999999757856,2339233.399999999906868,2157528.240000000223517,2227347.320000000298023,2131563.739999999292195,10979133.939999997615814
FS( 50 ),2162731.520000000018626,2395201.199999999720603,2175454.640000000130385,2231541.919999999925494,2134411.439999999478459,11099340.719999998807907
FS( 51 ),2173749.799999999813735,2396343.399999999906868,2180160.320000000298023,2249998.160000000149012,2151782.410000000149012,11152034.089999999850988
FS( 52 ),2100294.600000000093132,2402054.399999999906868,2187106.799999999813735,2254192.759999999776483,2151497.639999999664724,11095146.199999999254942
FS( 53 ),2126286.439999999944121,2392916.799999999813735,2197862.640000000130385,2243286.799999999813735,2161464.589999999850988,11121817.269999999552965
FS( 54 ),2120071.000000000000000,2400912.199999999720603,2212651.919999999925494,2235736.519999999552965,2173140.160000000149012,11142511.799999998882413
FS( 55 ),2095209.239999999757856,2383779.199999999720603,2225872.640000000130385,2243286.799999999813735,2219842.439999999478459,11167990.319999998435378
FS( 56 ),2098882.000000000000000,2355224.199999999720603,2229457.919999999925494,2227347.320000000298023,2211014.569999999366701,11121926.009999997913837
FS( 57 ),2127981.559999999590218,2400912.199999999720603,2233491.359999999869615,2259226.280000000260770,2223829.219999999739230,11245440.619999997317791
FS( 58 ),2119788.479999999981374,2415760.799999999813735,2254106.720000000204891,2330534.480000000447035,2231233.239999999292195,11351423.719999998807907
FS( 59 ),2090688.919999999925494,2405480.999999999534339,2255451.200000000186265,2286071.719999999739230,2202756.239999999292195,11240449.079999998211861
FS( 60 ),2080800.719999999972060,2373499.399999999906868,2281444.479999999981374,2261743.040000000037253,2215855.660000000149012,11213343.300000000745058
FS( 61 ),2107357.600000000093132,2350655.399999999441206,2258812.399999999906868,2249159.240000000223517,2209305.950000000186265,11175290.589999999850988
FS( 62 ),2087016.160000000149012,2349513.199999999720603,2253210.399999999906868,2267615.480000000447035,2234365.709999999962747,11191720.949999999254942
FS( 63 ),2115268.160000000149012,2379210.399999999441206,2275842.479999999981374,2252514.919999999925494,2275087.819999999366701,11297923.779999997466803
FS( 64 ),2124873.839999999850988,2378068.199999999720603,2258140.159999999683350,2250837.080000000074506,2221266.290000000037253,11233185.570000000298023
FS( 65 ),2144085.199999999720603,2407765.399999999441206,2274273.919999999925494,2260904.120000000111759,2239776.339999999850988,11326804.980000000447035
