代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11754563.500000000000000
真實報酬,1754563.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18352.702106257289415
風險,297693.124841457931325
起點值,0.061649734490951
找到最佳解世代,2464
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](3),HD[9](1),UNH[23](11),
Stock#,AAPL[0](3),HD[9](1),UNH[23](11),
張數,118455,119047,116144,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,9.299999999813735,17.000000000000000,0.200000000186265,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3320302.949999999720603,3372618.509999999776483,3285713.959999999962747,9978636.419999998062849
FS( 3 ),3325041.149999999906868,3324999.709999999962747,3174215.720000000204891,9824257.580000000074506
FS( 4 ),3271736.399999999906868,3342856.759999999776483,3189314.440000000409782,9803908.600000001490116
FS( 5 ),3197109.749999999534339,3359523.339999999850988,3286875.400000000372529,9843509.490000000223517
FS( 6 ),3212508.899999999906868,3294047.490000000223517,3305458.440000000409782,9812015.830000001937151
FS( 7 ),3347547.600000000093132,3279761.850000000093132,3310104.200000000186265,9937414.650000000372529
FS( 8 ),3323856.599999999627471,3332142.529999999795109,3520324.839999999850988,10176324.969999998807907
FS( 9 ),3294242.849999999627471,3391666.029999999795109,3540069.320000000298023,10225979.199999999254942
FS( 10 ),3333333.000000000000000,3436903.890000000130385,3594657.000000000000000,10364894.890000000596046
FS( 11 ),3285950.999999999534339,3454760.939999999944121,3637630.280000000260770,10378343.219999998807907
FS( 12 ),3300165.599999999627471,3447618.120000000111759,3739837.000000000465661,10487621.720000000670552
FS( 13 ),3246860.849999999627471,3428570.600000000093132,3695702.280000000260770,10371134.730000000447035
FS( 14 ),3307272.899999999906868,3410713.549999999813735,3663181.959999999962747,10381169.410000000149012
FS( 15 ),3354654.899999999906868,3447618.120000000111759,3736352.680000000167638,10538626.699999999254942
FS( 16 ),3390191.399999999906868,3486903.629999999888241,3753774.280000000260770,10630870.309999998658895
FS( 17 ),3419805.149999999906868,3452380.000000000000000,3672473.480000000447035,10544659.630000000819564
FS( 18 ),3537075.599999999627471,3472617.990000000223517,3679442.120000000111759,10689136.710000000894070
FS( 19 ),3580903.949999999720603,3473808.459999999962747,3645760.360000000335276,10700473.769999999552965
FS( 20 ),3538260.149999999906868,3484522.689999999944121,3583042.600000000558794,10605826.440000001341105
FS( 21 ),3580903.949999999720603,3467856.109999999869615,3601625.640000000596046,10650386.699999999254942
FS( 22 ),3565504.799999999813735,3444046.709999999962747,3540069.320000000298023,10549621.830000000074506
FS( 23 ),3621178.649999999906868,3413094.490000000223517,3662020.520000000484288,10696294.660000000149012
FS( 24 ),3628285.949999999720603,3438094.359999999869615,3656213.320000000298023,10722594.629999998956919
FS( 25 ),3570243.000000000000000,3426189.660000000149012,3692217.959999999962747,10688651.620000001043081
FS( 26 ),3563135.699999999720603,3466665.640000000130385,3833913.640000000130385,10863715.980000000447035
FS( 27 ),3586826.699999999720603,3449999.060000000055879,3797909.000000000465661,10834735.759999999776483
FS( 28 ),3556028.399999999906868,3352380.520000000018626,3823460.680000000167638,10731870.599999999627471
FS( 29 ),3514569.149999999906868,3330952.060000000055879,3722415.399999999906868,10567937.609999999403954
FS( 30 ),3564320.250000000000000,3348809.109999999869615,3779325.959999999962747,10692456.320000000298023
FS( 31 ),3544182.899999999906868,3369047.100000000093132,3869918.280000000260770,10783149.280000001192093
FS( 32 ),3484955.399999999906868,3401189.790000000037253,3919860.200000000186265,10806006.390000000596046
FS( 33 ),3638946.899999999906868,3438094.359999999869615,4080138.920000000391155,11157181.179999999701977
FS( 34 ),3583273.049999999813735,3411904.020000000018626,4012775.399999999906868,11007953.470000000670552
FS( 35 ),3520491.899999999906868,3390475.560000000055879,3844366.600000000558794,10755335.060000000521541
FS( 36 ),3346363.049999999813735,3299999.839999999850988,3851335.239999999757856,10497699.129999998956919
FS( 37 ),3436388.850000000093132,3288095.140000000130385,3832752.200000000186265,10557237.190000001341105
FS( 38 ),3484955.399999999906868,3301190.310000000055879,3767711.560000000055879,10553858.269999999552965
FS( 39 ),3518122.799999999813735,3314285.479999999981374,3860626.760000000242144,10693036.039999999105930
FS( 40 ),3372423.149999999906868,3254761.979999999981374,3882694.120000000111759,10509880.250000000000000
FS( 41 ),3250414.500000000000000,3334523.470000000204891,3832752.200000000186265,10417691.170000001788139
FS( 42 ),3295427.399999999906868,3379761.330000000074506,3847850.920000000391155,10523040.650000000372529
FS( 43 ),3314380.199999999720603,3455951.410000000149012,3954703.399999999906868,10725036.009999999776483
FS( 44 ),3371238.600000000093132,3389285.089999999850988,3869918.280000000260770,10630442.969999998807907
FS( 45 ),3250414.500000000000000,3324999.709999999962747,3770034.440000000409782,10345449.650000000372529
FS( 46 ),3307272.899999999906868,3330952.060000000055879,3779325.959999999962747,10417551.919999999925494
FS( 47 ),3284766.449999999720603,3403570.729999999981374,3764227.239999999757856,10452565.419999999925494
FS( 48 ),3320302.949999999720603,3436903.890000000130385,3832752.200000000186265,10589960.039999999105930
FS( 49 ),3301350.149999999906868,3410713.549999999813735,3799070.440000000409782,10511135.140000000596046
FS( 50 ),3361762.199999999720603,3451189.529999999795109,3846689.479999999981374,10659642.209999999031425
FS( 51 ),3391375.949999999720603,3452380.000000000000000,3737514.120000000111759,10581271.070000000298023
FS( 52 ),3442311.599999999627471,3504760.680000000167638,3673634.919999999925494,10620708.199999999254942
FS( 53 ),3428097.000000000000000,3573807.939999999944121,3780487.399999999906868,10782393.339999999850988
FS( 54 ),3434019.749999999534339,3607141.100000000093132,3796747.560000000055879,10837909.410000000149012
FS( 55 ),3412697.849999999627471,3589284.049999999813735,3709639.560000000521541,10711622.460000000894070
FS( 56 ),3391375.949999999720603,3609522.040000000037253,3842043.720000000204891,10842942.710000000894070
FS( 57 ),3334517.549999999813735,3660712.250000000000000,3810684.840000000316650,10805915.640000000596046
FS( 58 ),3396114.149999999906868,3733330.919999999925494,3904761.479999999981374,11034207.550000000745058
FS( 59 ),3418620.599999999627471,3733330.919999999925494,3885017.000000000465661,11036969.519999999552965
FS( 60 ),3462448.949999999720603,3714283.399999999906868,3932636.040000000037253,11109369.390000000596046
FS( 61 ),3537075.599999999627471,3741664.209999999962747,3953541.959999999962747,11232282.769999999552965
FS( 62 ),3534706.500000000000000,3733330.919999999925494,3943089.000000000465661,11211127.419999999925494
FS( 63 ),3541813.799999999813735,3746426.089999999850988,3960510.600000000558794,11248751.490000000223517
FS( 64 ),3565504.799999999813735,3742854.680000000167638,3826945.000000000465661,11135305.480000000447035
FS( 65 ),3705281.699999999720603,3785711.600000000093132,3918698.760000000242144,11409693.060000000521541
FS( 66 ),3707650.799999999813735,3804759.120000000111759,3844366.600000000558794,11356777.519999999552965
FS( 67 ),3773985.599999999627471,3771425.959999999962747,3842043.720000000204891,11387456.279999999329448
FS( 68 ),3804783.899999999441206,3774997.370000000111759,3860626.760000000242144,11440409.029999999329448
FS( 69 ),3815444.850000000093132,3824997.110000000335276,3890824.200000000186265,11531267.160000000149012
FS( 70 ),3834397.649999999441206,3863092.150000000372529,3822299.239999999757856,11519790.039999999105930
FS( 71 ),3788200.199999999720603,3891663.429999999701977,3778164.520000000484288,11458029.149999998509884
FS( 72 ),3797676.600000000093132,3874996.849999999627471,3838559.399999999906868,11511233.849999999627471
FS( 73 ),3792938.400000000372529,3871425.440000000409782,3803716.200000000186265,11468081.040000000968575
FS( 74 ),3801230.250000000000000,3857139.799999999813735,3901277.160000000614673,11559648.210000000894070
FS( 75 ),3760955.549999999813735,3852377.919999999925494,3994192.360000000335276,11607526.830000000074506
FS( 76 ),3803599.349999999627471,3889282.490000000223517,3867595.399999999906868,11560478.240000000223517
FS( 77 ),3864011.399999999441206,3879758.730000000447035,3851335.239999999757856,11595106.369999999180436
FS( 78 ),3881779.650000000372529,3847616.040000000037253,3800231.879999999888241,11529628.570000000298023
FS( 79 ),3835582.200000000186265,3883330.139999999664724,3846689.479999999981374,11565602.820000000298023
FS( 80 ),3907839.750000000000000,3898806.250000000000000,3789778.920000000391155,11596425.919999999925494
FS( 81 ),3932715.300000000279397,3880949.200000000186265,3814169.160000000614673,11627834.660000000149012
FS( 82 ),3990758.249999999534339,3891663.429999999701977,3839720.840000000316650,11722143.519999999552965
FS( 83 ),3976543.649999999906868,3851187.450000000186265,3794424.680000000167638,11622156.779999999329448
FS( 84 ),3993127.350000000093132,3854758.860000000335276,3831590.760000000242144,11679477.970000000670552
FS( 85 ),4035771.149999999906868,3888092.019999999552965,3849012.360000000335276,11772876.530000001192093
FS( 86 ),4053539.399999999906868,3874996.849999999627471,3880371.239999999757856,11808908.490000000223517
FS( 87 ),4071307.649999999441206,3882139.669999999925494,3824622.120000000111759,11778070.439999999478459
FS( 88 ),4060646.699999999720603,3924996.589999999850988,3788617.479999999981374,11774261.769999999552965
FS( 89 ),4091444.999999999534339,3958329.750000000000000,3746805.640000000130385,11796581.390000000596046
FS( 90 ),4099736.849999999627471,3985710.559999999590218,3746805.640000000130385,11832254.049999998882413
FS( 91 ),4102105.950000000186265,4088090.980000000447035,3735191.239999999757856,11925389.169999999925494
FS( 92 ),4157779.799999999813735,4164281.059999999590218,3606271.400000000372529,11928333.259999999776483
