代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11888041.359999999403954
真實報酬,1888041.359999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12439.147689482977512
風險,494336.857743138389196
起點值,0.025163302097831
找到最佳解世代,1941
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](1),VZ[26](2),
Stock#,UNH[23](1),VZ[26](2),
張數,165234,182615,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,19.160000000149012,1.299999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4872769.820000000298023,4908692.500000000000000,9781462.320000000298023
FS( 3 ),4957039.160000000149012,4895909.449999999254942,9852948.609999999403954
FS( 4 ),4831461.320000000298023,4782688.150000000372529,9614149.470000000670552
FS( 5 ),4795109.839999999850988,4813732.699999999254942,9608842.539999999105930
FS( 6 ),4937211.080000000074506,4884952.549999999813735,9822163.629999998956919
FS( 7 ),4932254.060000000521541,4848429.549999999813735,9780683.609999999403954
FS( 8 ),5009914.040000000037253,4899561.749999999068677,9909475.789999999105930
FS( 9 ),4986781.280000000260770,4897735.599999999627471,9884516.879999998956919
FS( 10 ),5021480.419999999925494,4868517.200000000186265,9889997.620000001043081
FS( 11 ),5029742.120000000111759,4894083.299999999813735,9923825.419999999925494
FS( 12 ),4986781.280000000260770,4852081.849999999627471,9838863.129999998956919
FS( 13 ),4955386.820000000298023,4868517.200000000186265,9823904.019999999552965
FS( 14 ),4785195.800000000745058,4738860.549999999813735,9524056.350000001490116
FS( 15 ),4742234.959999999962747,4773557.400000000372529,9515792.359999999403954
FS( 16 ),4763715.379999999888241,4693206.799999999813735,9456922.179999999701977
FS( 17 ),4770324.740000000223517,4678597.599999999627471,9448922.339999999850988
FS( 18 ),4757106.019999999552965,4598247.000000000000000,9355353.019999999552965
FS( 19 ),4844680.040000000037253,4709642.149999999441206,9554322.189999999478459
FS( 20 ),4803371.540000000037253,4698685.250000000000000,9502056.789999999105930
FS( 21 ),4788500.480000000447035,4645726.900000000372529,9434227.380000000819564
FS( 22 ),4942168.100000000558794,4709642.149999999441206,9651810.250000000000000
FS( 23 ),5033046.800000000745058,4718772.899999999441206,9751819.699999999254942
FS( 24 ),5013218.719999999739230,4645726.900000000372529,9658945.620000001043081
FS( 25 ),5033046.800000000745058,4623813.099999999627471,9656859.900000000372529
FS( 26 ),5104097.419999999925494,4726077.500000000000000,9830174.919999999925494
FS( 27 ),5044613.180000000633299,4742512.849999999627471,9787126.030000001192093
FS( 28 ),5072702.959999999962747,4839298.799999999813735,9912001.759999999776483
FS( 29 ),5067745.940000000409782,4875821.799999999813735,9943567.740000000223517
FS( 30 ),5054527.219999999739230,4888604.849999999627471,9943132.070000000298023
FS( 31 ),5153667.620000000111759,4970781.599999999627471,10124449.219999998807907
FS( 32 ),5186714.419999999925494,4981738.500000000000000,10168452.919999999925494
FS( 33 ),5204890.160000000149012,4967129.299999999813735,10172019.460000000894070
FS( 34 ),5176800.379999999888241,4972607.750000000000000,10149408.129999998956919
FS( 35 ),5147058.259999999776483,4961650.850000000558794,10108709.109999999403954
FS( 36 ),5062788.919999999925494,4961650.850000000558794,10024439.769999999552965
FS( 37 ),4991738.300000000745058,5007304.600000000558794,9999042.900000002235174
FS( 38 ),4917383.000000000000000,4945215.499999999068677,9862598.500000000000000
FS( 39 ),4937211.080000000074506,4873995.650000000372529,9811206.730000000447035
FS( 40 ),4823199.620000000111759,4901387.899999999441206,9724587.519999999552965
FS( 41 ),4730668.580000000074506,4886778.700000000186265,9617447.280000001192093
FS( 42 ),4692664.759999999776483,4784514.299999999813735,9477179.059999998658895
FS( 43 ),4601786.060000000521541,4802775.799999999813735,9404561.859999999403954
FS( 44 ),4676141.360000000335276,4895909.449999999254942,9572050.809999998658895
FS( 45 ),4773629.419999999925494,4859386.449999999254942,9633015.869999999180436
FS( 46 ),4824851.959999999962747,4842951.099999999627471,9667803.059999998658895
FS( 47 ),4904164.280000000260770,4890431.000000000000000,9794595.280000001192093
FS( 48 ),4952082.139999999664724,4866691.049999999813735,9818773.189999999478459
FS( 49 ),4963648.519999999552965,4837472.649999999441206,9801121.169999998062849
FS( 50 ),4980171.919999999925494,4910518.650000000372529,9890690.570000000298023
FS( 51 ),5009914.040000000037253,4901387.899999999441206,9911301.939999999478459
FS( 52 ),5102445.080000000074506,4894083.299999999813735,9996528.379999998956919
FS( 53 ),5013218.719999999739230,4873995.650000000372529,9887214.370000001043081
FS( 54 ),5092531.040000000037253,4879474.099999999627471,9972005.140000000596046
FS( 55 ),5094183.379999999888241,4870343.350000000558794,9964526.730000000447035
FS( 56 ),5072702.959999999962747,4842951.099999999627471,9915654.059999998658895
FS( 57 ),5122273.160000000149012,4930606.299999999813735,10052879.460000000894070
FS( 58 ),5109054.440000000409782,5116873.599999999627471,10225928.039999999105930
FS( 59 ),5199933.139999999664724,5164353.500000000000000,10364286.640000000596046
FS( 60 ),5085921.680000000633299,5220964.149999999441206,10306885.830000000074506
FS( 61 ),5011566.379999999888241,5279400.950000000186265,10290967.330000000074506
FS( 62 ),5029742.120000000111759,5273922.500000000000000,10303664.620000001043081
FS( 63 ),5031394.459999999962747,5306793.199999999254942,10338187.660000000149012
FS( 64 ),5194976.120000000111759,5398100.699999999254942,10593076.820000000298023
FS( 65 ),5356905.440000000409782,5394448.399999999441206,10751353.839999999850988
FS( 66 ),5437870.099999999627471,5368882.299999999813735,10806752.399999998509884
FS( 67 ),5522139.440000000409782,5396274.549999999813735,10918413.990000000223517
FS( 68 ),5527096.460000000894070,5396274.549999999813735,10923371.010000001639128
FS( 69 ),5533705.820000000298023,5452885.199999999254942,10986591.019999999552965
FS( 70 ),5507268.379999999888241,5482103.599999999627471,10989371.980000000447035
FS( 71 ),5285854.820000000298023,5398100.699999999254942,10683955.519999999552965
FS( 72 ),5308987.580000001005828,5536888.099999999627471,10845875.679999999701977
FS( 73 ),5292464.180000000633299,5483929.750000000000000,10776393.929999999701977
FS( 74 ),5270983.759999999776483,5471146.700000000186265,10742130.460000000894070
FS( 75 ),5345339.060000000521541,5509495.850000000558794,10854834.910000000149012
FS( 76 ),5376733.519999999552965,5505843.549999999813735,10882577.070000000298023
FS( 77 ),5252808.019999999552965,5409057.599999999627471,10661865.619999999180436
FS( 78 ),5223065.900000000372529,5363403.849999999627471,10586469.750000000000000
FS( 79 ),5204890.160000000149012,5370708.450000000186265,10575598.609999999403954
FS( 80 ),5128882.519999999552965,5381665.349999999627471,10510547.869999999180436
FS( 81 ),5280897.800000000745058,5416362.200000000186265,10697260.000000000000000
FS( 82 ),5262722.060000000521541,5387143.799999999813735,10649865.859999999403954
FS( 83 ),5348643.739999999292195,5449232.899999999441206,10797876.639999998733401
FS( 84 ),5272636.100000000558794,5376186.900000000372529,10648823.000000000000000
FS( 85 ),5241241.639999999664724,5392622.250000000000000,10633863.890000000596046
FS( 86 ),5384995.220000000670552,5525931.200000000186265,10910926.420000001788139
FS( 87 ),5429608.400000000372529,5498538.949999999254942,10928147.349999999627471
FS( 88 ),5603104.099999999627471,5514974.299999999813735,11118078.399999998509884
FS( 89 ),5581623.680000000633299,5518626.599999999627471,11100250.280000001192093
FS( 90 ),5593190.060000000521541,5562454.200000000186265,11155644.260000001639128
FS( 91 ),5621279.840000000782311,5631847.899999999441206,11253127.740000000223517
FS( 92 ),5698939.820000000298023,5628195.599999999627471,11327135.419999999925494
FS( 93 ),5736943.639999999664724,5642804.799999999813735,11379748.439999999478459
FS( 94 ),5718767.900000000372529,5644630.950000000186265,11363398.850000001490116
FS( 95 ),5662588.340000000782311,5695763.150000000372529,11358351.490000002086163
FS( 96 ),5657631.320000000298023,5737764.600000000558794,11395395.920000001788139
FS( 97 ),5639455.580000001005828,5785244.500000000000000,11424700.080000001937151
FS( 98 ),5771642.780000000260770,5860116.650000000372529,11631759.429999999701977
FS( 99 ),5826170.000000000000000,5902118.099999999627471,11728288.099999999627471
FS( 100 ),5895568.280000000260770,5914901.150000000372529,11810469.429999999701977
FS( 101 ),5855912.120000000111759,5874725.850000000558794,11730637.970000000670552
FS( 102 ),5903829.979999999515712,5960554.900000000372529,11864384.879999998956919
FS( 103 ),5841041.060000000521541,6000730.199999999254942,11841771.259999999776483
FS( 104 ),5789818.519999999552965,5975164.099999999627471,11764982.619999999180436
FS( 105 ),5816255.960000000894070,5964207.199999999254942,11780463.160000000149012
FS( 106 ),5801384.900000000372529,5951424.150000000372529,11752809.050000000745058
FS( 107 ),5854259.780000000260770,6006208.650000000372529,11860468.429999999701977
FS( 108 ),5707201.519999999552965,6031774.750000000000000,11738976.269999999552965
FS( 109 ),5794775.540000000037253,6130386.849999999627471,11925162.390000000596046
FS( 110 ),5626236.859999999403954,6071950.049999999813735,11698186.910000000149012
FS( 111 ),5674154.720000000670552,6013513.250000000000000,11687667.970000000670552
FS( 112 ),5675807.060000000521541,5995251.749999999068677,11671058.809999998658895
FS( 113 ),5725377.259999999776483,6031774.750000000000000,11757152.009999999776483
FS( 114 ),5786513.840000000782311,5942293.399999999441206,11728807.240000000223517
FS( 115 ),5836084.040000000037253,5882030.450000000186265,11718114.490000000223517
FS( 116 ),5912091.680000000633299,5924031.899999999441206,11836123.580000000074506
FS( 117 ),5945138.479999999515712,5922205.750000000000000,11867344.230000000447035
FS( 118 ),5989751.660000000149012,5951424.150000000372529,11941175.810000000521541
FS( 119 ),5832779.359999999403954,5872899.699999999254942,11705679.059999998658895
FS( 120 ),6069063.979999999515712,5960554.900000000372529,12029618.879999998956919
FS( 121 ),6029407.820000000298023,5938641.100000000558794,11968048.920000001788139
FS( 122 ),6156638.000000000000000,5860116.650000000372529,12016754.650000000372529
FS( 123 ),6206208.200000000186265,5907596.549999999813735,12113804.750000000000000
FS( 124 ),6207860.540000000037253,5934988.799999999813735,12142849.339999999850988
FS( 125 ),5936876.780000000260770,5936814.949999999254942,11873691.730000000447035
FS( 126 ),5989751.660000000149012,5918553.449999999254942,11908305.109999999403954
FS( 127 ),5956704.859999999403954,5931336.499999999068677,11888041.359999999403954
