代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12046800.020000001415610
真實報酬,2046800.020000001415610

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17450.348315941733745
風險,109822.609656594373519
起點值,0.158895771740514
找到最佳解世代,2784
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](3),MMM[16](4),PFE[20](8),UNH[23](1),XOM[29](2),
Stock#,JNJ[12](3),MMM[16](4),PFE[20](8),UNH[23](1),XOM[29](2),
張數,19162,13447,66291,17257,26215,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,62.059999999823049,27.690000000176951,0.529999999795109,86.270000000018626,57.649999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1981604.479999999748543,1988435.580000000307336,1998011.269999999785796,1965313.429999999934807,1955434.500000000000000,9888799.259999999776483
FS( 3 ),1995592.739999999757856,2050964.130000000353903,1966854.500000000000000,1945813.020000000018626,2057410.850000000093132,10016635.240000000223517
FS( 4 ),1990993.859999999869615,2063335.370000000111759,1922439.529999999795109,1970835.670000000158325,2092801.099999999860302,10040405.529999999329448
FS( 5 ),1926609.540000000037253,2063738.780000000260770,1924428.259999999776483,1928038.310000000055879,2099354.850000000093132,9942169.740000000223517
FS( 6 ),1954586.059999999823049,2069520.990000000223517,1893271.489999999757856,1898701.409999999916181,2127667.049999999813735,9943747.000000000000000
FS( 7 ),1954011.199999999720603,2080816.470000000204891,1929068.629999999888241,1918374.389999999897555,2099354.850000000093132,9981625.539999999105930
FS( 8 ),1949412.319999999832362,2050022.840000000083819,1954922.119999999646097,1945640.449999999953434,2080217.899999999674037,9980215.629999998956919
FS( 9 ),1948837.459999999962747,2026087.179999999934807,1931057.359999999636784,1909055.610000000102445,2086771.649999999674037,9901809.259999999776483
FS( 10 ),1951136.899999999674037,2070327.810000000288710,1946304.289999999804422,1929764.010000000009313,2124259.100000000093132,10021792.109999999403954
FS( 11 ),1960717.899999999674037,2091439.600000000093132,1976135.239999999757856,1987229.820000000065193,2129239.949999999720603,10144762.509999999776483
FS( 12 ),1964167.059999999823049,2106096.830000000074506,1964202.859999999636784,2041589.369999999878928,2149687.649999999906868,10225743.769999999552965
FS( 13 ),1997508.939999999711290,2108248.350000000558794,1958899.579999999841675,2026920.920000000158325,2161484.399999999906868,10253062.189999999478459
FS( 14 ),1995975.979999999748543,2103810.839999999850988,1954922.119999999646097,2030890.030000000027940,2162795.149999999906868,10248394.119999999180436
FS( 15 ),2007281.559999999823049,2120619.589999999850988,1992045.079999999841675,2092842.659999999916181,2159911.500000000000000,10372700.390000000596046
FS( 16 ),1994443.019999999785796,2100045.679999999701977,1986078.889999999897555,2090771.820000000065193,2129502.100000000093132,10300841.509999999776483
FS( 17 ),2011305.579999999608845,2114165.030000000260770,1990056.349999999860302,2074377.670000000158325,2137104.449999999720603,10327009.080000000074506
FS( 18 ),2038515.619999999646097,2137966.220000000670552,2027842.219999999739230,2091634.670000000158325,2149949.799999999813735,10445908.530000001192093
