代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12263335.279999999329448
真實報酬,2263335.279999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18027.033528731462866
風險,197455.616139272809960
起點值,0.091296636080568
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),KO[14](11),VZ[26](12),
Stock#,AAPL[0](1),KO[14](11),VZ[26](12),
張數,19234,66693,59122,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,80.799999999813735,16.860000000335276,34.639999999664724,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3455276.559999999590218,3334666.860000000335276,3323873.479999999515712,10113817.899999998509884
FS( 3 ),3511055.159999999683350,3386687.400000000372529,3371762.299999999813735,10269505.859999999403954
FS( 4 ),3562602.279999999795109,3428037.060000000055879,3401914.519999999552965,10392554.859999999403954
FS( 5 ),3657425.899999999906868,3434039.430000000633299,3384177.919999999925494,10475644.250000000000000
FS( 6 ),3704164.520000000018626,3426703.200000000651926,3319734.939999999478459,10450603.660000000149012
FS( 7 ),3747056.339999999850988,3423368.550000000279397,3359937.899999999441206,10530363.789999999105930
FS( 8 ),3735131.259999999776483,3444043.380000000353903,3391272.559999999590218,10570448.199999999254942
FS( 9 ),3734361.899999999906868,3410029.950000000651926,3406644.279999999329448,10551037.129999998956919
FS( 10 ),3707241.959999999962747,3422034.690000000409782,3445664.799999999813735,10574942.449999999254942
FS( 11 ),3729361.059999999590218,3392689.770000000018626,3407235.500000000000000,10529287.330000000074506
FS( 12 ),3817068.099999999627471,3377350.380000000353903,3389498.899999999441206,10583918.379999998956919
FS( 13 ),3805912.379999999888241,3409363.020000000018626,3407235.500000000000000,10622511.900000000372529
FS( 14 ),3836494.439999999944121,3445377.240000000223517,3390090.119999999646097,10671962.799999998882413
FS( 15 ),3823415.319999999832362,3438041.010000000242144,3415512.580000000074506,10676969.910000000149012
FS( 16 ),3819568.520000000018626,3462717.420000000391155,3445073.580000000074506,10727360.519999999552965
FS( 17 ),3761674.179999999701977,3452046.540000000037253,3429110.639999999664724,10642832.359999999403954
FS( 18 ),3843034.000000000000000,3409363.020000000018626,3369397.419999999925494,10621795.439999999478459
FS( 19 ),3841879.959999999962747,3406695.300000000279397,3384769.139999999664724,10633345.399999998509884
FS( 20 ),3806874.079999999608845,3396024.420000000391155,3377674.500000000000000,10580574.000000000000000
FS( 21 ),3876693.500000000000000,3441375.660000000614673,3349887.159999999683350,10667957.320000000298023
FS( 22 ),3899389.619999999646097,3466719.000000000000000,3436796.500000000000000,10802906.119999999180436
FS( 23 ),3931702.739999999757856,3474722.160000000614673,3436796.500000000000000,10843222.400000000372529
FS( 24 ),3928240.619999999646097,3475389.090000000316650,3447438.459999999962747,10851069.169999999925494
FS( 25 ),3847265.479999999981374,3468052.860000000335276,3422607.219999999739230,10737926.559999998658895
FS( 26 ),3870730.959999999962747,3440708.730000000447035,3335106.659999999683350,10646547.349999999627471
FS( 27 ),3909006.619999999646097,3456048.120000000577420,3369988.639999999664724,10735044.379999998956919
FS( 28 ),3880540.299999999813735,3470720.580000000074506,3365258.879999999888241,10716520.759999999776483
FS( 29 ),3910353.000000000000000,3476056.020000000018626,3381221.819999999366701,10767631.839999999850988
FS( 30 ),3947089.939999999944121,3476722.950000000651926,3404279.399999999441206,10828093.289999999105930
FS( 31 ),3933433.799999999813735,3477389.880000000353903,3394228.659999999683350,10805053.339999999850988
FS( 32 ),3911314.699999999720603,3480057.600000000093132,3382995.479999999515712,10774368.779999999329448
FS( 33 ),3955745.239999999757856,3470053.650000000372529,3382404.259999999776483,10808204.150000000372529
FS( 34 ),3896696.859999999869615,3427370.130000000353903,3345748.619999999646097,10669816.609999999403954
FS( 35 ),3985750.279999999795109,3416032.320000000298023,3281305.639999999664724,10683089.239999998360872
FS( 36 ),4016909.359999999869615,3623447.550000000279397,3280123.199999999254942,10920481.109999999403954
FS( 37 ),4013639.579999999608845,3586766.400000000372529,3309092.979999999515712,10909499.960000000894070
FS( 38 ),3981903.479999999981374,3539414.370000000577420,3332150.559999999590218,10853469.410000000149012
FS( 39 ),3995751.959999999962747,3612776.670000000391155,3374718.399999999441206,10983248.030000001192093
FS( 40 ),4033065.919999999925494,3600771.930000000633299,3391863.779999999329448,11025702.629999998956919
FS( 41 ),4015755.319999999832362,3582764.820000000298023,3348113.500000000000000,10946634.640000000596046
FS( 42 ),4097692.159999999683350,3510069.450000000651926,3267707.580000000074506,10875470.190000001341105
FS( 43 ),4009023.419999999925494,3470053.650000000372529,3267116.359999999403954,10746194.429999999701977
FS( 44 ),3924201.479999999981374,3490061.550000000279397,3286626.619999999646097,10700890.650000000372529
FS( 45 ),3718782.359999999869615,3444710.310000000055879,3264751.479999999515712,10428245.149999998509884
FS( 46 ),3789178.799999999813735,3486059.970000000670552,3254700.739999999292195,10529940.509999999776483
FS( 47 ),3828416.159999999683350,3546750.600000000093132,3257065.619999999646097,10632233.379999998956919
FS( 48 ),3912853.419999999925494,3580764.030000000260770,3300224.679999999701977,10793843.129999998956919
FS( 49 ),3865922.459999999962747,3562756.920000000391155,3297859.799999999813735,10726540.179999999701977
