代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11088352.959999999031425
真實報酬,1088352.959999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17244.560133701979794
風險,135224.591282847628463
起點值,0.127525326348606
找到最佳解世代,2666
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
V[25](1),
Stock#,V[25](1),
張數,292568,
分配資金,10000000.000000000000000,
剩餘資金,25.759999999776483,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9947337.759999999776483,9947337.759999999776483
FS( 3 ),10131655.599999999627471,10131655.599999999627471
FS( 4 ),10216500.320000000298023,10216500.320000000298023
FS( 5 ),10260385.519999999552965,10260385.519999999552965
FS( 6 ),10146284.000000000000000,10146284.000000000000000
FS( 7 ),10002925.679999999701977,10002925.679999999701977
FS( 8 ),10049736.560000000521541,10049736.560000000521541
FS( 9 ),10169689.439999999478459,10169689.439999999478459
FS( 10 ),10175540.800000000745058,10175540.800000000745058
FS( 11 ),10231128.719999998807907,10231128.719999998807907
FS( 12 ),10324750.480000000447035,10324750.480000000447035
FS( 13 ),10427149.279999999329448,10427149.279999999329448
FS( 14 ),10377412.719999998807907,10377412.719999998807907
FS( 15 ),10236980.080000000074506,10236980.080000000074506
FS( 16 ),10166763.759999999776483,10166763.759999999776483
FS( 17 ),9994148.639999998733401,9994148.639999998733401
FS( 18 ),9982445.919999999925494,9982445.919999999925494
FS( 19 ),10061439.279999999329448,10061439.279999999329448
FS( 20 ),10117027.199999999254942,10117027.199999999254942
FS( 21 ),10149209.679999999701977,10149209.679999999701977
FS( 22 ),10523696.719999998807907,10523696.719999998807907
FS( 23 ),10488588.560000000521541,10488588.560000000521541
FS( 24 ),10351081.599999999627471,10351081.599999999627471
FS( 25 ),10523696.719999998807907,10523696.719999998807907
FS( 26 ),10427149.279999999329448,10427149.279999999329448
FS( 27 ),10392041.120000001043081,10392041.120000001043081
FS( 28 ),10453480.399999998509884,10453480.399999998509884
FS( 29 ),10476885.839999999850988,10476885.839999999850988
FS( 30 ),10418372.240000000223517,10418372.240000000223517
FS( 31 ),10236980.080000000074506,10236980.080000000074506
FS( 32 ),10239905.759999999776483,10239905.759999999776483
FS( 33 ),10438852.000000000000000,10438852.000000000000000
FS( 34 ),10652426.639999998733401,10652426.639999998733401
FS( 35 ),10705088.880000000819564,10705088.880000000819564
FS( 36 ),10728494.320000000298023,10728494.320000000298023
FS( 37 ),10833818.800000000745058,10833818.800000000745058
FS( 38 ),10769453.839999999850988,10769453.839999999850988
FS( 39 ),10737271.360000001266599,10737271.360000001266599
FS( 40 ),10772379.519999999552965,10772379.519999999552965
FS( 41 ),10839670.159999998286366,10839670.159999998286366
FS( 42 ),10950846.000000000000000,10950846.000000000000000
FS( 43 ),10871852.639999998733401,10871852.639999998733401
FS( 44 ),10795784.959999999031425,10795784.959999999031425
FS( 45 ),10830893.120000001043081,10830893.120000001043081
FS( 46 ),10860149.919999999925494,10860149.919999999925494
FS( 47 ),10866001.279999999329448,10866001.279999999329448
FS( 48 ),10874778.320000000298023,10874778.320000000298023
FS( 49 ),10892332.399999998509884,10892332.399999998509884
FS( 50 ),10816264.719999998807907,10816264.719999998807907
FS( 51 ),10766528.159999998286366,10766528.159999998286366
FS( 52 ),10740197.039999999105930,10740197.039999999105930
FS( 53 ),10906960.800000000745058,10906960.800000000745058
FS( 54 ),11023988.000000000000000,11023988.000000000000000
FS( 55 ),10909886.480000000447035,10909886.480000000447035
FS( 56 ),11152717.919999999925494,11152717.919999999925494
FS( 57 ),11026913.679999999701977,11026913.679999999701977
FS( 58 ),11059096.159999998286366,11059096.159999998286366
FS( 59 ),10953771.679999999701977,10953771.679999999701977
FS( 60 ),10927440.560000000521541,10927440.560000000521541
FS( 61 ),10871852.639999998733401,10871852.639999998733401
FS( 62 ),11088352.959999999031425,11088352.959999999031425
