代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11981368.820000000298023
真實報酬,1981368.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34149.919356216465530
風險,92721.080003037932329
起點值,0.368308041225335
找到最佳解世代,2143
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
MSFT[18](2),V[25](1),VZ[26](22),
Stock#,MSFT[18](2),V[25](1),VZ[26](22),
張數,133976,192901,118793,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,10.120000000111759,3.719999999739230,1.419999999925494,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3344051.080000000074506,3269675.669999999459833,3320265.770000000018626,9933993.519999999552965
FS( 3 ),3301178.760000000242144,3287036.759999999776483,3327393.350000000093132,9915609.869999999180436
FS( 4 ),3364147.479999999981374,3292823.789999999571592,3351151.950000000186265,10008124.219999998807907
FS( 5 ),3362807.720000000204891,3418209.439999999478459,3263245.129999999888241,10044263.289999999105930
FS( 6 ),3439174.040000000502914,3458718.649999999906868,3238298.600000000093132,10136192.290000000968575
FS( 7 ),3423096.920000000391155,3518517.959999999497086,3238298.600000000093132,10179914.480000000447035
FS( 8 ),3445872.839999999850988,3555169.149999999906868,3220479.649999999906868,10221522.640000000596046
FS( 9 ),3457930.680000000167638,3601465.390000000130385,3222855.509999999776483,10282252.580000000074506
FS( 10 ),3478027.080000000074506,3607252.419999999459833,3214540.000000000000000,10299820.500000000000000
FS( 11 ),3578509.080000000074506,3620755.489999999757856,3233546.879999999888241,10432812.449999999254942
FS( 12 ),3550374.120000000111759,3582175.289999999571592,3209788.279999999795109,10342338.689999999478459
FS( 13 ),3531617.479999999981374,3614968.459999999497086,3216915.859999999869615,10363502.799999998882413
FS( 14 ),3532957.240000000223517,3618826.479999999981374,3199096.909999999683350,10350881.630000000819564
FS( 15 ),3561092.199999999720603,3626542.520000000018626,3224043.439999999944121,10411679.160000000149012
FS( 16 ),3562431.959999999962747,3649690.640000000130385,3222855.509999999776483,10434979.109999999403954
FS( 17 ),3754017.640000000130385,3574459.250000000000000,3203848.629999999888241,10532326.519999999552965
FS( 18 ),3842441.800000000279397,3510801.919999999459833,3181277.959999999962747,10534522.679999999701977
FS( 19 ),3830383.959999999962747,3564814.199999999720603,3243050.319999999832362,10638249.480000000447035
FS( 20 ),3754017.640000000130385,3692128.859999999869615,3326205.419999999925494,10772352.919999999925494
FS( 21 ),3780812.839999999850988,3726851.039999999571592,3336896.790000000037253,10844561.669999998062849
FS( 22 ),3715164.600000000093132,3653548.660000000149012,3285815.799999999813735,10654530.059999998658895
FS( 23 ),3735261.000000000000000,3726851.039999999571592,3266808.919999999925494,10728921.959999999031425
FS( 24 ),3688369.400000000372529,3744212.129999999888241,3228795.159999999683350,10661377.689999999478459
FS( 25 ),3759376.680000000167638,3777005.299999999348074,3232358.950000000186265,10768741.929999999701977
FS( 26 ),3814306.839999999850988,3838733.619999999646097,3254929.619999999646097,10907971.079999998211861
FS( 27 ),3821005.640000000130385,3842591.640000000130385,3283439.939999999944121,10947038.220000000670552
FS( 28 ),3883974.359999999869615,3913965.009999999776483,3351151.950000000186265,11149092.320000000298023
FS( 29 ),3886653.880000000353903,3910106.989999999757856,3366595.040000000037253,11163356.910000000149012
FS( 30 ),3901391.240000000223517,3896603.919999999459833,3371346.759999999776483,11169342.919999999925494
FS( 31 ),3933545.479999999981374,3854165.699999999720603,3349964.020000000018626,11137676.199999999254942
FS( 32 ),3969719.000000000000000,3858023.719999999739230,3346400.229999999981374,11174143.949999999254942
FS( 33 ),3957661.160000000149012,3836804.609999999869615,3368970.899999999906868,11163437.669999999925494
FS( 34 ),4019290.120000000111759,3885029.859999999869615,3404608.799999999813735,11308929.780000001192093
FS( 35 ),4034027.479999999981374,3877313.819999999832362,3405796.729999999981374,11317139.029999999329448
FS( 36 ),3989815.400000000372529,3867668.770000000018626,3389165.709999999962747,11246650.879999998956919
FS( 37 ),3968379.240000000223517,3858023.719999999739230,3379662.270000000018626,11206066.230000000447035
FS( 38 ),4011251.560000000055879,3879242.829999999608845,3479448.389999999664724,11369943.779999999329448
FS( 39 ),4007232.280000000260770,3888887.879999999888241,3540032.819999999832362,11436153.980000000447035
FS( 40 ),3991155.160000000149012,3944829.169999999459833,3557851.770000000018626,11493837.099999999627471
FS( 41 ),3914788.839999999850988,3873455.799999999348074,3512710.430000000167638,11300956.069999998435378
FS( 42 ),3940244.280000000260770,3906248.969999999739230,3493703.549999999813735,11340197.800000000745058
FS( 43 ),4020629.880000000353903,4000770.459999999497086,3592301.739999999757856,11613703.080000000074506
FS( 44 ),3989815.400000000372529,3966048.279999999329448,3626751.709999999962747,11582616.390000000596046
FS( 45 ),3996514.199999999720603,3859952.729999999981374,3630315.500000000000000,11486783.429999999701977
FS( 46 ),4016610.600000000093132,3871526.789999999571592,3631503.430000000167638,11519641.820000000298023
FS( 47 ),3991155.160000000149012,3854165.699999999720603,3693275.790000000037253,11538597.649999998509884
FS( 48 ),3961680.439999999944121,3858023.719999999739230,3708718.879999999888241,11528424.039999999105930
