代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10749613.960000000894070
真實報酬,749613.960000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12182.668583145868979
風險,48802.365099845846999
起點值,0.249632749523944
找到最佳解世代,2537
找到最佳解實驗#,2
找到最佳解次數,17

stock[index](rank)
投資組合檔數,7
AXP[1](17),CAT[3](1),HD[9](19),MCD[15](9),PG[21](4),UNH[23](5),V[25](2),
Stock#,AXP[1](17),CAT[3](1),HD[9](19),MCD[15](9),PG[21](4),UNH[23](5),V[25](2),
張數,16786,13354,9275,9367,16281,7653,15303,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,82.400000000139698,93.620000000111759,128.250000000000000,103.500000000000000,76.060000000055879,138.550000000046566,35.950000000186265,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1425045.940000000176951,1435515.080000000074506,1416328.000000000000000,1433910.189999999944121,1427431.330000000074506,1440815.800000000046566,1438670.980000000214204,10017720.320000002160668
FS( 3 ),1405742.040000000037253,1422428.160000000149012,1410392.000000000000000,1434097.530000000027940,1422547.030000000027940,1430790.370000000111759,1427040.700000000186265,9953040.830000001937151
FS( 4 ),1415645.780000000027940,1427903.300000000046566,1412061.500000000000000,1463884.590000000083819,1427105.710000000195578,1438596.430000000167638,1437293.710000000195578,10022494.020000001415610
FS( 5 ),1415142.200000000186265,1440188.980000000214204,1402322.750000000000000,1456859.340000000083819,1417988.350000000093132,1430866.899999999906868,1455198.220000000204891,10018569.740000002086163
FS( 6 ),1412792.160000000149012,1445530.580000000074506,1396943.250000000000000,1451145.469999999972060,1412778.429999999934807,1423213.899999999906868,1460095.180000000167638,10002501.969999998807907
FS( 7 ),1423870.919999999925494,1455145.459999999962747,1415400.500000000000000,1466788.360000000102445,1415871.820000000065193,1428877.120000000111759,1471878.490000000223517,10077835.669999999925494
FS( 8 ),1433103.220000000204891,1448602.000000000000000,1421893.000000000000000,1452363.179999999934807,1411638.760000000009313,1419616.989999999990687,1468205.770000000251457,10055425.919999999925494
FS( 9 ),1431592.480000000214204,1452608.199999999953434,1418090.250000000000000,1454611.260000000009313,1418151.159999999916181,1430484.250000000000000,1483355.740000000223517,10088896.339999999850988
FS( 10 ),1430585.320000000065193,1453542.980000000214204,1427457.999999999767169,1454423.919999999925494,1425477.610000000102445,1426275.100000000093132,1481825.440000000176951,10099591.369999999180436
FS( 11 ),1435621.120000000111759,1429906.399999999906868,1411505.000000000000000,1442246.820000000065193,1443223.900000000139698,1430101.600000000093132,1493302.690000000176951,10085910.529999999329448
FS( 12 ),1442503.380000000353903,1440322.520000000018626,1421985.750000000000000,1441591.129999999888241,1438502.409999999916181,1448009.620000000111759,1503555.700000000186265,10136473.510000001639128
FS( 13 ),1432767.500000000000000,1433244.899999999906868,1363831.500000000000000,1444588.570000000065193,1442572.659999999916181,1465688.050000000046566,1501413.280000000260770,10084109.460000000894070
FS( 14 ),1436796.140000000130385,1423496.480000000214204,1360307.000000000000000,1441872.139999999897555,1442735.469999999972060,1467830.890000000130385,1524214.750000000000000,10097255.869999999180436
FS( 15 ),1426892.400000000139698,1444729.340000000316650,1341107.750000000000000,1422482.449999999953434,1435734.640000000130385,1461019.719999999972060,1535998.060000000288710,10067967.360000001266599
FS( 16 ),1433774.660000000149012,1529660.780000000260770,1363275.000000000000000,1490112.189999999944121,1451364.400000000139698,1457269.750000000000000,1530182.920000000158325,10255642.700000001117587
FS( 17 ),1431928.200000000186265,1516039.699999999953434,1360678.000000000000000,1466132.669999999925494,1453969.360000000102445,1459948.300000000046566,1543343.500000000000000,10232042.730000000447035
FS( 18 ),1407588.500000000000000,1527390.600000000093132,1370324.000000000000000,1470254.149999999906868,1476437.140000000130385,1446019.840000000083819,1523755.660000000149012,10221772.890000000596046
FS( 19 ),1423535.200000000186265,1523785.020000000018626,1373570.250000000000000,1459950.449999999953434,1468785.070000000065193,1463009.500000000000000,1517328.400000000372529,10229966.890000002458692
FS( 20 ),1430753.180000000167638,1521781.920000000158325,1387668.250000000000000,1453299.879999999888241,1478716.479999999981374,1468060.479999999981374,1523602.630000000121072,10263885.820000002160668
FS( 21 ),1430921.040000000037253,1510431.020000000018626,1389987.000000000000000,1442996.179999999934807,1483275.159999999916181,1471274.739999999990687,1543649.560000000288710,10272537.700000001117587
FS( 22 ),1431928.200000000186265,1510297.480000000214204,1396015.750000000000000,1466882.030000000027940,1482298.300000000046566,1477167.550000000046566,1549923.790000000270084,10314516.100000001490116
FS( 23 ),1435956.840000000316650,1516573.860000000102445,1398705.500000000000000,1449365.739999999990687,1479367.719999999972060,1490713.360000000102445,1539364.720000000204891,10310050.740000000223517
