代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12375897.359999999403954
真實報酬,2375897.359999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,39417.172227807459421
風險,179847.437280055251904
起點值,0.219170052261727
找到最佳解世代,2160
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),GS[8](1),MSFT[18](10),PFE[20](22),
Stock#,AAPL[0](2),GS[8](1),MSFT[18](10),PFE[20](22),
張數,160978,22667,129466,178699,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,11.660000000149012,56.569999999832362,11.540000000037253,0.989999999757856,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2591757.460000000428408,2589081.309999999590218,2497410.679999999701977,2460686.219999999739230,10138935.669999998062849
FS( 3 ),2667417.120000000111759,2706496.370000000111759,2427499.040000000037253,2421372.439999999944121,10222784.970000000670552
FS( 4 ),2723759.420000000391155,2644162.120000000111759,2428793.700000000186265,2449964.279999999795109,10246679.520000001415610
FS( 5 ),2644880.200000000186265,2631241.929999999701977,2428793.700000000186265,2414224.479999999515712,10119140.309999998658895
FS( 6 ),2675466.020000000484288,2601094.819999999832362,2484464.080000000074506,2408863.509999999776483,10169888.429999999701977
FS( 7 ),2749515.899999999906868,2818244.679999999701977,2546607.760000000242144,2421372.439999999944121,10535740.779999999329448
FS( 8 ),2764003.920000000391155,2950166.620000000111759,2536250.479999999981374,2408863.509999999776483,10659284.530000001192093
FS( 9 ),2720539.859999999869615,2609254.939999999944121,2505178.640000000130385,2383845.649999999906868,10218819.089999999850988
FS( 10 ),2706051.839999999850988,2747070.299999999813735,2437856.319999999832362,2476769.129999999888241,10367747.589999999850988
FS( 11 ),2792979.960000000428408,2747070.299999999813735,2558259.700000000186265,2483917.089999999850988,10582227.050000000745058
FS( 12 ),2838053.799999999813735,2733696.769999999552965,2485758.739999999757856,2530378.829999999608845,10587888.139999998733401
FS( 13 ),2770443.040000000502914,2606988.239999999757856,2409373.799999999813735,2428520.399999999906868,10215325.480000000447035
FS( 14 ),2799419.080000000074506,2728256.689999999944121,2455981.560000000055879,2416011.469999999739230,10399668.800000000745058
FS( 15 ),2794589.740000000223517,2731203.399999999906868,2431383.020000000018626,2330235.949999999720603,10287412.109999999403954
FS( 16 ),2883127.640000000130385,2783790.839999999850988,2449508.260000000242144,2373123.709999999497086,10489550.449999999254942
FS( 17 ),2849322.260000000242144,2749563.669999999925494,2707145.600000000093132,2353466.819999999832362,10659498.349999999627471
FS( 18 ),2868639.620000000111759,2740496.870000000111759,2641117.939999999944121,2410650.500000000000000,10660904.929999999701977
FS( 19 ),2849322.260000000242144,2735283.459999999962747,2580268.919999999925494,2392780.599999999627471,10557655.240000000223517
FS( 20 ),2878298.299999999813735,2882845.629999999888241,2621698.040000000037253,2399928.559999999590218,10782770.529999999329448
FS( 21 ),2894396.100000000093132,2912766.069999999832362,2622992.700000000186265,2387419.629999999888241,10817574.500000000000000
FS( 22 ),2926591.700000000186265,2880578.929999999701977,2620403.379999999888241,2426733.409999999683350,10854307.419999999925494
FS( 23 ),3037666.520000000484288,3041061.289999999571592,2613930.080000000074506,2498213.009999999776483,11190870.900000000372529
FS( 24 ),3052154.540000000502914,3064634.969999999739230,2562143.679999999701977,2551822.709999999497086,11230755.899999998509884
FS( 25 ),3047325.200000000186265,3155756.309999999590218,2562143.679999999701977,2485704.079999999608845,11250929.269999999552965
FS( 26 ),2968445.980000000447035,3031314.479999999515712,2501294.660000000149012,2530378.829999999608845,11031433.950000001117587
FS( 27 ),2971665.540000000502914,3164143.100000000093132,2514241.260000000242144,2573266.589999999850988,11223316.490000000223517
FS( 28 ),2979714.440000000409782,3077781.830000000074506,2501294.660000000149012,2528591.839999999850988,11087382.769999999552965
