代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14051204.599999999627471
真實報酬,4051204.599999999627471

夏普值報酬,0.396420460000000
夏普值風險,0.113414154636750
夏普值,3.495334962991879

二次趨勢線,-0.637302832928246 x^2 + 18092.445676968542102 x + 10000000.000000000000000
二次加權預期報酬,17878.736793659933028
風險,403766.970134950999636
二次加權趨勢值,0.044279839897960
一次趨勢線,17972.234905233752215 x + 10000000.000000000000000
一次預期報酬,17972.234905233752215
一次風險,403792.171803414996248
一次趨勢值,0.044508626368278
找到最佳解世代,2333
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),MCD[15](2),
Stock#,AAPL[0](1),MCD[15](2),
張數,210260,90694,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,17.200000000186265,39.779999999329448,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4972666.200000000186265,4989116.719999998807907,9961782.919999998062849
FS( 3 ),4960050.600000000558794,4996372.239999999292195,9956422.839999999850988
FS( 4 ),4924306.400000000372529,4973698.739999999292195,9898005.140000000596046
FS( 5 ),4970563.600000000558794,5006348.579999999143183,9976912.179999999701977
FS( 6 ),4947435.000000000000000,5103391.159999999217689,10050826.160000000149012
FS( 7 ),4890664.800000000745058,5080717.659999999217689,9971382.460000000894070
FS( 8 ),4966358.400000000372529,5102484.219999998807907,10068842.619999999180436
FS( 9 ),5058872.799999999813735,5058951.099999999627471,10117823.899999998509884
FS( 10 ),5010513.000000000000000,5012697.159999999217689,10023210.160000000149012
FS( 11 ),4793945.200000000186265,4942862.779999999329448,9736807.980000000447035
FS( 12 ),4926409.000000000000000,5011790.219999998807907,9938199.219999998807907
FS( 13 ),4943229.800000000745058,5047160.879999998956919,9990390.679999999701977
FS( 14 ),4995794.800000000745058,5091600.939999999478459,10087395.740000000223517
FS( 15 ),5082001.400000000372529,5103391.159999999217689,10185392.559999998658895
FS( 16 ),5077796.200000000186265,5070741.319999999366701,10148537.519999999552965
FS( 17 ),5088309.200000000186265,5119716.079999999143183,10208025.279999999329448
FS( 18 ),5029436.400000000372529,5169597.779999999329448,10199034.179999999701977
FS( 19 ),5090411.800000000745058,5184108.819999999366701,10274520.620000001043081
FS( 20 ),5107232.599999999627471,5085252.359999999403954,10192484.959999999031425
FS( 21 ),5052565.000000000000000,5100670.339999999850988,10153235.339999999850988
FS( 22 ),4964255.799999999813735,5046253.939999999478459,10010509.739999998360872
FS( 23 ),4962153.200000000186265,5021766.559999998658895,9983919.759999997913837
FS( 24 ),5002102.599999999627471,5039905.359999999403954,10042007.959999999031425
FS( 25 ),5115643.000000000000000,5091600.939999999478459,10207243.939999999478459
FS( 26 ),5193439.200000000186265,5098856.459999999031425,10292295.660000000149012
FS( 27 ),5140874.200000000186265,4996372.239999999292195,10137246.439999999478459
FS( 28 ),5182926.200000000186265,4974605.679999999701977,10157531.879999998956919
FS( 29 ),5170310.600000000558794,4932886.439999999478459,10103197.039999999105930
FS( 30 ),5218670.400000000372529,4918375.399999999441206,10137045.800000000745058
FS( 31 ),5260722.400000000372529,4986395.899999999441206,10247118.300000000745058
FS( 32 ),5462572.000000000000000,5121529.959999999031425,10584101.959999999031425
FS( 33 ),5542470.799999999813735,5120623.019999999552965,10663093.820000000298023
FS( 34 ),5557189.000000000000000,5169597.779999999329448,10726786.779999999329448
FS( 35 ),5527752.599999999627471,5091600.939999999478459,10619353.539999999105930
FS( 36 ),5540368.200000000186265,5061671.919999999925494,10602040.120000001043081
FS( 37 ),5571907.200000000186265,5037184.539999999105930,10609091.739999998360872
FS( 38 ),5521444.800000000745058,5089787.059999998658895,10611231.859999999403954
FS( 39 ),5477290.200000000186265,5165063.079999999143183,10642353.279999999329448
FS( 40 ),5590830.600000000558794,5185015.759999999776483,10775846.359999999403954
FS( 41 ),5567702.000000000000000,5185015.759999999776483,10752717.759999999776483
FS( 42 ),5567702.000000000000000,5175946.359999999403954,10743648.359999999403954
FS( 43 ),5433135.600000000558794,5146017.339999999850988,10579152.940000001341105
FS( 44 ),5552983.799999999813735,5143296.519999999552965,10696280.320000000298023
FS( 45 ),5586625.400000000372529,5134227.119999999180436,10720852.519999999552965
FS( 46 ),5706473.600000000558794,5209503.139999998733401,10915976.739999998360872
FS( 47 ),5714884.000000000000000,5182294.939999999478459,10897178.939999999478459
FS( 48 ),5685447.599999999627471,5157807.559999998658895,10843255.159999998286366
FS( 49 ),5721191.800000000745058,5142389.579999999143183,10863581.379999998956919
FS( 50 ),5731704.800000000745058,5140575.699999999254942,10872280.500000000000000
FS( 51 ),5708576.200000000186265,5174132.479999999515712,10882708.679999999701977
FS( 52 ),5746423.000000000000000,5214944.779999999329448,10961367.779999999329448
FS( 53 ),5723294.400000000372529,5278430.579999999143183,11001724.980000000447035
FS( 54 ),5647600.799999999813735,5331033.099999999627471,10978633.899999998509884
FS( 55 ),5702268.400000000372529,5376380.099999999627471,11078648.500000000000000
FS( 56 ),5969298.600000000558794,5343730.259999999776483,11313028.859999999403954
FS( 57 ),6154327.400000000372529,5290220.799999998882413,11444548.199999999254942
FS( 58 ),6162737.799999999813735,5396332.779999999329448,11559070.579999998211861
FS( 59 ),6124891.000000000000000,5389984.199999999254942,11514875.199999999254942
FS( 60 ),6082839.000000000000000,5369124.579999999143183,11451963.579999998211861
FS( 61 ),5929349.200000000186265,5352799.659999999217689,11282148.859999999403954
FS( 62 ),5780064.599999999627471,5318335.939999999478459,11098400.539999999105930
FS( 63 ),5897810.200000000186265,5363682.939999999478459,11261493.140000000596046
FS( 64 ),5662319.000000000000000,5315615.119999999180436,10977934.119999999180436
FS( 65 ),5685447.599999999627471,5365496.819999999366701,11050944.419999998062849
FS( 66 ),5668626.800000000745058,5372752.339999999850988,11041379.140000000596046
FS( 67 ),5731704.800000000745058,5467981.039999999105930,11199685.839999999850988
FS( 68 ),5828424.400000000372529,5575906.899999999441206,11404331.300000000745058
FS( 69 ),5836834.800000000745058,5597673.459999999031425,11434508.259999999776483
FS( 70 ),6051300.000000000000000,5681111.939999999478459,11732411.939999999478459
