代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14020966.049999998882413
真實報酬,4020966.049999998882413

夏普值報酬,0.393396605000000
夏普值風險,0.099099326984262
夏普值,3.969720249083776

二次趨勢線,62.647523106893388 x^2 + -1165.844106234188985 x + 10000000.000000000000000
二次加權預期報酬,19841.958642277408217
風險,337163.655622122867499
二次加權趨勢值,0.058849636701399
一次趨勢線,10650.998234393679013 x + 10000000.000000000000000
一次預期報酬,10650.998234393679013
一次風險,557082.588332123006694
一次趨勢值,0.019119244538377
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
Stock#,NKE[19](1),
張數,213995,
分配資金,10000000.000000000000000,
剩餘資金,13.650000000372529,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10053498.750000000000000,10053498.750000000000000
FS( 3 ),10130536.950000001117587,10130536.950000001117587
FS( 4 ),10121977.150000000372529,10121977.150000000372529
FS( 5 ),10034239.200000001117587,10034239.200000001117587
FS( 6 ),10160496.250000000000000,10160496.250000000000000
FS( 7 ),10151936.449999999254942,10151936.449999999254942
FS( 8 ),10252514.099999999627471,10252514.099999999627471
FS( 9 ),10284613.350000001490116,10284613.350000001490116
FS( 10 ),10218274.900000000372529,10218274.900000000372529
FS( 11 ),10278193.500000000000000,10278193.500000000000000
FS( 12 ),10323132.450000001117587,10323132.450000001117587
FS( 13 ),10374491.250000000000000,10374491.250000000000000
FS( 14 ),10410870.400000000372529,10410870.400000000372529
FS( 15 ),10423710.099999999627471,10423710.099999999627471
FS( 16 ),10481488.750000000000000,10481488.750000000000000
FS( 17 ),10410870.400000000372529,10410870.400000000372529
FS( 18 ),10464369.150000000372529,10464369.150000000372529
FS( 19 ),10624865.400000000372529,10624865.400000000372529
FS( 20 ),10453669.400000000372529,10453669.400000000372529
FS( 21 ),10490048.550000000745058,10490048.550000000745058
FS( 22 ),10539267.400000000372529,10539267.400000000372529
FS( 23 ),10599186.000000000000000,10599186.000000000000000
FS( 24 ),10629145.300000000745058,10629145.300000000745058
FS( 25 ),10455809.349999999627471,10455809.349999999627471
FS( 26 ),10383051.050000000745058,10383051.050000000745058
FS( 27 ),10449389.500000000000000,10449389.500000000000000
FS( 28 ),10372351.300000000745058,10372351.300000000745058
FS( 29 ),10291033.200000001117587,10291033.200000001117587
FS( 30 ),10211855.050000000745058,10211855.050000000745058
FS( 31 ),9974320.599999999627471,9974320.599999999627471
FS( 32 ),10111277.400000000372529,10111277.400000000372529
FS( 33 ),10387330.950000001117587,10387330.950000001117587
FS( 34 ),10147656.550000000745058,10147656.550000000745058
FS( 35 ),10265353.800000000745058,10265353.800000000745058
FS( 36 ),10269633.700000001117587,10269633.700000001117587
FS( 37 ),10303872.900000000372529,10303872.900000000372529
FS( 38 ),10361651.550000000745058,10361651.550000000745058
FS( 39 ),10410870.400000000372529,10410870.400000000372529
FS( 40 ),10365931.449999999254942,10365931.449999999254942
FS( 41 ),10288893.250000000000000,10288893.250000000000000
