代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12035381.899999998509884
真實報酬,2035381.899999998509884

夏普值報酬,0.194838190000000
夏普值風險,0.070799085099359
夏普值,2.751987398234934

二次趨勢線,39.486132326391328 x^2 + -169.948911399131418 x + 10000000.000000000000000
二次加權預期報酬,13176.363814921141966
風險,166747.337927798216697
二次加權趨勢值,0.079019935062631
一次趨勢線,7337.322791436829903 x + 10000000.000000000000000
一次預期報酬,7337.322791436829903
一次風險,329310.491327750030905
一次趨勢值,0.022280865580241
找到最佳解世代,1692
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](1),MRK[17](3),WMT[28](4),
Stock#,JNJ[12](1),MRK[17](3),WMT[28](4),
張數,36196,63455,52230,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,43.359999999869615,41.850000000093132,14.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3378939.959999999497086,3361887.750000000000000,3365715.599999999627471,10106544.309999998658895
FS( 3 ),3353240.799999999813735,3340947.600000000093132,3387652.199999999720603,10081841.599999999627471
FS( 4 ),3305100.120000000111759,3273685.300000000279397,3336989.100000000093132,9915775.519999999552965
FS( 5 ),3400295.599999999627471,3343485.799999999813735,3467041.799999999813735,10210824.199999999254942
FS( 6 ),3338038.479999999981374,3295260.000000000000000,3401232.000000000000000,10034531.480000000447035
FS( 7 ),3356136.479999999981374,3345389.450000000186265,3349002.000000000000000,10050528.929999999701977
FS( 8 ),3363737.640000000130385,3305412.800000000279397,3376683.900000000372529,10045835.339999999850988
FS( 9 ),3377854.079999999608845,3321276.550000000279397,3357358.799999999813735,10056490.429999999701977
FS( 10 ),3416945.760000000242144,3398057.100000000093132,3359447.999999999534339,10174451.859999999403954
FS( 11 ),3424546.919999999925494,3418362.699999999720603,3378773.099999999627471,10221683.719999998807907
FS( 12 ),3432872.000000000000000,3424073.650000000372529,3367282.500000000000000,10224229.150000000372529
FS( 13 ),3380387.799999999813735,3307951.000000000465661,3308262.600000000093132,9996602.400000000372529
FS( 14 ),3370976.839999999850988,3234977.750000000000000,3328110.000000000000000,9934065.589999999850988
FS( 15 ),3374958.399999999906868,3219748.550000000279397,3321320.100000000093132,9916028.050000000745058
FS( 16 ),3365909.399999999906868,3238150.500000000000000,3328110.000000000000000,9932170.900000000372529
FS( 17 ),3347449.439999999944121,3210230.300000000279397,3333855.299999999813735,9891536.039999999105930
FS( 18 ),3293879.359999999869615,3147409.850000000093132,3331243.799999999813735,9772534.009999999776483
FS( 19 ),3307271.879999999888241,3072532.950000000186265,3324976.199999999720603,9704782.029999999329448
FS( 20 ),3367719.200000000186265,3087127.600000000093132,3331243.799999999813735,9786091.600000001490116
FS( 21 ),3378939.959999999497086,3134084.300000000279397,3386607.600000000093132,9899632.859999999403954
FS( 22 ),3372424.679999999701977,3132815.199999999720603,3356836.499999999534339,9862077.379999998956919
FS( 23 ),3399933.640000000130385,3181675.550000000279397,3393919.800000000279397,9975529.990000000223517
FS( 24 ),3429976.319999999832362,3250841.500000000000000,3440404.500000000000000,10121223.320000000298023
FS( 25 ),3381473.679999999701977,3160100.850000000093132,3430480.800000000279397,9972056.330000000074506
FS( 26 ),3437939.439999999944121,3233074.100000000093132,3465997.199999999720603,10137011.740000000223517
FS( 27 ),3441559.040000000037253,3237515.950000000186265,3493156.799999999813735,10172232.789999999105930
FS( 28 ),3452055.879999999888241,3233074.100000000093132,3483233.099999999627471,10168364.080000000074506
FS( 29 ),3474497.399999999906868,3217844.900000000372529,3495768.300000000279397,10188111.600000001490116
FS( 30 ),3454951.560000000055879,3139160.700000000186265,3485322.300000000279397,10079435.560000000521541
FS( 31 ),3421651.239999999757856,3143602.549999999813735,3135381.299999999813735,9700636.089999999850988
FS( 32 ),3516484.760000000242144,3218479.450000000186265,3098820.299999999813735,9833785.510000001639128
FS( 33 ),3555938.399999999906868,3266705.250000000000000,3075839.100000000093132,9898483.750000000000000
FS( 34 ),3545079.599999999627471,3261628.850000000093132,3073749.899999999906868,9880459.349999999627471
FS( 35 ),3532411.000000000000000,3197539.300000000279397,3068526.899999999906868,9798478.200000001117587
FS( 36 ),3533858.839999999850988,3210230.300000000279397,3062781.600000000093132,9806871.740000000223517
FS( 37 ),3602631.239999999757856,3300336.399999999906868,3076361.399999999906868,9979330.039999999105930
FS( 38 ),3630864.120000000111759,3355542.250000000465661,3045023.399999999906868,10031430.770000001415610
FS( 39 ),3617471.599999999627471,3357445.899999999906868,3030399.000000000000000,10005317.500000000000000
FS( 40 ),3626520.599999999627471,3392980.700000000186265,3002194.799999999813735,10021697.099999999627471
FS( 41 ),3637017.439999999944121,3496412.350000000093132,3010551.600000000093132,10143982.390000000596046
FS( 42 ),3669231.879999999888241,3481817.699999999720603,3027265.199999999720603,10178315.779999999329448
FS( 43 ),3656925.239999999757856,3468492.149999999906868,2989659.600000000093132,10115077.990000000223517
FS( 44 ),3698188.679999999701977,3497046.899999999906868,3008984.699999999720603,10204221.279999999329448
FS( 45 ),3690587.519999999552965,3497046.899999999906868,3035099.699999999720603,10222735.119999999180436
FS( 46 ),3689863.599999999627471,3523698.000000000000000,3048679.500000000000000,10262242.099999999627471
FS( 47 ),3703980.040000000037253,3493239.600000000093132,3061214.699999999720603,10258435.339999999850988
FS( 48 ),3689139.679999999701977,3465319.399999999906868,3070093.799999999813735,10224553.879999998956919
FS( 49 ),3650048.000000000000000,3441841.050000000279397,3054947.100000000093132,10146837.150000000372529
FS( 50 ),3672127.560000000055879,3453897.500000000000000,3064870.799999999813735,10190896.859999999403954
FS( 51 ),3686967.919999999925494,3408844.450000000186265,3007417.799999999813735,10103231.169999999925494
FS( 52 ),3629416.279999999795109,3365060.500000000000000,2974512.899999999906868,9968990.679999999701977
